"compartment","analysis","model","term","estimate","std_error","statistic","p_value","n","tgi_measure","pre_specified_primary"
"CellCycle","shift_only","`TGI_percent_Day_24_control_median` ~ scale(ecdf_rmse)","(Intercept)",46.1180696684425,5.85363624464047,7.87853357144762,0.000221471073814965,8,"TGI_percent_Day_24_control_median",FALSE
"CellCycle","shift_only","`TGI_percent_Day_24_control_median` ~ scale(ecdf_rmse)","scale(ecdf_rmse)",18.477678202311,6.25780036978477,2.95274331401316,0.0255219654505472,8,"TGI_percent_Day_24_control_median",FALSE
"CellCycle","shift_ploidy_dose_adjusted","`TGI_percent_Day_24_control_median` ~ scale(ecdf_rmse) + end_timepoint_ploidy_group + dose_mg_factor","(Intercept)",35.008132905029,14.5580978149024,2.40471889598056,0.0739768653069817,8,"TGI_percent_Day_24_control_median",FALSE
"CellCycle","shift_ploidy_dose_adjusted","`TGI_percent_Day_24_control_median` ~ scale(ecdf_rmse) + end_timepoint_ploidy_group + dose_mg_factor","scale(ecdf_rmse)",19.7967035398685,7.04631165630373,2.80951290625331,0.0483408921255068,8,"TGI_percent_Day_24_control_median",TRUE
"CellCycle","shift_ploidy_dose_adjusted","`TGI_percent_Day_24_control_median` ~ scale(ecdf_rmse) + end_timepoint_ploidy_group + dose_mg_factor","end_timepoint_ploidy_groupETP-higher",14.6778068844924,15.2014343561798,0.965554074739366,0.388945293248899,8,"TGI_percent_Day_24_control_median",FALSE
"CellCycle","shift_ploidy_dose_adjusted","`TGI_percent_Day_24_control_median` ~ scale(ecdf_rmse) + end_timepoint_ploidy_group + dose_mg_factor","dose_mg_factor120",7.54206664233468,14.9305428640715,0.505143497527055,0.640019882075366,8,"TGI_percent_Day_24_control_median",FALSE
"CellCycle","shift_by_ploidy_dose_adjusted","`TGI_percent_Day_24_control_median` ~ scale(ecdf_rmse) * end_timepoint_ploidy_group + dose_mg_factor","(Intercept)",26.7645409111424,13.0899167237649,2.04466853960584,0.13344604715367,8,"TGI_percent_Day_24_control_median",FALSE
"CellCycle","shift_by_ploidy_dose_adjusted","`TGI_percent_Day_24_control_median` ~ scale(ecdf_rmse) * end_timepoint_ploidy_group + dose_mg_factor","scale(ecdf_rmse)",8.58845052692034,8.92744083473221,0.962028277298347,0.407003331543936,8,"TGI_percent_Day_24_control_median",FALSE
"CellCycle","shift_by_ploidy_dose_adjusted","`TGI_percent_Day_24_control_median` ~ scale(ecdf_rmse) * end_timepoint_ploidy_group + dose_mg_factor","end_timepoint_ploidy_groupETP-higher",21.7136054615076,13.3400302501172,1.62770286531523,0.202069531524362,8,"TGI_percent_Day_24_control_median",FALSE
"CellCycle","shift_by_ploidy_dose_adjusted","`TGI_percent_Day_24_control_median` ~ scale(ecdf_rmse) * end_timepoint_ploidy_group + dose_mg_factor","dose_mg_factor120",21.2549319998701,14.9082836437516,1.42571287934802,0.249192062253938,8,"TGI_percent_Day_24_control_median",FALSE
"CellCycle","shift_by_ploidy_dose_adjusted","`TGI_percent_Day_24_control_median` ~ scale(ecdf_rmse) * end_timepoint_ploidy_group + dose_mg_factor","scale(ecdf_rmse):end_timepoint_ploidy_groupETP-higher",23.4014752577954,14.052342415561,1.66530778753879,0.194440866031927,8,"TGI_percent_Day_24_control_median",FALSE
