"method","compartment","sample_set","reference_type","shift_metric","tgi_measure","tgi_day","n","pearson_r","pearson_p_asymptotic","pearson_p_permutation_two_sided","pearson_p_permutation_positive","pearson_n_permutations","pearson_permutation_mode","spearman_rho","spearman_p_asymptotic","spearman_p_permutation_two_sided","spearman_p_permutation_positive","spearman_n_permutations","spearman_permutation_mode","pre_specified_primary","pearson_q_exploratory","spearman_q_exploratory"
"ETP_reference_balanced_threshold_2_24","CellCycle","treated","primary_equal_sample_reference","ecdf_ks","TGI_percent_Day_7",7,8,0.798671362816324,0.0174447680270919,0.0170982901709829,0.0123987601239876,10000,"monte_carlo_TGI_label_permutation",0.595238095238095,0.119529806138793,0.13048695130487,0.0681931806819318,10000,"monte_carlo_TGI_label_permutation",FALSE,0.0935906409359064,0.292730496453901
"ETP_reference_balanced_threshold_2_24","CellCycle","treated","primary_equal_sample_reference","ecdf_ks","TGI_percent_Day_10",10,8,0.662379840639775,0.0734940122634667,0.0537946205379462,0.0346965303469653,10000,"monte_carlo_TGI_label_permutation",0.428571428571429,0.28940322484679,0.298570142985701,0.145085491450855,10000,"monte_carlo_TGI_label_permutation",FALSE,0.108789121087891,0.442175500759783
"ETP_reference_balanced_threshold_2_24","CellCycle","treated","primary_equal_sample_reference","ecdf_ks","TGI_percent_Day_14",14,8,0.552364661097078,0.155696589501304,0.16018398160184,0.0801919808019198,10000,"monte_carlo_TGI_label_permutation",0.666666666666667,0.0709876543209875,0.077992200779922,0.0393960603939606,10000,"monte_carlo_TGI_label_permutation",FALSE,0.245446043630931,0.240909242409092
"ETP_reference_balanced_threshold_2_24","CellCycle","treated","primary_equal_sample_reference","ecdf_ks","TGI_percent_Day_17",17,8,0.71588417700143,0.0458125730811461,0.0486951304869513,0.0295970402959704,10000,"monte_carlo_TGI_label_permutation",0.357142857142857,0.385120643556256,0.388661133886611,0.19038096190381,10000,"monte_carlo_TGI_label_permutation",FALSE,0.103352930013121,0.533588199621596
"ETP_reference_balanced_threshold_2_24","CellCycle","treated","primary_equal_sample_reference","ecdf_ks","TGI_percent_Day_21",21,8,0.523839105892027,0.182691547084046,0.182981701829817,0.0900909909009099,10000,"monte_carlo_TGI_label_permutation",0.261904761904762,0.530922861565801,0.537546245375462,0.272272772722728,10000,"monte_carlo_TGI_label_permutation",FALSE,0.267773222677732,0.65319979629944
"ETP_reference_balanced_threshold_2_24","CellCycle","treated","primary_equal_sample_reference","ecdf_ks","TGI_percent_Day_24",24,8,0.815137243480255,0.0136850490496276,0.0124987501249875,0.008999100089991,10000,"monte_carlo_TGI_label_permutation",0.714285714285714,0.0465282322841672,0.0587941205879412,0.0298970102989701,10000,"monte_carlo_TGI_label_permutation",FALSE,0.0935906409359064,0.240909242409092
"ETP_reference_balanced_threshold_2_24","CellCycle","treated","primary_equal_sample_reference","ecdf_ks","TGI_percent_Day_24_control_median",24,8,0.768155031517832,0.0259891653507086,0.0342013888888889,0.0183035714285714,40320,"exact_TGI_label_enumeration",0.523809523809524,0.182720750539715,0.196626984126984,0.0983134920634921,40320,"exact_TGI_label_enumeration",FALSE,0.0957237609572376,0.346596717783158
"ETP_reference_balanced_threshold_2_24","CellCycle","treated","primary_equal_sample_reference","ecdf_ks","TGI_percent_Day_27",27,8,0.827391224523547,0.0112497500704125,0.0177982201779822,0.0083991600839916,10000,"monte_carlo_TGI_label_permutation",0.690476190476191,0.0579903181645727,0.0743925607439256,0.0384961503849615,10000,"monte_carlo_TGI_label_permutation",FALSE,0.0935906409359064,0.240909242409092
"ETP_reference_balanced_threshold_2_24","CellCycle","treated","primary_equal_sample_reference","ecdf_ks","TGI_percent_Day_31",31,8,0.836884957086678,0.0095657841648774,0.0103989601039896,0.0051994800519948,10000,"monte_carlo_TGI_label_permutation",0.714285714285714,0.0465282322841672,0.0557944205579442,0.0260973902609739,10000,"monte_carlo_TGI_label_permutation",FALSE,0.0935906409359064,0.240909242409092
"ETP_reference_balanced_threshold_2_24","CellCycle","treated","primary_equal_sample_reference","ecdf_ks","TGI_percent_Day_34",34,8,0.448359842066886,0.26519597100792,0.276372362763724,0.14008599140086,10000,"monte_carlo_TGI_label_permutation",0.238095238095238,0.570156320815768,0.582341765823418,0.288271172882712,10000,"monte_carlo_TGI_label_permutation",FALSE,0.354848465770707,0.688222086882221
"ETP_reference_balanced_threshold_2_24","CellCycle","treated","primary_equal_sample_reference","ecdf_ks","TGI_percent_Day_38",38,8,-0.309772640115834,0.455263513077271,0.44015598440156,0.777822217778222,10000,"monte_carlo_TGI_label_permutation",-0.333333333333333,0.419753086419753,0.433056694330567,0.807819218078192,10000,"monte_carlo_TGI_label_permutation",FALSE,0.502314985892715,0.549242636711939
"ETP_reference_balanced_threshold_2_24","CellCycle","treated","primary_equal_sample_reference","ecdf_mean_abs","TGI_percent_auc",NA,8,0.752012759649399,0.0313871173275079,0.0420957904209579,0.0206979302069793,10000,"monte_carlo_TGI_label_permutation",0.666666666666667,0.0709876543209875,0.0822917708229177,0.0408959104089591,10000,"monte_carlo_TGI_label_permutation",FALSE,0.0991367529913675,0.240909242409092
