Feature_ID,Metabolite,log2FC_2N_G_vs_2N_C,p_2N_G_vs_2N_C,log2FC_4N_G_vs_4N_C,p_4N_G_vs_4N_C,Differential_response_2N_minus_4N,p_interaction,Order_category,Response_category,cat_order
Urocanate,Urocanate,-0.3407143059917068,0.6544455433174046,0.48078647041405986,0.3271702726001391,-0.8215007764057667,0.3431491847869571,No strong response,No strong response,99
Glucose 6-phosphate | row_32,Glucose 6-phosphate,0.07620783343850945,0.7404737947874067,0.20414362542603826,0.3847213740336642,-0.1279357919875288,0.6808666611777223,No strong response,No strong response,99
Phosphocholine | row_33,Phosphocholine,-0.12860477591777197,0.12716957218531405,-0.09123010891893557,0.3485058664627691,-0.0373746669988364,0.7444998066843908,No strong response,No strong response,99
N-Acetyl-D-Glucosamine;N-Acetyl-D-Galactosamine,N-Acetyl-D-Glucosamine;N-Acetyl-D-Galactosamine,-0.3063989029532195,0.5886310700970131,0.35704012170978316,0.325027496485954,-0.6634390246630026,0.2997636666228229,No strong response,No strong response,99
N-Acetyl-Glucosamine-6-phosphate | row_35,N-Acetyl-Glucosamine-6-phosphate,-0.3808712480025136,0.010928815221633218,-0.13827045276605432,0.5402694257781906,-0.24260079523645928,0.31864464046314944,No strong response,No strong response,99
2'-Deoxycytidine 5'-monophosphate,2'-Deoxycytidine 5'-monophosphate,-1.7494164141948527,0.0006336577828582404,-0.635749651168819,0.09646500766791222,-1.1136667630260337,0.006325256900867438,2N down,2N-specific response,1
1-Oleoyl-rac-Glycerol,1-Oleoyl-rac-Glycerol,-0.0601571066568809,0.7869980096798046,0.20770425169592244,0.34607437106807515,-0.26786135835280334,0.3722095683675371,No strong response,No strong response,99
Octanoyl-L-carnitine,Octanoyl-L-carnitine,-0.6447704048145582,0.003841555583146008,-0.2783581751106752,0.22810617684144713,-0.366412229703883,0.1685347328133311,No strong response,No strong response,99
Palmitoylcarnitine,Palmitoylcarnitine,-0.7267628222805129,0.007495804509955874,-0.15365769481840275,0.555416338749678,-0.5731051274621102,0.06359800125645337,No strong response,No strong response,99
Phosphocholine | row_40,Phosphocholine,-0.06728876706784348,0.5251424079175467,-0.6583636183021682,0.344721897688709,0.5910748512343247,0.3418133355144544,No strong response,No strong response,99
N-Acetylglycine,N-Acetylglycine,-1.182653409447795,8.131700274453136e-06,-0.5119762580367784,0.006489031595813947,-0.6706771514110166,0.0005062828971446133,2N down,2N-specific response,1
Deoxycarnitine | row_42,Deoxycarnitine,-0.4886726963210535,0.0176093309638807,0.11524391532916667,0.2668506338588364,-0.6039166116502201,0.002747738717750404,No strong response,No strong response,99
5'-Deoxyadenosine;2'-Deoxyadenosine,5'-Deoxyadenosine;2'-Deoxyadenosine,-0.2666805704685622,0.05036159915753052,0.37743122611356483,0.02560744639864168,-0.644111796582127,0.0011582963125727202,No strong response,No strong response,99
7-Ketodeoxycholate,7-Ketodeoxycholate,0.2521229971118757,0.21030250495502303,0.7102802647125621,0.007569394753097838,-0.4581572676006864,0.058361510034915944,No strong response,No strong response,99
O-Acetyl-L-carnitine,O-Acetyl-L-carnitine,-0.7796984194744603,0.0012473722104499017,0.04700830497476716,0.6103456033288214,-0.8267067244492274,0.0001451760847616158,No strong response,No strong response,99
dAMP | row_46,dAMP,-4.296657328586244,0.000127906520660832,-1.6513073138542378,0.0005086538814312362,-2.6453500147320064,0.00014216844045452005,Common down,Common gem response,5
4-Aminobutanoate,4-Aminobutanoate,-1.0388792066936752,0.00044190703923156603,-0.1624423584331467,0.0739284197342549,-0.8764368482605285,7.9408884711641e-06,2N down,2N-specific response,1
Hypotaurine | row_48,Hypotaurine,-1.070113084340477,0.0001077668151171987,-0.054036149238157805,0.5094444013248426,-1.0160769351023191,9.462496784593802e-06,2N down,2N-specific response,1
L-carnitine | row_49,L-carnitine,-0.36384561361729695,0.016358974908679574,0.1185608620367482,0.1692475660993501,-0.48240647565404515,0.0026459320431877296,No strong response,No strong response,99
Xanthosine | row_50,Xanthosine,-0.10558083060003298,0.8882024060753344,0.34018669103317833,0.4682258982020423,-0.4457675216332113,0.5986240554464313,No strong response,No strong response,99
Deoxycytidine | row_51,Deoxycytidine,-0.7871250033736494,0.016723423350292102,-0.04826710860366035,0.9147127218242574,-0.7388578947699891,0.14607514567161087,No strong response,No strong response,99
