Feature_ID,Metabolite,log2FC_2N_G_vs_2N_C,p_2N_G_vs_2N_C,log2FC_4N_G_vs_4N_C,p_4N_G_vs_4N_C,Differential_response_2N_minus_4N,p_interaction,Order_category,Response_category,cat_order
Alpha-D-Galactose 1-phosphate;Alpha-D-Glucose 1-phosphate;D-Fructose 6-phosphate,Alpha-D-Galactose 1-phosphate;Alpha-D-Glucose 1-phosphate;D-Fructose 6-phosphate,1.4290897157184617,0.00019809362614614474,0.2831358696950481,0.058601390506543546,1.1459538460234135,1.4107121901208165e-05,2N up,2N-specific response,0
D-Sedoheptulose | row_452,D-Sedoheptulose,1.1330010429162414,0.0009349797976122262,0.32378979649462813,0.0024261331568974464,0.8092112464216132,0.001258361691455589,2N up,2N-specific response,0
Phenylalanylalanine,Phenylalanylalanine,1.338637230120085,0.0020219952469273353,0.23071637053206828,0.30301331820518235,1.1079208595880168,0.00222208462398537,2N up,2N-specific response,0
Formyl-l-methionyl peptide | row_445,Formyl-l-methionyl peptide,1.1390196673622093,0.0008991924064948926,0.25295763033163254,0.20661456002208728,0.8860620370305767,0.003299793616268027,2N up,2N-specific response,0
Formyl-l-methionyl peptide | row_442,Formyl-l-methionyl peptide,1.2711787704960749,0.0013852499578514662,0.39661505593585034,0.18843894348001813,0.8745637145602245,0.021301865279830887,2N up,2N-specific response,0
Cytidine 5'-Diphosphocholine (Citicoline) | row_75,Cytidine 5'-Diphosphocholine (Citicoline),1.2745775170771303,0.0113927693144897,0.5575942277553771,0.01802069120780549,0.7169832893217531,0.034054083272182685,2N up,2N-specific response,0
N-Acetyl-Glucosamine-6-phosphate | row_404,N-Acetyl-Glucosamine-6-phosphate,1.3990071574062704,0.0012858758820149087,0.7039530048957392,0.019193703311638,0.6950541525105312,0.04603208091816036,2N up,2N-specific response,0
10-Hydroxydecanoate;(R)-3-Hydroxydecanoic acid,10-Hydroxydecanoate;(R)-3-Hydroxydecanoic acid,1.0500762841755886,0.006437991905806426,0.4028810431716181,0.06359687945115004,0.6471952410039705,0.04925771913956658,2N up,2N-specific response,0
Sn-glycerol 3-phosphate | row_447,Sn-glycerol 3-phosphate,1.0134723226865567,0.004062150894880707,0.30046836543102984,0.2933639224347271,0.7130039572555269,0.06057043065358198,2N up,2N-specific response,0
Phosphoenolpyruvic acid | row_435,Phosphoenolpyruvic acid,1.014531683747041,0.005501759055018194,0.5360044309464662,0.0280131549349521,0.47852725280057484,0.09849716974957674,2N up,2N-specific response,0
Phosphoenolpyruvic acid | row_432,Phosphoenolpyruvic acid,1.0452465291981277,0.0004986705207564082,0.6999001953439326,0.011981082085150752,0.3453463338541951,0.1665264591968756,2N up,2N-specific response,0
"Fructose 1,6-bisphosphate | row_448","Fructose 1,6-bisphosphate",1.2741993950672885,0.003350506078083844,0.7824665556668666,0.04014517489232643,0.4917328394004219,0.2173197778468863,2N up,2N-specific response,0
Thymidine 5'-monophosphate | row_446,Thymidine 5'-monophosphate,1.2539666214587761,0.024607876031130717,0.5640195113700877,0.20308312895231778,0.6899471100886885,0.2312998808954613,2N up,2N-specific response,0
6-Hydroxydopamine,6-Hydroxydopamine,1.1958643330298138,0.0057082266374099975,0.7539495249421506,0.08297978785911786,0.44191480808766315,0.29578571045942825,2N up,2N-specific response,0
"Fructose 1,6-bisphosphate | row_450","Fructose 1,6-bisphosphate",1.2984901703515206,0.0012271702602240561,0.9413202197494499,0.045814959514579534,0.3571699506020707,0.36806906183362614,2N up,2N-specific response,0
Beta-Alanine | row_24,Beta-Alanine,-1.4956829687088415,2.7307401696704347e-05,-0.32073255089032315,0.01718157472938733,-1.1749504178185184,7.44943154114413e-07,2N down,2N-specific response,1
4-Aminobutanoate,4-Aminobutanoate,-1.0388792066936752,0.00044190703923156603,-0.1624423584331467,0.0739284197342549,-0.8764368482605285,7.9408884711641e-06,2N down,2N-specific response,1
Hypotaurine | row_48,Hypotaurine,-1.070113084340477,0.0001077668151171987,-0.054036149238157805,0.5094444013248426,-1.0160769351023191,9.462496784593802e-06,2N down,2N-specific response,1
Beta-Alanine | row_22,Beta-Alanine,-1.3241177099513592,0.0001969726410637195,-0.27777671059326536,0.025458721824018173,-1.0463409993580939,6.348535565356025e-05,2N down,2N-specific response,1
L-Sorbose;Myo-inositol;Mannose;Allose;D-Psicose;chiro-Inositol,L-Sorbose;Myo-inositol;Mannose;Allose;D-Psicose;chiro-Inositol,-1.039813461572578,0.0005684538963898009,-0.03684785351232733,0.8166559628184342,-1.0029656080602507,7.458021317076676e-05,2N down,2N-specific response,1
4-Guanidinobutanoate | row_74,4-Guanidinobutanoate,-1.2744916047473573,0.00018519597358900624,-0.5855780628561185,0.001008719385330756,-0.6889135418912389,0.0003488492325182588,2N down,2N-specific response,1
