parameter	display_name	value_2N	value_4N	ratio_4N_over_2N	log2_ratio_4N_over_2N
r	r	1.7012885817728352	1.4199837796494057	0.8346519190587322	-0.2607534294515813
K	K	31036.283403309146	68867.0955656046	2.2189221135370176	1.1498590283344003
k_tr	k_tr	2.3874790908352232	1.5436796174149283	0.6465730415569401	-0.6291147384021865
k_kill	k_kill	295.04075441280685	117.49800417884944	0.39824330171841915	-1.3282779984447177
k_clear	k_clear	0.3048729413506711	0.2408665626621614	0.790055560834806	-0.33997398017707153
k_cyto	k_cyto	1806.520947140721	612.6595352946413	0.339137797579558	-1.5600565103420265
beta_dose	beta_dose	0.4642693999564721	0.6549745971555704	1.4107640891624087	0.49647675770789834
mu_base_death	mu_base_death	0.0884793153744985	0.0355329069397582	0.4015956361027573	-1.3161845024092278
