model_preset	n_tr	success	posterior_objective	data_nll	prior_penalty	n_observations	objective	observation_channels	model_variant	theta_alive	theta_dead	fit_beta_dose	fixed_beta_dose	use_hill_dose_gate	fit_hill_dose_gate	use_confluence_death	fit_mu_confluence_death	fixed_mu_confluence_death	confluence_death_exponent	fit_dose_labels	max_replicates_per_ploidy_dose	accept_incomplete_optimizer	mu_log_r	mu_log_K	mu_log_k_tr	mu_log_k_kill	mu_log_k_clear	mu_log_k_cyto	mu_log_beta_dose	mu_log_mu_base_death	mu_mu_confluence_death	dose_gate_ec50_uM	dose_gate_hill	optimizer_message	2N_r	2N_K	2N_k_tr	2N_k_kill	2N_k_clear	2N_k_cyto	2N_beta_dose	2N_mu_base_death	2N_mu_confluence_death	4N_r	4N_K	4N_k_tr	4N_k_kill	4N_k_clear	4N_k_cyto	4N_beta_dose	4N_mu_base_death	4N_mu_confluence_death
	2	True	65956.83425861578	65953.79472658684	3.0395320289383823	8780	negative_binomial	alive_dead	immediate_cytostasis_delayed_death	1.968154424203279	3.8813081992234784	True	1.0	False	True	False	True	0.0	4.0			False	-0.012106719433339016	11.210594787095282	-0.05536410484279794	5.137026407809898	-0.424776424985851	3.7523334446863705	-0.43521877936000447	-2.740806841787959	0.0			CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH	0.9224357639321208	109587.1364558319	2.090854628823131	376.5133218618523	0.4717789851556916	77.8754372138357	0.39054067007966453	0.15809290527662984	0.0	0.8725679356376135	125025.65479876888	0.4045277459121968	261.0508805775203	0.5937437832904195	99.21540478798572	0.6978420091436579	0.08452187517060467	0.0
	3	True	63690.46864979467	63687.44534581151	3.023303983160592	8780	negative_binomial	alive_dead	immediate_cytostasis_delayed_death	2.3021495519066257	10.797932290298542	True	1.0	False	True	False	True	0.0	4.0			False	0.17684534529282284	10.45696681211714	0.20606075267118112	4.559677228461381	-1.102313448398234	6.177385153512045	-0.3987013978038836	-3.2222496019147435	0.0			CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH	1.7012885817728352	31036.283403309146	2.3874790908352232	295.04075441280685	0.30487294135067117	1806.5209471407213	0.4642693999564721	0.08847931537449859	0.0	1.4199837796494055	68867.0955656046	1.5436796174149285	117.49800417884943	0.24086656266216142	612.6595352946413	0.6549745971555704	0.035532906939758226	0.0
	4	True	64748.44849518557	64744.86706822032	3.5814269652488817	8780	negative_binomial	alive_dead	immediate_cytostasis_delayed_death	2.1229115001754915	7.946137105832704	True	1.0	False	True	False	True	0.0	4.0			False	0.17666858161495558	11.405360663627537	0.6887857697300407	4.7299183810003385	-0.8055190199137909	4.8733677433729	-0.35722128199574865	-2.891714752664973	0.0			CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH	1.0864388497284074	145609.2251294609	3.5361837978310486	262.0738226741815	0.356255850041538	587.9518623764213	0.5170507866307339	0.13673746039069587	0.0	1.3061974580671265	168339.34474078758	2.221420780592303	110.38263462269963	0.2512499227745664	377.98774604126896	0.6678869888878418	0.06192333809402488	0.0
	5	True	64940.406204320185	64937.1187452545	3.2874590656857374	8780	negative_binomial	alive_dead	immediate_cytostasis_delayed_death	1.6794785402937809	8.77640948939288	True	1.0	False	True	False	True	0.0	4.0			False	-0.0013819962682507468	10.351069832438082	0.8304430021370084	3.849810582955734	-1.54403582584814	6.235331912284143	-0.10543860452186488	-2.7534749450249953	0.0			CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH	1.13325750339113	37406.73721467699	4.856719818645689	98.4497596353192	0.16504055434876846	2350.2991513577485	0.8312630644778077	0.23674527154100444	0.0	1.2539687274464995	41743.06193854176	4.954987535988206	42.09697299384984	0.11816644790035159	564.5360133267168	0.8740880677308179	0.054287411170429525	0.0
	6	True	66025.36282387195	66023.21863368618	2.1441901857826458	8780	negative_binomial	alive_dead	immediate_cytostasis_delayed_death	1.7294994391800897	5.57450519142908	True	1.0	False	True	False	True	0.0	4.0			False	-0.48476611454205015	11.151157321087945	1.200900463946273	5.147670774493486	-0.8789212667052132	3.3535883947306373	-0.4667181364299007	-2.5043037790087617	0.0			CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH	0.8723021361773438	92458.6778923553	6.170836234835368	329.7469153338131	0.5292329223048927	41.080656776740454	0.42778022126544774	0.22842693885337853	0.0	0.8897484326836544	93088.68642276729	2.9655247323625433	154.18817843473173	0.6760009150573012	56.90157309220394	0.5795164647168046	0.1191215068712267	0.0
	7	True	66376.95576885043	66369.61588437417	7.339884476261104	8780	negative_binomial	alive_dead	immediate_cytostasis_delayed_death	2.139675643018263	3.0479635409006782	True	1.0	False	True	False	True	0.0	4.0			False	0.03196660371329964	10.03307063989343	-0.4129608957836536	3.2676259712747195	-2.0514159556288383	7.487187249342435	0.5267124050431392	-2.088127517777149	0.0			CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH	1.548249755283215	23950.91808412565	0.7071837042569368	26.454243637127664	0.14508063106490243	37036.831331093534	2.0452274520203555	0.5512727777269342	0.0	1.0129229320467403	25094.181034585585	0.8179667523362041	27.343093315121315	0.029457703328489293	1523.4164852362646	2.3565710301968346	0.17024824048429985	0.0
