dose_label	dose_uM	endpoint_days	pred_alive_end_2N	pred_dead_end_2N	pred_alive_fraction_initial_2N	pred_dead_fraction_initial_2N	pred_alive_fraction_control_2N	obs_alive_fraction_control_2N	sensitivity_index_2N	pred_alive_end_4N	pred_dead_end_4N	pred_alive_fraction_initial_4N	pred_dead_fraction_initial_4N	pred_alive_fraction_control_4N	obs_alive_fraction_control_4N	sensitivity_index_4N	ratio_4N_over_2N_pred_alive_fraction_control	log2_ratio_4N_over_2N_pred_alive_fraction_control	delta_sensitivity_index_4N_minus_2N
3.125 nM	0.003125	4.0	8515.555416771322	2369.3609157550936	9.090531536451905	2.529341783565619	0.3029175914316416	1.0410228891808375	0.6970824085683585	22012.580584193576	2994.417592147469	19.934417554171226	2.711720708306515	0.39614293432157566	0.9823502618993396	0.6038570656784243	1.307758101631981	0.387095707617192	-0.09322534288993412
6.25 nM	0.00625	4.0	5091.372255444473	2002.1076304357534	5.235344221536733	2.0587224991627284	0.18111164160398074	0.8435320022944692	0.8188883583960193	13603.259080519174	2803.513494097481	11.71180291047712	2.4137008128260704	0.24480705239816403	0.8654065133227056	0.755192947601836	1.3516914220978675	0.434765836072155	-0.06369541079418328
12.5 nM	0.0125	4.0	2746.0667888065404	1706.6553187619068	2.6429901720948417	1.6425941470278218	0.0976838147206949	0.14238661806339398	0.9023161852793051	6078.714164096149	2138.5731683854224	5.903574778986224	2.0769567837993743	0.10939379218428834	0.5167957185151446	0.8906062078157116	1.1198763326051047	0.16333942497209683	-0.01170997746359348
25 nM	0.025	4.0	1118.1790495161206	1247.301543554157	1.1920885389297662	1.329745782040679	0.039776161141720334	0.0073274984734378185	0.9602238388582797	2529.732226374922	1767.937061243083	2.421568819120857	1.6923456233979735	0.045525582217452995	0.17674409777575345	0.954474417782547	1.1445443931918864	0.19477342147437876	-0.005749421075732619
50 nM	0.05	4.0	433.77650423389406	1026.7716717860708	0.45926575355626686	1.0871060580053689	0.015430412633259371	0.003978313565124068	0.9845695873667406	845.8932174400858	1414.4401463181578	0.8144029692940491	1.3617844797671608	0.015222868577255924	0.012202990966370607	0.984777131422744	0.9865496755701725	-0.019536398328391245	0.00020754405600342807
100 nM	0.1	4.0	124.35935640615334	762.8680861441585	0.1475199957368367	0.9049443489254549	0.004423743945151132	0.005514127639102196	0.9955762560548489	213.4016137949396	1143.0700476514548	0.20598611370167916	1.1033494668450337	0.0038404193980959376	0.004080315797464511	0.996159580601904	0.8681378139676063	-0.204004011036143	0.0005833245470551196
200 nM	0.2	4.0	46.138732270706	551.2250770679293	0.0512937546089005	0.6128127593862471	0.0016412591976825764	0.00482948763022038	0.9983587408023175	73.6785194666194	788.1869922772272	0.07973865743140629	0.8530162254082545	0.0013259338125460047	0.0034730129810976998	0.998674066187454	0.8078759372183233	-0.30779433471007356	0.0003153253851365667
400 nM	0.4	4.0	52.71956853414408	459.1419908573705	0.06722291174261279	0.5854536064486714	0.0018753544472538	0.00643931684029384	0.9981246455527462	57.6191347978659	742.5069311810513	0.06211189521868404	0.8004027285458692	0.0010369258181517843	0.003852577241326957	0.9989630741818483	0.5529225793397191	-0.8548506075956518	0.0008384286291021059
800 nM	0.8	4.0	120.96154948639939	473.92475845958603	0.15552754675204036	0.6093535949335726	0.004302876257970737	0.005514127639102196	0.9956971237420292	54.67581906177794	618.5788713192914	0.07144053013298511	0.8082476541628371	0.000983957301904035	0.00421316328854475	0.999016042698096	0.22867431989970244	-2.128633734531503	0.00331891895606673
