sheet_name	ploidy	dose_uM	analyte	n_timepoints_total	n_timepoints_positive_finite	peak_idx	peak_time_days	peak_signal_uM	tail_n_points	tail_time_days	tail_signal_uM	tail_fit_used	fallback_used	tail_decay_per_day	tail_half_life_days	tail_fit_r2	warning_message
2N_lowInitialGemcitabine	2N	0.1	dFdCTP (ng/mL)	6	3	5	1.0	0.00655933214072749	1	(1.0,)	(0.00655933214072749,)	False	True	0.6931471805599453	1.0		Using fallback dFdCTP tail half-life of 1.000 days for 2N_lowInitialGemcitabine because the terminal fit was not identifiable.
2N	2N	1.0	dFdCTP (ng/mL)	5	4	2	0.08333333333333333	0.051361558338302526	3	(0.08333333333333333, 1.0, 2.0)	(0.051361558338302526, 0.018399257934141655, 0.0032995428344265512)	True	False	1.4365561664409745	0.48250614682000004	0.9858068406548013
4N_lowInitialGemcitabine	4N	0.1	dFdCTP (ng/mL)	6	2	5	1.0	0.018816669979460673	1	(1.0,)	(0.018816669979460673,)	False	True	0.6931471805599453	1.0		Using fallback dFdCTP tail half-life of 1.000 days for 4N_lowInitialGemcitabine because the terminal fit was not identifiable.
4N	4N	1.0	dFdCTP (ng/mL)	5	4	2	0.08333333333333333	0.08028887563771284	3	(0.08333333333333333, 1.0, 2.0)	(0.08028887563771284, 0.04390777181474855, 0.01024315908036838)	True	False	1.0800331779611814	0.6417832291674825	0.9567915357546797
