ploidy	beta_dose	reference_dose_uM	dose_uM	power_correction_factor	use_hill_dose_gate	dose_gate_ec50_uM	dose_gate_hill	hill_gate_raw	hill_gate_at_reference	hill_gate_normalized	combined_correction_factor
2N	0.4642693999564721	0.1	0.003125	6.402578339598152	False					1.0	6.402578339598152
2N	0.4642693999564721	0.1	0.00625	4.416557824007135	False					1.0	4.416557824007135
2N	0.4642693999564721	0.1	0.0125	3.0465824825851167	False					1.0	3.0465824825851167
2N	0.4642693999564721	0.1	0.025	2.1015608066404203	False					1.0	2.1015608066404203
2N	0.4642693999564721	0.1	0.05	1.4496761040454589	False					1.0	1.4496761040454589
2N	0.4642693999564721	0.1	0.1	1.0	False					1.0	1.0
2N	0.4642693999564721	0.1	0.2	0.689809259605925	False					1.0	0.689809259605925
2N	0.4642693999564721	0.1	0.4	0.4758368146380745	False					1.0	0.4758368146380745
2N	0.4642693999564721	0.1	0.8	0.32823664079873194	False					1.0	0.32823664079873194
4N	0.6549745971555704	0.1	0.003125	3.3060923266851345	False					1.0	3.3060923266851345
4N	0.6549745971555704	0.1	0.00625	2.6028670286215783	False					1.0	2.6028670286215783
4N	0.6549745971555704	0.1	0.0125	2.049221890750468	False					1.0	2.049221890750468
4N	0.6549745971555704	0.1	0.025	1.6133403325466014	False					1.0	1.6133403325466014
4N	0.6549745971555704	0.1	0.05	1.2701733474398686	False					1.0	1.2701733474398686
4N	0.6549745971555704	0.1	0.1	1.0	False					1.0	1.0
4N	0.6549745971555704	0.1	0.2	0.7872941138432611	False					1.0	0.7872941138432611
4N	0.6549745971555704	0.1	0.4	0.6198320216922457	False					1.0	0.6198320216922457
4N	0.6549745971555704	0.1	0.8	0.4879901022498736	False					1.0	0.4879901022498736
