"sample_id","reference_type","initial_ploidy","initial_ploidy_numeric","analysis_group","analysis_group_numeric","dose","dose_mg","TGI_percent_auc","cell_count","sample_mean_endpoint_ploidy","mean_cell_ploidy","median_cell_ploidy","p90_cell_ploidy","mean_pseudotime","median_pseudotime","reference_n_samples","reference_cell_count","ecdf_rmse","ecdf_ks","ecdf_mean_abs","signed_mean_shift","TGI_percent_Day_3","TGI_percent_Day_7","TGI_percent_Day_10","TGI_percent_Day_14","TGI_percent_Day_17","TGI_percent_Day_21","TGI_percent_Day_24","TGI_percent_Day_27","TGI_percent_Day_31","TGI_percent_Day_34","TGI_percent_Day_38","analysis_id","pearson_r","pearson_p_asymptotic","pearson_p_permutation_two_sided","pearson_p_permutation_positive","pearson_n_permutations","pearson_permutation_mode","spearman_rho","spearman_p_asymptotic","spearman_p_permutation_two_sided","spearman_p_permutation_positive","spearman_n_permutations","spearman_permutation_mode","plot_annotation"
"2N-A1-0","primary_equal_sample_reference","2N",0,"ETP-lower",0,"0mg/kg",0,-7.5072171648636,99,2.12476348201006,2.13160870661857,2.14287320850589,2.19893776887138,0.494258724595185,0.559539258480072,3,767,0.0253754793563267,0.0714542192877055,0.0186991541922779,-0.0143129076183682,-87.5020573873922,-45.9162556210808,-93.2495036399735,-47.3972028600083,-29.9749334970329,-56.0935815633832,-41.7384982864264,-4.75208928847488,19.8117796692619,19.8117796692619,19.8117796692619,"CellCycle_ecdf_rmse_vs_ploidy",0.0821609960497931,0.762273511150902,0.767123287671233,NA,10000,"monte_carlo_TGI_label_permutation",0.123529411764706,0.64854206697234,0.658534146585341,NA,10000,"monte_carlo_TGI_label_permutation","Pearson r = 0.0822
Permutation P = 0.767
n = 16"
"2N-A1-R","primary_equal_sample_reference","2N",0,"ETP-lower",0,"0mg/kg",0,69.6488774601611,81,2.0115676993386,2.01695797681277,2.02411769760858,2.02454135516628,0.528129051818892,0.528022289276123,3,785,0.0564848369381342,0.120463271514287,0.0440304995281039,0.0308475286799069,847.221155428759,232.702631210419,159.236014545022,129.522151093459,87.9233169633722,90.013822930526,65.1310907391497,42.5554036562927,50.8334895508292,50.8334895508292,50.8334895508292,"CellCycle_ecdf_rmse_vs_ploidy",0.0821609960497931,0.762273511150902,0.767123287671233,NA,10000,"monte_carlo_TGI_label_permutation",0.123529411764706,0.64854206697234,0.658534146585341,NA,10000,"monte_carlo_TGI_label_permutation","Pearson r = 0.0822
Permutation P = 0.767
n = 16"
"2N-A1-RR","primary_equal_sample_reference","2N",0,"ETP-lower",0,"0mg/kg",0,-45.9067107224479,549,1.94145876660131,1.94277945729649,1.94341742802817,1.95400185734575,0.481864572226161,0.532611966133118,3,317,0.0389578434766754,0.0711978430192037,0.0330750676166767,-0.0308384441104007,-318.807263949086,-83.8579675416621,-36.9968545274727,-17.3940594454618,-55.8011049723757,-51.9680680593188,-24.6046507236662,-30.5377132862681,-52.5244351847677,-52.5244351847677,-52.5244351847677,"CellCycle_ecdf_rmse_vs_ploidy",0.0821609960497931,0.762273511150902,0.767123287671233,NA,10000,"monte_carlo_TGI_label_permutation",0.123529411764706,0.64854206697234,0.658534146585341,NA,10000,"monte_carlo_TGI_label_permutation","Pearson r = 0.0822
Permutation P = 0.767
n = 16"
"4N-A5-RR","primary_equal_sample_reference","4N",1,"ETP-lower",0,"0mg/kg",0,48.5176326717322,137,2.21364537941859,2.23143133887732,2.23606798400221,2.28515478158297,0.515721272595608,0.627170443534851,3,729,0.0420606617133546,0.116639473412903,0.0290707756906547,0.0143038230488619,47.0374195598634,70.5570782127844,61.7066199757963,52.856539825595,58.7260671749561,48.0136565462141,52.2878827976698,64.624836755838,46.9596823834533,40.4383891314896,30.7128323702909,"CellCycle_ecdf_rmse_vs_ploidy",0.0821609960497931,0.762273511150902,0.767123287671233,NA,10000,"monte_carlo_TGI_label_permutation",0.123529411764706,0.64854206697234,0.658534146585341,NA,10000,"monte_carlo_TGI_label_permutation","Pearson r = 0.0822
Permutation P = 0.767
n = 16"
"2N-A1-LR","primary_equal_sample_reference","2N",0,"ETP-higher",1,"0mg/kg",0,-16.2349495728496,125,2.24448306836754,2.25140078384147,2.25806265963311,2.26922111450627,0.523321824155748,0.553299427032471,3,337,0.0410519100618271,0.141834668130084,0.0265026664271909,0.023793264583063,-440.91183409228,-102.928408047676,-28.9896563775757,-64.7308887879892,-2.14727849396357,18.047826692176,1.2120582709429,-7.2656010815497,-18.1208340353234,-18.1208340353234,-18.1208340353234,"CellCycle_ecdf_rmse_vs_ploidy",0.0821609960497931,0.762273511150902,0.767123287671233,NA,10000,"monte_carlo_TGI_label_permutation",0.123529411764706,0.64854206697234,0.658534146585341,NA,10000,"monte_carlo_TGI_label_permutation","Pearson r = 0.0822
Permutation P = 0.767
n = 16"
"4N-A5-0","primary_equal_sample_reference","4N",1,"ETP-higher",1,"0mg/kg",0,-18.8897514082346,114,2.58551813437048,2.57646963111054,2.58912486678388,2.6421699447238,0.462969425934971,0.507174551486969,3,348,0.0661293480772968,0.134446765333013,0.057462976033265,-0.0566765997113064,14.1781202828315,-46.0025559208147,-39.9881556247908,-21.5220928596426,-23.1522228606034,0.64445058648781,-20.5290310354855,-34.957726592934,-17.0934098364287,-14.892576419214,-11.6103547042774,"CellCycle_ecdf_rmse_vs_ploidy",0.0821609960497931,0.762273511150902,0.767123287671233,NA,10000,"monte_carlo_TGI_label_permutation",0.123529411764706,0.64854206697234,0.658534146585341,NA,10000,"monte_carlo_TGI_label_permutation","Pearson r = 0.0822
Permutation P = 0.767
n = 16"
"A5-4N-L","primary_equal_sample_reference","4N",1,"ETP-higher",1,"0mg/kg",0,-72.7569906018084,124,2.31897261349314,2.32122032197385,2.34168496364495,2.37055293748341,0.532221955675332,0.565221279859543,3,338,0.0542666591503769,0.111436790085347,0.0399307041910189,0.0356601066091743,-139.834750139032,-95.3816600625316,-88.2411102814327,-82.2311858022665,-77.3033742759981,-86.0646757166804,-74.3195161875263,-63.6552417128843,-71.7809914282143,-68.5522755943717,-63.7371173282776,"CellCycle_ecdf_rmse_vs_ploidy",0.0821609960497931,0.762273511150902,0.767123287671233,NA,10000,"monte_carlo_TGI_label_permutation",0.123529411764706,0.64854206697234,0.658534146585341,NA,10000,"monte_carlo_TGI_label_permutation","Pearson r = 0.0822
Permutation P = 0.767
n = 16"
"A5-4N-R","primary_equal_sample_reference","4N",1,"ETP-higher",1,"0mg/kg",0,43.1291093383108,99,2.29231396186638,2.29819852967619,2.30855379003928,2.35129791920685,0.503394297107753,0.570256054401398,3,363,0.0254734223634994,0.0681585978631818,0.0209152127396182,-0.00277677148093092,78.6192102963375,70.8271377705619,66.5226459304272,50.896738836314,41.7295299616454,37.4065685839784,42.560664425342,33.9881315499803,41.9147188811897,43.0064628820961,44.634639662264,"CellCycle_ecdf_rmse_vs_ploidy",0.0821609960497931,0.762273511150902,0.767123287671233,NA,10000,"monte_carlo_TGI_label_permutation",0.123529411764706,0.64854206697234,0.658534146585341,NA,10000,"monte_carlo_TGI_label_permutation","Pearson r = 0.0822
Permutation P = 0.767
n = 16"
"A6-4N-RR","primary_equal_sample_reference","4N",1,"ETP-lower",0,"30mg/kg",30,47.5511900889708,193,2.23538862603727,2.20595578416892,2.21560126016431,2.36116118282251,0.481236708915064,0.526266038417816,4,866,0.0328270009056859,0.0609753459192658,0.0278481925685596,-0.0237566963938972,17.0064352109319,62.2463168216562,85.2532378917012,50.4002944030941,33.7803382040094,29.8123517375907,35.2041533118349,39.2101603389456,52.524934449654,53.4172537603105,54.7480177314431,"CellCycle_ecdf_rmse_vs_ploidy",0.0821609960497931,0.762273511150902,0.767123287671233,NA,10000,"monte_carlo_TGI_label_permutation",0.123529411764706,0.64854206697234,0.658534146585341,NA,10000,"monte_carlo_TGI_label_permutation","Pearson r = 0.0822
Permutation P = 0.767
n = 16"
"2N-A2-0","primary_equal_sample_reference","2N",0,"ETP-higher",1,"30mg/kg",30,76.2494538413114,95,2.31570000737479,2.31803706875172,2.32219947650157,2.3439423606923,0.467133313417435,0.505020081996918,4,462,0.0650963914709458,0.165732571898956,0.0448248012215866,-0.0383435623010163,235.886322488616,177.750634073475,120.624781564408,102.672401319236,94.1937794147739,89.384507311262,80.6576723722845,82.2568862402508,80.8618934509671,59.6194779092641,21.846324696681,"CellCycle_ecdf_rmse_vs_ploidy",0.0821609960497931,0.762273511150902,0.767123287671233,NA,10000,"monte_carlo_TGI_label_permutation",0.123529411764706,0.64854206697234,0.658534146585341,NA,10000,"monte_carlo_TGI_label_permutation","Pearson r = 0.0822
Permutation P = 0.767
n = 16"
