drug	group
Lapatinib	SIGNALING
Dactolisib	SIGNALING
GNE-317	SIGNALING
SB505124	SIGNALING
AZD8186	SIGNALING
GSK1904529A	SIGNALING
Pictilisib	SIGNALING
Entospletinib	SIGNALING
PLX-4720	SIGNALING
BMS-536924	SIGNALING
JAK_8517	SIGNALING
AZD2014	SIGNALING
GDC0810	HORMONES AND ANTIHORMONES
SB590885	SIGNALING
AZD4547	SIGNALING
OSI-027	SIGNALING
NVP-ADW742	SIGNALING
Taselisib	SIGNALING
Uprosertib	SIGNALING
MK-2206	SIGNALING
SCH772984	SIGNALING
Linsitinib	SIGNALING
PRT062607	SIGNALING
Selumetinib	SIGNALING
BMS-754807	SIGNALING
Buparlisib	SIGNALING
Afuresertib	SIGNALING
Ipatasertib	SIGNALING
Wnt-C59	SIGNALING
AZD6482	SIGNALING
AZD3759	SIGNALING
Cediranib	SIGNALING
IGF1R_3801	SIGNALING
Wee1 Inhibitor	SIGNALING
Trametinib	SIGNALING
LY2109761	SIGNALING
AMG-319	SIGNALING
PD0325901	SIGNALING
LGK974	SIGNALING
AZD1208	SIGNALING
XAV939	SIGNALING
AZ960	SIGNALING
AZD6738	SIGNALING
BMS-345541	SIGNALING
VTP-A	SIGNALING
VTP-B	SIGNALING
LJI308	SIGNALING
KRAS (G12C) Inhibitor-12	SIGNALING
MK-1775	SIGNALING
ERK_2440	SIGNALING
VX-11e	SIGNALING
Axitinib	SIGNALING
IRAK4_4710	SIGNALING
GSK2606414	SIGNALING
Lestaurtinib	SIGNALING
RO-3306	SIGNALING
GSK626616AC	SIGNALING
AZD5438	SIGNALING
GSK269962A	SIGNALING
JAK1_8709	SIGNALING
GSK2830371	SIGNALING
GSK2830371A	SIGNALING
PF-4708671	SIGNALING
Bosutinib	SIGNALING
Sorafenib	SIGNALING
Docetaxel	CYTOTOXIC
Camptothecin	CYTOTOXIC
Paclitaxel	CYTOTOXIC
Oxaliplatin	CYTOTOXIC
Podophyllotoxin bromide	CYTOTOXIC
PBD-288	CYTOTOXIC
Sepantronium bromide	CYTOTOXIC
UMI-77	CYTOTOXIC
WEHI-539	CYTOTOXIC
LCL161	CYTOTOXIC
AZD5582	CYTOTOXIC
Sabutoclax	CYTOTOXIC
Obatoclax Mesylate	CYTOTOXIC
TW 37	CYTOTOXIC
ABT737	CYTOTOXIC
Navitoclax	CYTOTOXIC
AZD5991	CYTOTOXIC
GSK591	EPIGENETICS AND TRANSCRIPTION
RVX-208	EPIGENETICS AND TRANSCRIPTION
TAF1_5496	EPIGENETICS AND TRANSCRIPTION
OTX015	EPIGENETICS AND TRANSCRIPTION
I-BET-762	EPIGENETICS AND TRANSCRIPTION
GSK343	EPIGENETICS AND TRANSCRIPTION
SGC0946	EPIGENETICS AND TRANSCRIPTION
ICL-SIRT078	EPIGENETICS AND TRANSCRIPTION
AGK2	EPIGENETICS AND TRANSCRIPTION
HKMTI-1-005	EPIGENETICS AND TRANSCRIPTION
PFI3	EPIGENETICS AND TRANSCRIPTION
SGC-CBP30	EPIGENETICS AND TRANSCRIPTION
UNC0638	EPIGENETICS AND TRANSCRIPTION
GSK-LSD1-2HCl 	EPIGENETICS AND TRANSCRIPTION
PFI-1	EPIGENETICS AND TRANSCRIPTION
I-BRD9	EPIGENETICS AND TRANSCRIPTION
UNC0379	EPIGENETICS AND TRANSCRIPTION
GSK-LSD1	EPIGENETICS AND TRANSCRIPTION
EPZ5676	EPIGENETICS AND TRANSCRIPTION
EPZ004777	EPIGENETICS AND TRANSCRIPTION
AZD5153	EPIGENETICS AND TRANSCRIPTION
CPI-637	EPIGENETICS AND TRANSCRIPTION
Bromosporine	EPIGENETICS AND TRANSCRIPTION
A-366	EPIGENETICS AND TRANSCRIPTION
GSK2801	EPIGENETICS AND TRANSCRIPTION
CDK9_5576	EPIGENETICS AND TRANSCRIPTION
CDK9_5038	EPIGENETICS AND TRANSCRIPTION
Mycophenolic acid	IMMUNOSUPPRESSIVE AGENTS
