pathway	0	2	4c	5	6	8	10	13	14
Tgf Beta Signaling	0	0	0	0	0	0	0	0	0.955968950749465
Interferon Alpha Response	0	0	0	0.93530434267814	0	0	0	0	0
G2m Checkpoint	0	0	0.918859030048785	0	0.32986896805242	0	0.88758849746036	0	0
Interferon Gamma Response	0	0	0	0.889816367575156	0	0	0	0	0
E2f Targets	0	0	0.83742208849583	0	0.612461437846795	0	0.700443745391602	0	0
Mitotic Spindle	0	0	0.830070132306959	0	0	0	0.75710428692436	0	0
Hypoxia	0	0	0	0.330580853421674	0	0	0	0.824876867162513	0
Mtorc1 Signaling	0	0	0	0	0	0.699909683789154	0	0.577090375799962	0
Fatty Acid Metabolism	0.666666666666667	0	0	0	0	0	0	0	0
Myc Targets V1	0	0	0	0	0.662254416773351	0	0.33816384180791	0	0
Unfolded Protein Response	0	0.353916577049758	0	0	0	0	0	0.658100451826222	0
Epithelial Mesenchymal Transition	0	0.656895175579611	0	0.0788877109738658	0	0.513760259611636	0	0.541071857892612	0.443719337732363
Glycolysis	0	0	0	0	0	0	0.196418241312519	0.650726225083553	0
Dna Repair	0	0	0	0	0.645198013472368	0	0	0	0
Apoptosis	0.396259122727725	0.633853191166099	0	0.322319095321089	0	0	0	0.314458517150126	0
Myogenesis	0	0.311166607193117	0	0	0	0.59629160425695	0	0.494526213953374	0
Coagulation	0	0.589303629754593	0	0.436129059018506	0	0	0	0.367821231612378	0
Myc Targets V2	0	0	0	0	0.573275802767276	0	0	0	0
Tnfa Signaling via Nfkb	0	0.431235993137804	0	0.56245502422772	0	0	0	0.389703427716991	0
Heme Metabolism	0	0	0	0	0	0	0	0.524272142843238	0
