"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","gene_symbol","cluster","gene_key","lfc_value","p_val_adj_num","delta_pct","abs_logfc","abs_delta_pct"
1.13622702402467e-75,2.3574217587886,0.854,0.213,8.21514862910315e-71,"GRCh38-ARHGAP11A","ARHGAP11A","4c","ARHGAP11A",2.3574217587886,8.21514862910315e-71,0.641,2.3574217587886,0.641
1.40419989316439e-29,2.32305595751868,0.913,0.677,1.01526460675572e-24,"GRCm39-Lars2","Lars2","4c","LARS2",2.32305595751868,1.01526460675572e-24,0.236,2.32305595751868,0.236
3.35727363279882e-29,2.32220343953933,0.66,0.25,2.4273759819862e-24,"GRCh38-APOLD1","APOLD1","4c","APOLD1",2.32220343953933,2.4273759819862e-24,0.41,2.32220343953933,0.41
2.5387816577522e-11,2.31427504311893,0.214,0.062,1.83558991418799e-06,"GRCh38-NLGN1","NLGN1","4c","NLGN1",2.31427504311893,1.83558991418799e-06,0.152,2.31427504311893,0.152
9.85463386117955e-59,2.30426692948125,0.893,0.312,7.12509737431004e-54,"GRCh38-TACC3","TACC3","4c","TACC3",2.30426692948125,7.12509737431004e-54,0.581,2.30426692948125,0.581
2.54201457121766e-84,2.29967357180518,0.874,0.186,1.83792737528179e-79,"GRCh38-CDCA2","CDCA2","4c","CDCA2",2.29967357180518,1.83792737528179e-79,0.688,2.29967357180518,0.688
2.88576349430145e-30,2.29365057154225,0.796,0.397,2.08646472164983e-25,"GRCh38-CEP128","CEP128","4c","CEP128",2.29365057154225,2.08646472164983e-25,0.399,2.29365057154225,0.399
8.19971822675208e-55,2.28073636855501,0.961,0.42,5.92856027230629e-50,"GRCh38-KIF20B","KIF20B","4c","KIF20B",2.28073636855501,5.92856027230629e-50,0.541,2.28073636855501,0.541
7.69509942758298e-68,2.27550446521432,0.942,0.295,5.56371078813105e-63,"GRCh38-KIF23","KIF23","4c","KIF23",2.27550446521432,5.56371078813105e-63,0.647,2.27550446521432,0.647
4.10874154287127e-51,2.23858396139954,0.932,0.435,2.97070231032679e-46,"GRCh38-ECT2","ECT2","4c","ECT2",2.23858396139954,2.97070231032679e-46,0.497,2.23858396139954,0.497
8.48130937791939e-28,2.22632966779252,0.456,0.119,6.13215630642327e-23,"GRCh38-ENSG00000250697","ENSG00000250697","4c","ENSG00000250697",2.22632966779252,6.13215630642327e-23,0.337,2.22632966779252,0.337
2.51386567583962e-62,2.21157178746794,0.99,0.422,1.81757516094556e-57,"GRCh38-CCNB1","CCNB1","4c","CCNB1",2.21157178746794,1.81757516094556e-57,0.568,2.21157178746794,0.568
1.92627004597286e-17,2.20604872521531,0.757,0.544,1.3927317686393e-12,"GRCh38-MIR924HG","MIR924HG","4c","MIR924HG",2.20604872521531,1.3927317686393e-12,0.213,2.20604872521531,0.213
4.75871642152025e-57,2.20564523362935,0.854,0.292,3.44064714708757e-52,"GRCh38-KIF11","KIF11","4c","KIF11",2.20564523362935,3.44064714708757e-52,0.562,2.20564523362935,0.562
4.54963596167329e-50,2.20538419425266,0.932,0.435,3.28947779300902e-45,"GRCh38-NUSAP1","NUSAP1","4c","NUSAP1",2.20538419425266,3.28947779300902e-45,0.497,2.20538419425266,0.497
6.93901765342425e-11,2.197744554947,0.563,0.327,5.0170485437788e-06,"GRCh38-HMGA2","HMGA2","4c","HMGA2",2.197744554947,5.0170485437788e-06,0.236,2.197744554947,0.236
3.53492856546121e-117,2.18993946321255,0.728,0.091,2.55582405139976e-112,"GRCh38-CDC25C","CDC25C","4c","CDC25C",2.18993946321255,2.55582405139976e-112,0.637,2.18993946321255,0.637
5.66916300504181e-24,2.18957995768178,0.447,0.131,4.09891823590533e-19,"GRCh38-DLGAP1","DLGAP1","4c","DLGAP1",2.18957995768178,4.09891823590533e-19,0.316,2.18957995768178,0.316
1.02610845872222e-59,2.18795681974992,0.874,0.277,7.41896937825338e-55,"GRCh38-LMNB1","LMNB1","4c","LMNB1",2.18795681974992,7.41896937825338e-55,0.597,2.18795681974992,0.597
4.17902847266513e-133,2.18709135268519,0.874,0.114,3.02152116630634e-128,"GRCh38-CKAP2L","CKAP2L","4c","CKAP2L",2.18709135268519,3.02152116630634e-128,0.76,2.18709135268519,0.76
4.87635609482555e-78,2.18614906726223,0.757,0.144,3.52570298368077e-73,"GRCh38-CENPI","CENPI","4c","CENPI",2.18614906726223,3.52570298368077e-73,0.613,2.18614906726223,0.613
7.52863177043808e-52,2.18483843450456,0.874,0.332,5.44335134266214e-47,"GRCh38-GPSM2","GPSM2","4c","GPSM2",2.18483843450456,5.44335134266214e-47,0.542,2.18483843450456,0.542
8.96419736756314e-97,2.17823319717851,0.816,0.138,6.4812939806955e-92,"GRCh38-HMMR","HMMR","4c","HMMR",2.17823319717851,6.4812939806955e-92,0.678,2.17823319717851,0.678
2.65135722851489e-34,2.17731911174216,0.621,0.183,1.91698430336084e-29,"GRCh38-DPYSL3","DPYSL3","4c","DPYSL3",2.17731911174216,1.91698430336084e-29,0.438,2.17731911174216,0.438
1.1724550364474e-32,2.16936782599343,0.883,0.551,8.47708440452198e-28,"GRCh38-KPNA2","KPNA2","4c","KPNA2",2.16936782599343,8.47708440452198e-28,0.332,2.16936782599343,0.332
1.29122570975784e-137,2.16487232208908,0.932,0.129,9.33582012669113e-133,"GRCh38-DLGAP5","DLGAP5","4c","DLGAP5",2.16487232208908,9.33582012669113e-133,0.803,2.16487232208908,0.803
1.19481897286171e-62,2.15771611338483,0.883,0.271,8.63878013758473e-58,"GRCh38-SGO2","SGO2","4c","SGO2",2.15771611338483,8.63878013758473e-58,0.612,2.15771611338483,0.612
6.76267565737649e-101,2.14982918695677,0.825,0.135,4.88954975379635e-96,"GRCh38-CDCA8","CDCA8","4c","CDCA8",2.14982918695677,4.88954975379635e-96,0.69,2.14982918695677,0.69
7.14899909018522e-51,2.14903854337434,0.786,0.25,5.16886932218572e-46,"GRCh38-GAS2L3","GAS2L3","4c","GAS2L3",2.14903854337434,5.16886932218572e-46,0.536,2.14903854337434,0.536
3.35235761765108e-104,2.14879758990667,0.874,0.153,2.42382160471408e-99,"GRCh38-BUB1","BUB1","4c","BUB1",2.14879758990667,2.42382160471408e-99,0.721,2.14879758990667,0.721
4.63663772207898e-96,2.14783313755368,0.786,0.127,3.35238180581755e-91,"GRCh38-KIF15","KIF15","4c","KIF15",2.14783313755368,3.35238180581755e-91,0.659,2.14783313755368,0.659
4.10925917054877e-32,2.14220383855851,0.796,0.36,2.97107656549017e-27,"GRCh38-CENPP","CENPP","4c","CENPP",2.14220383855851,2.97107656549017e-27,0.436,2.14220383855851,0.436
4.73049441126702e-84,2.14153970927535,0.864,0.183,3.42024206923428e-79,"GRCh38-NCAPG","NCAPG","4c","NCAPG",2.14153970927535,3.42024206923428e-79,0.681,2.14153970927535,0.681
8.28191274902227e-34,2.13957108536882,0.854,0.421,5.98798855579808e-29,"GRCh38-CCDC18","CCDC18","4c","CCDC18",2.13957108536882,5.98798855579808e-29,0.433,2.13957108536882,0.433
5.45305310956276e-32,2.12663108595509,0.971,0.841,3.94266645927607e-27,"GRCh38-CKAP5","CKAP5","4c","CKAP5",2.12663108595509,3.94266645927607e-27,0.13,2.12663108595509,0.13
1.24293849581829e-16,2.10958456681479,0.301,0.083,8.98669391246543e-12,"GRCh38-CTNNA3","CTNNA3","4c","CTNNA3",2.10958456681479,8.98669391246543e-12,0.218,2.10958456681479,0.218
