"initial_ploidy","dose","cluster_final","cluster_annotation","cluster_order","n_mice","sum_n_cells","sum_total_cells","mean_proportion","sd_proportion","min_proportion","max_proportion"
"4N","0mg/kg","10","cell_cycle_candidate",7,4,352,2024,0.20417906767991,0.0835759454298575,0.0822072072072072,0.262086513994911
"4N","0mg/kg","13","not_cell_cycle_candidate",8,4,125,2024,0.0622891031602491,0.00719574940453668,0.0559796437659033,0.0726256983240224
"4N","0mg/kg","14","not_cell_cycle_candidate",9,4,1,2024,0.000281531531531532,0.000563063063063063,0,0.00112612612612613
"4N","30mg/kg","0","not_cell_cycle_candidate",1,2,419,849,0.508104858104858,0.0371749741143289,0.481818181818182,0.534391534391534
"4N","30mg/kg","2","not_cell_cycle_candidate",2,2,89,849,0.0844155844155844,0.052038161386023,0.0476190476190476,0.121212121212121
"4N","30mg/kg","4c","not_cell_cycle_candidate",3,2,13,849,0.0136243386243386,0.0043025015786483,0.0105820105820106,0.0166666666666667
"4N","30mg/kg","5","not_cell_cycle_candidate",4,2,45,849,0.0586339586339586,0.01435300921889,0.0484848484848485,0.0687830687830688
"4N","30mg/kg","6","cell_cycle_candidate",5,2,65,849,0.07000962000962,0.0166998282617891,0.0582010582010582,0.0818181818181818
"4N","30mg/kg","8","not_cell_cycle_candidate",6,2,0,849,0,0,0,0
"4N","30mg/kg","10","cell_cycle_candidate",7,2,175,849,0.221308321308321,0.0387055082727413,0.193939393939394,0.248677248677249
"4N","30mg/kg","13","not_cell_cycle_candidate",8,2,43,849,0.0439033189033189,0.0171930003794998,0.0317460317460317,0.0560606060606061
"4N","30mg/kg","14","not_cell_cycle_candidate",9,2,0,849,0,0,0,0
"4N","120mg/kg","0","not_cell_cycle_candidate",1,2,1024,2079,0.493142602054346,0.00110948370543121,0.49235807860262,0.493927125506073
"4N","120mg/kg","2","not_cell_cycle_candidate",2,2,228,2079,0.0955030231776957,0.026276011981445,0.0769230769230769,0.114082969432314
"4N","120mg/kg","4c","not_cell_cycle_candidate",3,2,8,2079,0.00393477184732069,0.000160953269942839,0.00382096069868996,0.00404858299595142
"4N","120mg/kg","5","not_cell_cycle_candidate",4,2,172,2079,0.0662082545126673,0.0306514406789203,0.0445344129554656,0.087882096069869
"4N","120mg/kg","6","cell_cycle_candidate",5,2,129,2079,0.0614779095875396,0.0010594788060315,0.0607287449392713,0.0622270742358079
"4N","120mg/kg","8","not_cell_cycle_candidate",6,2,3,2079,0.000818777292576419,0.0011579259517247,0,0.00163755458515284
"4N","120mg/kg","10","cell_cycle_candidate",7,2,407,2079,0.237179118858618,0.0768184640497089,0.182860262008734,0.291497975708502
"4N","120mg/kg","13","not_cell_cycle_candidate",8,2,108,2079,0.0417355426692361,0.0189440436069615,0.0283400809716599,0.0551310043668122
"4N","120mg/kg","14","not_cell_cycle_candidate",9,2,0,2079,0,0,0,0
