"group_value","fill_value","n_cells","total_cells","proportion","group_field","fill_field","denominator_definition"
"0","2N",12649,22670,0.557962064402294,"cluster","initial_ploidy","all plotted cells within cluster"
"2","2N",2043,3644,0.560647639956092,"cluster","initial_ploidy","all plotted cells within cluster"
"4c","2N",65,103,0.631067961165049,"cluster","initial_ploidy","all plotted cells within cluster"
"5","2N",1057,1823,0.579813494240263,"cluster","initial_ploidy","all plotted cells within cluster"
"6","2N",920,1685,0.545994065281899,"cluster","initial_ploidy","all plotted cells within cluster"
"8","2N",993,1579,0.628879037365421,"cluster","initial_ploidy","all plotted cells within cluster"
"10","2N",1627,3095,0.525686591276252,"cluster","initial_ploidy","all plotted cells within cluster"
"13","2N",324,704,0.460227272727273,"cluster","initial_ploidy","all plotted cells within cluster"
"14","2N",38,210,0.180952380952381,"cluster","initial_ploidy","all plotted cells within cluster"
"0","4N",10021,22670,0.442037935597706,"cluster","initial_ploidy","all plotted cells within cluster"
"2","4N",1601,3644,0.439352360043908,"cluster","initial_ploidy","all plotted cells within cluster"
"4c","4N",38,103,0.368932038834951,"cluster","initial_ploidy","all plotted cells within cluster"
"5","4N",766,1823,0.420186505759737,"cluster","initial_ploidy","all plotted cells within cluster"
"6","4N",765,1685,0.454005934718101,"cluster","initial_ploidy","all plotted cells within cluster"
"8","4N",586,1579,0.371120962634579,"cluster","initial_ploidy","all plotted cells within cluster"
"10","4N",1468,3095,0.474313408723748,"cluster","initial_ploidy","all plotted cells within cluster"
"13","4N",380,704,0.539772727272727,"cluster","initial_ploidy","all plotted cells within cluster"
"14","4N",172,210,0.819047619047619,"cluster","initial_ploidy","all plotted cells within cluster"
