"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","gene_symbol","cluster","gene_key","lfc_value","p_val_adj_num","delta_pct","abs_logfc","abs_delta_pct"
0,2.26910383714731,0.691,0.274,0,"GRCh38-KRT81","KRT81",8,"KRT81",2.26910383714731,0,0.417,2.26910383714731,0.417
0,1.99985007837689,0.861,0.304,0,"GRCh38-GAGE12F","GAGE12F",8,"GAGE12F",1.99985007837689,0,0.557,1.99985007837689,0.557
0,1.74119700994062,0.702,0.232,0,"GRCh38-HBE1","HBE1",8,"HBE1",1.74119700994062,0,0.47,1.74119700994062,0.47
3.33061678636979e-310,1.58285935124167,0.638,0.27,2.40810254888109e-305,"GRCh38-IGFBP2","IGFBP2",8,"IGFBP2",1.58285935124167,2.40810254888109e-305,0.368,1.58285935124167,0.368
0,1.57530743375257,0.891,0.412,0,"GRCh38-FIRRE","FIRRE",8,"FIRRE",1.57530743375257,0,0.479,1.57530743375257,0.479
0,1.40046423142061,0.899,0.337,0,"GRCh38-ENSG00000287474","ENSG00000287474",8,"ENSG00000287474",1.40046423142061,0,0.562,1.40046423142061,0.562
0,1.30941698369127,0.652,0.214,0,"GRCh38-CDH9","CDH9",8,"CDH9",1.30941698369127,0,0.438,1.30941698369127,0.438
0,1.27753881111873,0.894,0.472,0,"GRCh38-LINC02241","LINC02241",8,"LINC02241",1.27753881111873,0,0.422,1.27753881111873,0.422
0,1.26102432758076,0.588,0.122,0,"GRCh38-HSD11B1","HSD11B1",8,"HSD11B1",1.26102432758076,0,0.466,1.26102432758076,0.466
0,1.23527213024381,0.961,0.476,0,"GRCh38-TENM1","TENM1",8,"TENM1",1.23527213024381,0,0.485,1.23527213024381,0.485
6.27599942250028e-125,1.22174367323213,0.366,0.166,4.53767310245616e-120,"GRCh38-ENSG00000263551","ENSG00000263551",8,"ENSG00000263551",1.22174367323213,4.53767310245616e-120,0.2,1.22174367323213,0.2
6.16054632326079e-216,1.22128879009912,0.726,0.349,4.45419820264402e-211,"GRCh38-IGFBP5","IGFBP5",8,"IGFBP5",1.22128879009912,4.45419820264402e-211,0.377,1.22128879009912,0.377
5.27036057552883e-65,1.17605702611602,0.574,0.418,3.81057610331885e-60,"GRCh38-SEMA5A","SEMA5A",8,"SEMA5A",1.17605702611602,3.81057610331885e-60,0.156,1.17605702611602,0.156
0,1.17506767625406,0.394,0.091,0,"GRCh38-ENSG00000289084","ENSG00000289084",8,"ENSG00000289084",1.17506767625406,0,0.303,1.17506767625406,0.303
0,1.17327423821418,0.491,0.123,0,"GRCh38-MARCHF1","MARCHF1",8,"MARCHF1",1.17327423821418,0,0.368,1.17327423821418,0.368
3.51644634933361e-218,1.16704489371458,0.59,0.267,2.54246103949519e-213,"GRCh38-PPM1E","PPM1E",8,"PPM1E",1.16704489371458,2.54246103949519e-213,0.323,1.16704489371458,0.323
3.67015774393371e-285,1.1489135401617,0.662,0.291,2.65359745201895e-280,"GRCh38-KRT86","KRT86",8,"KRT86",1.1489135401617,2.65359745201895e-280,0.371,1.1489135401617,0.371
4.42741509719958e-315,1.10039454774662,0.714,0.299,3.20110966357724e-310,"GRCh38-ENSG00000243276","ENSG00000243276",8,"ENSG00000243276",1.10039454774662,3.20110966357724e-310,0.415,1.10039454774662,0.415
1.59610294179325e-140,1.09645781114003,0.666,0.444,1.15401434897536e-135,"GRCh38-PSAT1","PSAT1",8,"PSAT1",1.09645781114003,1.15401434897536e-135,0.222,1.09645781114003,0.222
0,1.08169292886462,0.938,0.674,0,"GRCh38-PIR","PIR",8,"PIR",1.08169292886462,0,0.264,1.08169292886462,0.264
8.6796978025428e-301,1.06394649290425,0.975,0.809,6.2755951051945e-296,"GRCh38-CCPG1","CCPG1",8,"CCPG1",1.06394649290425,6.2755951051945e-296,0.166,1.06394649290425,0.166
2.49873540815147e-78,1.03918461733871,0.728,0.461,1.80663567480168e-73,"GRCh38-IL1RAPL1","IL1RAPL1",8,"IL1RAPL1",1.03918461733871,1.80663567480168e-73,0.267,1.03918461733871,0.267
