"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","gene_symbol","cluster"
0,4.97767252546142,0.838,0.267,0,"GRCh38-CCL5","CCL5","5"
0,4.7470358002771,0.919,0.199,0,"GRCh38-OASL","OASL","5"
0,4.66564315893011,0.698,0.143,0,"GRCh38-IFIT2","IFIT2","5"
0,3.77331581097097,0.887,0.345,0,"GRCh38-IFIT3","IFIT3","5"
0,3.70648008735962,0.919,0.737,0,"GRCh38-ZC3HAV1","ZC3HAV1","5"
0,3.27363935183224,0.964,0.696,0,"GRCh38-ISG15","ISG15","5"
0,3.11523531567173,0.71,0.133,0,"GRCh38-HERC5","HERC5","5"
0,2.96081366425816,0.399,0.03,0,"GRCh38-RSAD2","RSAD2","5"
0,2.7391348304925,0.867,0.445,0,"GRCh38-RIGI","RIGI","5"
0,2.68810075080753,0.693,0.167,0,"GRCh38-IFIT1","IFIT1","5"
0,2.54894275830852,0.836,0.557,0,"GRCh38-PLAAT4","PLAAT4","5"
0,2.46506732198713,0.868,0.42,0,"GRCh38-DDX60","DDX60","5"
0,2.33779553654026,0.77,0.312,0,"GRCh38-PMAIP1","PMAIP1","5"
0,2.32963332640647,0.8,0.396,0,"GRCh38-ISG20","ISG20","5"
0,2.28707454594293,0.789,0.429,0,"GRCh38-CXCL11","CXCL11","5"
0,2.10493307913755,0.907,0.801,0,"GRCh38-FNDC3A","FNDC3A","5"
0,2.08679836003272,0.948,0.599,0,"GRCh38-IFI44","IFI44","5"
0,1.90824291468831,0.787,0.425,0,"GRCh38-HERC6","HERC6","5"
0,1.85945871247106,0.767,0.331,0,"GRCh38-GBP4","GBP4","5"
0,1.83454675746201,0.905,0.784,0,"GRCh38-B4GALT5","B4GALT5","5"
0,1.74296543440113,0.767,0.311,0,"GRCh38-IL7R","IL7R","5"
0,1.70963158042548,0.93,0.794,0,"GRCh38-SAR1A","SAR1A","5"
0,1.57487036631245,0.313,0.044,0,"GRCh38-RANBP3L","RANBP3L","5"
0,1.54999099742848,0.769,0.444,0,"GRCh38-SAMD9L","SAMD9L","5"
0,1.54457527644102,0.471,0.155,0,"GRCh38-CFAP54","CFAP54","5"
0,1.50027250749389,0.899,0.644,0,"GRCh38-SQOR","SQOR","5"
0,1.29654249424895,0.798,0.499,0,"GRCh38-APOL1","APOL1","5"
0,1.25357003431698,0.602,0.155,0,"GRCh38-RTP4","RTP4","5"
0,1.20167571535665,0.699,0.315,0,"GRCh38-TRANK1","TRANK1","5"
0,1.14226408770454,0.421,0.09,0,"GRCh38-MDGA1","MDGA1","5"
0,0.923993077448222,0.327,0.073,0,"GRCh38-LINC02968","LINC02968","5"
0,0.844789675596249,0.312,0.043,0,"GRCh38-ENSG00000273445","ENSG00000273445","5"
0,0.808219085181324,0.427,0.085,0,"GRCh38-ADAP1","ADAP1","5"
0,0.778474895485348,0.179,0.011,0,"GRCh38-CH25H","CH25H","5"
0,0.75744378589776,0.204,0.013,0,"GRCh38-ENSG00000270240","ENSG00000270240","5"
0,0.650651522757382,0.256,0.042,0,"GRCh38-MYO3B","MYO3B","5"
0,0.455198885998492,0.15,0.012,0,"GRCh38-PIK3AP1","PIK3AP1","5"
0,0.432391828185026,0.139,0.012,0,"GRCh38-CPXM1","CPXM1","5"
0,0.426626398133231,0.158,0.011,0,"GRCh38-TNFRSF8","TNFRSF8","5"
0,0.34057287915453,0.118,0.007,0,"GRCh38-PLAAT2","PLAAT2","5"
0,0.296731889882858,0.118,0.007,0,"GRCh38-ACTN2","ACTN2","5"
2.75775842847219e-316,1.64589884765615,0.943,0.908,1.99391449895397e-311,"GRCh38-PARP14","PARP14","5"
2.86884873468663e-311,0.669741689622052,0.335,0.08,2.07423501215312e-306,"GRCh38-CEACAM1","CEACAM1","5"
1.12891256030885e-303,1.22141109667088,0.389,0.11,8.16226359354502e-299,"GRCh38-IDO1","IDO1","5"
1.30953002016083e-296,1.61305128173345,0.903,0.781,9.46816395176681e-292,"GRCh38-ZNFX1","ZNFX1","5"
1.58356831935907e-295,1.31207815094805,0.625,0.273,1.14495156626299e-290,"GRCh38-AIM2","AIM2","5"
1.96503153272342e-286,2.03922292603415,0.77,0.503,1.42075709878969e-281,"GRCh38-IFIH1","IFIH1","5"
1.23704623621865e-281,0.794894582759558,0.483,0.175,8.94409169710812e-277,"GRCh38-DHX58","DHX58","5"
1.58936321904841e-280,0.27051456856126,0.176,0.025,1.14914139463638e-275,"GRCh38-USP30-AS1","USP30-AS1","5"
2.98458645933016e-275,-1.02761380292814,0.752,0.929,2.15791570182489e-270,"GRCh38-DANCR","DANCR","5"
6.54346768672829e-274,1.46233017407221,0.944,0.928,4.73105800685829e-269,"GRCh38-RFC1","RFC1","5"
1.10567093674138e-266,-0.84103039696926,0.907,0.973,7.99422200682754e-262,"GRCh38-EIF4B","EIF4B","5"
7.75239902227244e-266,1.28163481532441,0.623,0.317,5.60513954108342e-261,"GRCh38-CD99P1","CD99P1","5"
3.34519240221814e-260,1.21280519352268,0.805,0.542,2.41864101065176e-255,"GRCh38-SAMHD1","SAMHD1","5"
4.15889569652594e-260,1.41308541131642,0.416,0.141,3.00696476650219e-255,"GRCh38-ENSG00000272865","ENSG00000272865","5"
1.86157168803738e-257,1.95711950941299,0.688,0.408,1.34595356188479e-252,"GRCh38-ZNF704","ZNF704","5"
8.2394864596283e-257,1.42548651456257,0.677,0.379,5.95731350004045e-252,"GRCh38-CHEK2","CHEK2","5"
1.16232378876475e-254,2.00892156348459,0.906,0.794,8.40383345752687e-250,"GRCh38-GRB10","GRB10","5"
4.78560046329293e-252,1.37084373320616,0.98,0.941,3.46008484697005e-247,"GRCh38-SOD2","SOD2","5"
3.40611799202524e-248,1.49718031265511,0.916,0.723,2.46269143059409e-243,"GRCh38-EPSTI1","EPSTI1","5"
5.59733908409635e-248,1.80477482464075,0.933,0.863,4.04698810458335e-243,"GRCh38-MAP4K4","MAP4K4","5"
1.94718993950233e-246,1.58397097139624,0.875,0.711,1.40785727005897e-241,"GRCh38-CFB","CFB","5"
4.81049113741665e-244,1.61785494185803,0.72,0.448,3.47808130217499e-239,"GRCh38-FGF2","FGF2","5"
1.34958474585518e-239,1.00385006599556,0.487,0.179,9.75776762948214e-235,"GRCh38-OAS2","OAS2","5"
4.18889866083613e-233,1.423361625355,0.901,0.816,3.02865750975774e-228,"GRCh38-KDM6A","KDM6A","5"
1.81772758385579e-232,1.55589649684729,0.862,0.723,1.31425339767941e-227,"GRCh38-RPS6KC1","RPS6KC1","5"
1.4112331555283e-229,0.613728386145076,0.228,0.049,1.02034979611007e-224,"GRCh38-PLD5","PLD5","5"
1.4253825652861e-226,-0.779773482160197,0.974,0.992,1.03058010235316e-221,"GRCh38-RPL23","RPL23","5"
6.73961091555545e-226,1.0946733599504,0.75,0.52,4.8728734841649e-221,"GRCh38-IRF1-AS1","IRF1-AS1","5"
1.44469181136531e-223,1.0102073701382,0.675,0.368,1.04454107345334e-218,"GRCh38-MX2","MX2","5"
1.55579248611305e-223,1.78457989895616,0.832,0.623,1.12486908330946e-218,"GRCh38-SAMD9","SAMD9","5"
6.23843246238071e-222,0.662036155092466,0.333,0.102,4.5105114389505e-217,"GRCh38-BATF3","BATF3","5"
3.56770244473383e-213,1.05805005928684,0.965,0.964,2.57952022159145e-208,"GRCh38-PPA1","PPA1","5"
3.76955257359306e-212,1.19404266937124,0.939,0.872,2.72546190175925e-207,"GRCh38-CCND3","CCND3","5"
1.20127933941286e-210,1.02001108953716,0.845,0.69,8.68548987982286e-206,"GRCh38-STAT2","STAT2","5"
2.66563043474173e-209,0.976619947580383,0.653,0.378,1.92730411692696e-204,"GRCh38-APOL2","APOL2","5"
4.60415063058008e-208,2.41177176993772,0.834,0.702,3.32889298892201e-203,"GRCh38-IGFBP6","IGFBP6","5"
3.02787366380272e-199,-0.80692409229559,0.331,0.679,2.18921321640265e-194,"GRCh38-NT5DC2","NT5DC2","5"
4.21109770611475e-199,1.71681347264825,0.889,0.823,3.04470786347509e-194,"GRCh38-AFAP1","AFAP1","5"
4.35612886920511e-199,1.91493170080214,0.838,0.634,3.14956829501268e-194,"GRCh38-TTC28","TTC28","5"
7.43075643578434e-196,0.658887933601534,0.306,0.094,5.37258551820079e-191,"GRCh38-RHEBL1","RHEBL1","5"
3.22641771298736e-185,2.41928096096048,0.653,0.434,2.33276453484412e-180,"GRCh38-SLC2A13","SLC2A13","5"
2.11353821820408e-182,0.968668607041122,0.472,0.217,1.52813040252591e-177,"GRCh38-RGS9","RGS9","5"
5.75704485619378e-182,0.284204187937453,0.108,0.014,4.16245857192523e-177,"GRCh38-RIPOR2","RIPOR2","5"
3.79270355488542e-179,1.33290577641526,0.905,0.852,2.74220052425325e-174,"GRCh38-IRF1","IRF1","5"
6.70259464913464e-179,1.35252539485569,0.88,0.778,4.84610998321733e-174,"GRCh38-ZFP36L2","ZFP36L2","5"
1.48613642005918e-177,-0.690179467394276,0.95,0.982,1.07450635443119e-172,"GRCh38-H3-3A","H3-3A","5"
4.16055230352754e-176,1.5045479039487,0.773,0.575,3.00816252649648e-171,"GRCh38-SLPI","SLPI","5"
7.92621008453567e-176,1.1871582582156,0.833,0.635,5.73080841532098e-171,"GRCh38-COL8A1","COL8A1","5"
8.93859666053528e-176,-0.637742300093647,0.985,0.995,6.46278415750022e-171,"GRCh38-RPL6","RPL6","5"
2.13181690468771e-174,0.873117293193472,0.866,0.746,1.54134625842731e-169,"GRCh38-APOL6","APOL6","5"
1.67856328615596e-173,1.660511112107,0.957,0.934,1.21363482715648e-168,"GRCh38-SPAG9","SPAG9","5"
3.30124588362169e-173,1.5173301179219,0.681,0.409,2.38686679877615e-168,"GRCh38-DMD","DMD","5"
7.02960721830553e-173,-0.680927331408759,0.905,0.97,5.08254661097926e-168,"GRCh38-EIF3A","EIF3A","5"
3.51775924295258e-171,0.701972315939105,0.564,0.304,2.54341028783957e-166,"GRCh38-THEMIS2","THEMIS2","5"
3.92025810205873e-169,1.32506965027416,0.754,0.544,2.8344250129505e-164,"GRCh38-JAK2","JAK2","5"
9.05426061989636e-168,1.35634126358228,0.778,0.552,6.54641151339746e-163,"GRCh38-PLCG2","PLCG2","5"
2.07745167624075e-167,-0.637581764553077,0.978,0.993,1.50203911095558e-162,"GRCh38-RPL5","RPL5","5"
4.06952389892284e-162,0.340554528831851,0.229,0.063,2.94234716939919e-157,"GRCh38-CALHM5","CALHM5","5"
2.26488549448277e-160,0.637218653404896,0.297,0.102,1.63755751022093e-155,"GRCh38-FZD4","FZD4","5"
7.41855160354529e-159,-0.649822489667292,0.925,0.97,5.36376118039532e-154,"GRCh38-RBMX","RBMX","5"
7.42527260795657e-152,0.358872063712174,0.168,0.039,5.36862060100476e-147,"GRCh38-C12orf40","C12orf40","5"
1.70380659680034e-148,1.15701443896856,0.884,0.671,1.23188624561858e-143,"GRCh38-KRT17","KRT17","5"
3.21144667204764e-146,1.33829078775607,0.761,0.576,2.32194017282388e-141,"GRCh38-WARS1","WARS1","5"
1.46436758969257e-144,1.65231756939944,0.798,0.641,1.05876705469952e-139,"GRCh38-PRSS23","PRSS23","5"
2.91731675305953e-144,2.98287605250184,0.398,0.174,2.1092783587971e-139,"GRCh38-CXCL10","CXCL10","5"
3.35339381736139e-144,0.263050765649216,0.148,0.032,2.42457079782863e-139,"GRCh38-CFAP57","CFAP57","5"
4.35272397075336e-144,1.30044729054923,0.86,0.769,3.14710648533409e-139,"GRCh38-GBP1","GBP1","5"
1.02272135033118e-140,0.575711328532083,0.234,0.072,7.39447990716452e-136,"GRCh38-HCAR2","HCAR2","5"
7.59788229209896e-140,-0.542734324691458,0.948,0.978,5.49342085483339e-135,"GRCh38-SLC25A3","SLC25A3","5"
4.85632953392756e-139,0.305127571796727,0.207,0.059,3.5112233796203e-134,"GRCh38-C19orf38","C19orf38","5"
1.19468329892251e-135,-0.539923883754245,0.982,0.992,8.63779918786953e-131,"GRCh38-RPS7","RPS7","5"
2.03175268245993e-135,0.932817412791721,0.33,0.134,1.46899782447218e-130,"GRCh38-NRG2","NRG2","5"
9.19908546180625e-134,1.54553929716599,0.494,0.282,6.65112277059516e-129,"GRCh38-HIP1R","HIP1R","5"
2.40891201950267e-132,1.15154474080585,0.34,0.141,1.74169156834082e-127,"GRCh38-GBP5","GBP5","5"
4.88272139651704e-131,-0.531291152729495,0.978,0.991,3.53030522410975e-126,"GRCh38-RPL17","RPL17","5"
1.43215828466479e-129,0.969081519922638,0.663,0.459,1.03547908297833e-124,"GRCh38-FAS","FAS","5"
3.56459049978075e-127,0.341264187510065,0.18,0.049,2.57727022315147e-122,"GRCh38-P2RX7","P2RX7","5"
1.55241298439201e-125,0.520113292824081,0.363,0.16,1.12242563597511e-120,"GRCh38-USP18","USP18","5"
2.96110642464366e-125,1.37286697103009,0.736,0.547,2.14093916714586e-120,"GRCh38-PLAUR","PLAUR","5"
1.020758422397e-124,1.34767267950365,0.803,0.739,7.38028754561478e-120,"GRCh38-MFSD14A","MFSD14A","5"
