"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","gene_symbol","cluster"
4.38820340797427e-88,0.279852428902837,0.987,0.959,3.17275882803356e-83,"GRCh38-XRCC6","XRCC6","2"
7.31785792588524e-88,0.325190014767564,0.683,0.539,5.29095763757355e-83,"GRCh38-URB1","URB1","2"
8.21051350917003e-88,0.300011991505389,0.971,0.939,5.93636547740011e-83,"GRCh38-MCTS1","MCTS1","2"
9.98661491025428e-88,0.350137677170123,0.945,0.873,7.22052231241205e-83,"GRCh38-MAPKAP1","MAPKAP1","2"
1.00704545351745e-87,0.441938747754229,0.759,0.639,7.28114003802189e-83,"GRCh38-PAM","PAM","2"
1.07775151392483e-87,0.30739839144641,0.983,0.945,7.79235899597928e-83,"GRCh38-CIAO2B","CIAO2B","2"
1.124881824177e-87,0.338323878649274,0.805,0.691,8.13312056516458e-83,"GRCh38-XPO6","XPO6","2"
1.54889077997015e-87,0.30154683737854,0.953,0.899,1.11987901173402e-82,"GRCh38-TMEM147","TMEM147","2"
1.64101930406275e-87,0.403664317118275,0.951,0.891,1.18648977722345e-82,"GRCh38-ITGAV","ITGAV","2"
1.83735134039734e-87,0.359822963748638,0.682,0.534,1.32844176613409e-82,"GRCh38-ABHD5","ABHD5","2"
2.49376783134898e-87,0.314355915819501,0.688,0.542,1.80304401742194e-82,"GRCh38-PDCL3","PDCL3","2"
2.58338705425184e-87,0.305161359657313,0.498,0.347,1.86784050796516e-82,"GRCh38-AMOTL2","AMOTL2","2"
2.74461588620646e-87,0.448812124801137,0.871,0.773,1.984412178045e-82,"GRCh38-MXRA7","MXRA7","2"
3.11406166853635e-87,0.269388656804179,0.742,0.609,2.25152886758516e-82,"GRCh38-NPM3","NPM3","2"
4.30611039586791e-87,0.331317370964072,0.801,0.687,3.11340393842042e-82,"GRCh38-DUSP14","DUSP14","2"
7.64066180939895e-87,0.289990040344305,0.952,0.896,5.52435130143163e-82,"GRCh38-SMARCA4","SMARCA4","2"
8.33924526566897e-87,0.394252195349199,0.867,0.776,6.02944111198398e-82,"GRCh38-CORO1C","CORO1C","2"
1.09298450503215e-86,0.532006145942518,0.886,0.816,7.90249656828347e-82,"GRCh38-GALNT2","GALNT2","2"
1.60792439686332e-86,0.508221836403666,0.887,0.803,1.16256149742012e-81,"GRCh38-RRAS2","RRAS2","2"
1.62477596347572e-86,0.268331828952828,0.989,0.955,1.17474551711222e-81,"GRCh38-PRPF40A","PRPF40A","2"
1.66892320866032e-86,0.31658830634536,0.976,0.937,1.20666485832558e-81,"GRCh38-METTL26","METTL26","2"
1.75092437447999e-86,0.347454418277999,0.934,0.88,1.26595334123652e-81,"GRCh38-EI24","EI24","2"
2.22521722087513e-86,0.313370913594079,0.947,0.894,1.60887655503713e-81,"GRCh38-TYMP","TYMP","2"
2.38214408780378e-86,0.323392352775265,0.859,0.753,1.72233781836389e-81,"GRCh38-ATXN2L","ATXN2L","2"
2.38592042691223e-86,0.271588142286495,0.805,0.68,1.72506818706608e-81,"GRCh38-RNF126","RNF126","2"
3.13039978832729e-86,0.301195655705436,0.776,0.647,2.2633416549564e-81,"GRCh38-LSG1","LSG1","2"
3.54779680183004e-86,0.442663690573346,0.999,0.997,2.56512804365915e-81,"GRCh38-TMSB10","TMSB10","2"
3.64678029672813e-86,0.280480196361164,0.716,0.547,2.63669509014037e-81,"GRCh38-EPS8","EPS8","2"
4.05331960645171e-86,0.578198570872821,0.593,0.461,2.93063114185671e-81,"GRCh38-MDGA2","MDGA2","2"
4.53493618094677e-86,0.301020204922688,0.986,0.95,3.27884955754813e-81,"GRCh38-HM13","HM13","2"
5.66489898553525e-86,0.465773995567612,0.662,0.529,4.09583526452169e-81,"GRCh38-FIBIN","FIBIN","2"
7.06400141415812e-86,0.343402039427608,0.996,0.977,5.10741430246461e-81,"GRCh38-PPIB","PPIB","2"
8.8713477245814e-86,0.301202047622239,0.827,0.708,6.41416183182685e-81,"GRCh38-TSR1","TSR1","2"
9.76968138153693e-86,0.279736900663882,0.998,0.99,7.06367503247883e-81,"GRCh38-RPL15","RPL15","2"
1.06207397600488e-85,0.287020831182184,0.922,0.849,7.6790072613105e-81,"GRCh38-MRPL17","MRPL17","2"
