drug	estimate	p.value	n	pathway_name
RO-3306	0.23043471252462	0.357608812388921	18	Cell cycle
SB216763	0.234543505344965	0.34885887629849	18	WNT signaling
Temozolomide	0.243845309756802	0.314400916501928	19	DNA replication
Cediranib	0.251334205597127	0.330510740951581	17	RTK signaling
ABT737	0.255422499487467	0.322438728051622	17	Apoptosis regulation
Tozasertib	0.255546055769355	0.306082299350701	18	Mitosis
VE821	0.26434267861619	0.305231068823065	17	Genome integrity
YK-4-279	0.267908742793375	0.298507781485803	17	Other
Epirubicin	0.28340130856772	0.270338107555845	17	DNA replication
AZD4547	0.290327148089091	0.258293096101717	17	RTK signaling
MK-1775	0.301124021585311	0.210283073138098	19	Cell cycle
Fulvestrant	0.305344560009808	0.2036460923944	19	Hormone-related
Docetaxel	0.30644696528381	0.188808071478363	20	Mitosis
5-Fluorouracil	0.309051749509344	0.184885025826719	20	Other
MIRA-1	0.313565909721665	0.220351799805305	17	p53 pathway
MK-8776	0.314583057115857	0.218777937088966	17	Cell cycle
Venetoclax	0.327917580904644	0.170507423954103	19	Apoptosis regulation
Camptothecin	0.344788392280763	0.148278814170245	19	DNA replication
Vinblastine	0.354322281094252	0.162896592487037	17	Mitosis
Paclitaxel	0.357425152470444	0.133005614917864	19	Mitosis
Cytarabine	0.370199683117635	0.143556931075387	17	Other
JQ1	0.376529539525733	0.123530951763944	18	Chromatin other
Wee1 Inhibitor	0.381251697108058	0.107281872274468	19	Cell cycle
Nutlin-3a (-)	0.387304090685959	0.0915770818976476	20	p53 pathway
Navitoclax	0.390121163306054	0.0890407149057874	20	Apoptosis regulation
Irinotecan	0.412399669803474	0.0889968919131109	18	DNA replication
Vinorelbine	0.455394530345643	0.0662214068251573	17	Mitosis
Gemcitabine	0.4628112903956	0.0460028414721805	19	DNA replication
