"mouse","initial_ploidy","dose","cluster_final","cluster_annotation","cluster_order","n_cells","total_cells","proportion","denominator_definition"
"4N-A5-RR","4N","0mg/kg","2","not_cell_cycle_candidate",2,36,393,0.0916030534351145,"all canonical cells with included_in_si_figures=true within mouse"
"A5-4N-L","4N","0mg/kg","2","not_cell_cycle_candidate",2,51,385,0.132467532467532,"all canonical cells with included_in_si_figures=true within mouse"
"A5-4N-R","4N","0mg/kg","2","not_cell_cycle_candidate",2,35,358,0.0977653631284916,"all canonical cells with included_in_si_figures=true within mouse"
"A6-4N-O","4N","30mg/kg","2","not_cell_cycle_candidate",2,9,189,0.0476190476190476,"all canonical cells with included_in_si_figures=true within mouse"
"A6-4N-RR","4N","30mg/kg","2","not_cell_cycle_candidate",2,80,660,0.121212121212121,"all canonical cells with included_in_si_figures=true within mouse"
"4N-A8-RL","4N","120mg/kg","2","not_cell_cycle_candidate",2,209,1832,0.114082969432314,"all canonical cells with included_in_si_figures=true within mouse"
"4N-A8-RR","4N","120mg/kg","2","not_cell_cycle_candidate",2,19,247,0.0769230769230769,"all canonical cells with included_in_si_figures=true within mouse"
"2N-A1-0","2N","0mg/kg","4c","not_cell_cycle_candidate",3,7,413,0.0169491525423729,"all canonical cells with included_in_si_figures=true within mouse"
"2N-A1-LR","2N","0mg/kg","4c","not_cell_cycle_candidate",3,4,369,0.010840108401084,"all canonical cells with included_in_si_figures=true within mouse"
"2N-A1-R","2N","0mg/kg","4c","not_cell_cycle_candidate",3,2,196,0.0102040816326531,"all canonical cells with included_in_si_figures=true within mouse"
"2N-A1-RR","2N","0mg/kg","4c","not_cell_cycle_candidate",3,13,1495,0.00869565217391304,"all canonical cells with included_in_si_figures=true within mouse"
"2N-A2-0","2N","30mg/kg","4c","not_cell_cycle_candidate",3,2,317,0.00630914826498423,"all canonical cells with included_in_si_figures=true within mouse"
"2N-A2-L","2N","30mg/kg","4c","not_cell_cycle_candidate",3,14,505,0.0277227722772277,"all canonical cells with included_in_si_figures=true within mouse"
"2N-A4-R","2N","120mg/kg","4c","not_cell_cycle_candidate",3,6,305,0.019672131147541,"all canonical cells with included_in_si_figures=true within mouse"
"2N-A4-RL","2N","120mg/kg","4c","not_cell_cycle_candidate",3,13,1280,0.01015625,"all canonical cells with included_in_si_figures=true within mouse"
"4N-A5-0","4N","0mg/kg","4c","not_cell_cycle_candidate",3,1,888,0.00112612612612613,"all canonical cells with included_in_si_figures=true within mouse"
"4N-A5-RR","4N","0mg/kg","4c","not_cell_cycle_candidate",3,3,393,0.00763358778625954,"all canonical cells with included_in_si_figures=true within mouse"
"A5-4N-L","4N","0mg/kg","4c","not_cell_cycle_candidate",3,3,385,0.00779220779220779,"all canonical cells with included_in_si_figures=true within mouse"
"A5-4N-R","4N","0mg/kg","4c","not_cell_cycle_candidate",3,0,358,0,"all canonical cells with included_in_si_figures=true within mouse"
"A6-4N-O","4N","30mg/kg","4c","not_cell_cycle_candidate",3,2,189,0.0105820105820106,"all canonical cells with included_in_si_figures=true within mouse"
"A6-4N-RR","4N","30mg/kg","4c","not_cell_cycle_candidate",3,11,660,0.0166666666666667,"all canonical cells with included_in_si_figures=true within mouse"
"4N-A8-RL","4N","120mg/kg","4c","not_cell_cycle_candidate",3,7,1832,0.00382096069868996,"all canonical cells with included_in_si_figures=true within mouse"
"4N-A8-RR","4N","120mg/kg","4c","not_cell_cycle_candidate",3,1,247,0.00404858299595142,"all canonical cells with included_in_si_figures=true within mouse"
"2N-A1-0","2N","0mg/kg","5","not_cell_cycle_candidate",4,29,413,0.0702179176755448,"all canonical cells with included_in_si_figures=true within mouse"
"2N-A1-LR","2N","0mg/kg","5","not_cell_cycle_candidate",4,18,369,0.0487804878048781,"all canonical cells with included_in_si_figures=true within mouse"
"2N-A1-R","2N","0mg/kg","5","not_cell_cycle_candidate",4,16,196,0.0816326530612245,"all canonical cells with included_in_si_figures=true within mouse"
"2N-A1-RR","2N","0mg/kg","5","not_cell_cycle_candidate",4,59,1495,0.0394648829431438,"all canonical cells with included_in_si_figures=true within mouse"
"2N-A2-0","2N","30mg/kg","5","not_cell_cycle_candidate",4,17,317,0.0536277602523659,"all canonical cells with included_in_si_figures=true within mouse"
"2N-A2-L","2N","30mg/kg","5","not_cell_cycle_candidate",4,38,505,0.0752475247524752,"all canonical cells with included_in_si_figures=true within mouse"
"2N-A4-R","2N","120mg/kg","5","not_cell_cycle_candidate",4,17,305,0.0557377049180328,"all canonical cells with included_in_si_figures=true within mouse"
"2N-A4-RL","2N","120mg/kg","5","not_cell_cycle_candidate",4,64,1280,0.05,"all canonical cells with included_in_si_figures=true within mouse"
"4N-A5-0","4N","0mg/kg","5","not_cell_cycle_candidate",4,52,888,0.0585585585585586,"all canonical cells with included_in_si_figures=true within mouse"
"4N-A5-RR","4N","0mg/kg","5","not_cell_cycle_candidate",4,32,393,0.0814249363867685,"all canonical cells with included_in_si_figures=true within mouse"
"A5-4N-L","4N","0mg/kg","5","not_cell_cycle_candidate",4,21,385,0.0545454545454545,"all canonical cells with included_in_si_figures=true within mouse"
"A5-4N-R","4N","0mg/kg","5","not_cell_cycle_candidate",4,43,358,0.120111731843575,"all canonical cells with included_in_si_figures=true within mouse"
"A6-4N-O","4N","30mg/kg","5","not_cell_cycle_candidate",4,13,189,0.0687830687830688,"all canonical cells with included_in_si_figures=true within mouse"
"A6-4N-RR","4N","30mg/kg","5","not_cell_cycle_candidate",4,32,660,0.0484848484848485,"all canonical cells with included_in_si_figures=true within mouse"
"4N-A8-RL","4N","120mg/kg","5","not_cell_cycle_candidate",4,161,1832,0.087882096069869,"all canonical cells with included_in_si_figures=true within mouse"
"4N-A8-RR","4N","120mg/kg","5","not_cell_cycle_candidate",4,11,247,0.0445344129554656,"all canonical cells with included_in_si_figures=true within mouse"
"2N-A1-0","2N","0mg/kg","6","cell_cycle_candidate",5,25,413,0.0605326876513317,"all canonical cells with included_in_si_figures=true within mouse"
"2N-A1-LR","2N","0mg/kg","6","cell_cycle_candidate",5,24,369,0.0650406504065041,"all canonical cells with included_in_si_figures=true within mouse"
"2N-A1-R","2N","0mg/kg","6","cell_cycle_candidate",5,14,196,0.0714285714285714,"all canonical cells with included_in_si_figures=true within mouse"
"2N-A1-RR","2N","0mg/kg","6","cell_cycle_candidate",5,154,1495,0.103010033444816,"all canonical cells with included_in_si_figures=true within mouse"
"2N-A2-0","2N","30mg/kg","6","cell_cycle_candidate",5,24,317,0.0757097791798107,"all canonical cells with included_in_si_figures=true within mouse"
"2N-A2-L","2N","30mg/kg","6","cell_cycle_candidate",5,45,505,0.0891089108910891,"all canonical cells with included_in_si_figures=true within mouse"
"2N-A4-R","2N","120mg/kg","6","cell_cycle_candidate",5,26,305,0.0852459016393443,"all canonical cells with included_in_si_figures=true within mouse"
"2N-A4-RL","2N","120mg/kg","6","cell_cycle_candidate",5,65,1280,0.05078125,"all canonical cells with included_in_si_figures=true within mouse"
"4N-A5-0","4N","0mg/kg","6","cell_cycle_candidate",5,40,888,0.045045045045045,"all canonical cells with included_in_si_figures=true within mouse"
"4N-A5-RR","4N","0mg/kg","6","cell_cycle_candidate",5,31,393,0.0788804071246819,"all canonical cells with included_in_si_figures=true within mouse"
"A5-4N-L","4N","0mg/kg","6","cell_cycle_candidate",5,23,385,0.0597402597402597,"all canonical cells with included_in_si_figures=true within mouse"
"A5-4N-R","4N","0mg/kg","6","cell_cycle_candidate",5,21,358,0.058659217877095,"all canonical cells with included_in_si_figures=true within mouse"
"A6-4N-O","4N","30mg/kg","6","cell_cycle_candidate",5,11,189,0.0582010582010582,"all canonical cells with included_in_si_figures=true within mouse"
"A6-4N-RR","4N","30mg/kg","6","cell_cycle_candidate",5,54,660,0.0818181818181818,"all canonical cells with included_in_si_figures=true within mouse"
"4N-A8-RL","4N","120mg/kg","6","cell_cycle_candidate",5,114,1832,0.0622270742358079,"all canonical cells with included_in_si_figures=true within mouse"
"4N-A8-RR","4N","120mg/kg","6","cell_cycle_candidate",5,15,247,0.0607287449392713,"all canonical cells with included_in_si_figures=true within mouse"
"2N-A1-0","2N","0mg/kg","8","not_cell_cycle_candidate",6,0,413,0,"all canonical cells with included_in_si_figures=true within mouse"
"2N-A1-LR","2N","0mg/kg","8","not_cell_cycle_candidate",6,0,369,0,"all canonical cells with included_in_si_figures=true within mouse"
"2N-A1-R","2N","0mg/kg","8","not_cell_cycle_candidate",6,0,196,0,"all canonical cells with included_in_si_figures=true within mouse"
"2N-A1-RR","2N","0mg/kg","8","not_cell_cycle_candidate",6,3,1495,0.0020066889632107,"all canonical cells with included_in_si_figures=true within mouse"
"2N-A2-0","2N","30mg/kg","8","not_cell_cycle_candidate",6,0,317,0,"all canonical cells with included_in_si_figures=true within mouse"
"2N-A2-L","2N","30mg/kg","8","not_cell_cycle_candidate",6,0,505,0,"all canonical cells with included_in_si_figures=true within mouse"
"2N-A4-R","2N","120mg/kg","8","not_cell_cycle_candidate",6,0,305,0,"all canonical cells with included_in_si_figures=true within mouse"
"2N-A4-RL","2N","120mg/kg","8","not_cell_cycle_candidate",6,6,1280,0.0046875,"all canonical cells with included_in_si_figures=true within mouse"
"4N-A5-0","4N","0mg/kg","8","not_cell_cycle_candidate",6,1,888,0.00112612612612613,"all canonical cells with included_in_si_figures=true within mouse"
"4N-A5-RR","4N","0mg/kg","8","not_cell_cycle_candidate",6,0,393,0,"all canonical cells with included_in_si_figures=true within mouse"
"A5-4N-L","4N","0mg/kg","8","not_cell_cycle_candidate",6,0,385,0,"all canonical cells with included_in_si_figures=true within mouse"
"A5-4N-R","4N","0mg/kg","8","not_cell_cycle_candidate",6,0,358,0,"all canonical cells with included_in_si_figures=true within mouse"
"A6-4N-O","4N","30mg/kg","8","not_cell_cycle_candidate",6,0,189,0,"all canonical cells with included_in_si_figures=true within mouse"
"A6-4N-RR","4N","30mg/kg","8","not_cell_cycle_candidate",6,0,660,0,"all canonical cells with included_in_si_figures=true within mouse"
"4N-A8-RL","4N","120mg/kg","8","not_cell_cycle_candidate",6,3,1832,0.00163755458515284,"all canonical cells with included_in_si_figures=true within mouse"
"4N-A8-RR","4N","120mg/kg","8","not_cell_cycle_candidate",6,0,247,0,"all canonical cells with included_in_si_figures=true within mouse"
"2N-A1-0","2N","0mg/kg","10","cell_cycle_candidate",7,67,413,0.162227602905569,"all canonical cells with included_in_si_figures=true within mouse"
"2N-A1-LR","2N","0mg/kg","10","cell_cycle_candidate",7,97,369,0.262872628726287,"all canonical cells with included_in_si_figures=true within mouse"
"2N-A1-R","2N","0mg/kg","10","cell_cycle_candidate",7,65,196,0.331632653061224,"all canonical cells with included_in_si_figures=true within mouse"
"2N-A1-RR","2N","0mg/kg","10","cell_cycle_candidate",7,382,1495,0.255518394648829,"all canonical cells with included_in_si_figures=true within mouse"
