"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","gene_symbol","cluster","gene_key","lfc_value","p_val_adj_num","delta_pct","abs_logfc","abs_delta_pct"
0,1.57487036631245,0.313,0.044,0,"GRCh38-RANBP3L","RANBP3L",5,"RANBP3L",1.57487036631245,0,0.269,1.57487036631245,0.269
1.81772758385579e-232,1.55589649684729,0.862,0.723,1.31425339767941e-227,"GRCh38-RPS6KC1","RPS6KC1",5,"RPS6KC1",1.55589649684729,1.31425339767941e-227,0.139,1.55589649684729,0.139
0,1.54999099742848,0.769,0.444,0,"GRCh38-SAMD9L","SAMD9L",5,"SAMD9L",1.54999099742848,0,0.325,1.54999099742848,0.325
9.19908546180625e-134,1.54553929716599,0.494,0.282,6.65112277059516e-129,"GRCh38-HIP1R","HIP1R",5,"HIP1R",1.54553929716599,6.65112277059516e-129,0.212,1.54553929716599,0.212
0,1.54457527644102,0.471,0.155,0,"GRCh38-CFAP54","CFAP54",5,"CFAP54",1.54457527644102,0,0.316,1.54457527644102,0.316
3.30124588362169e-173,1.5173301179219,0.681,0.409,2.38686679877615e-168,"GRCh38-DMD","DMD",5,"DMD",1.5173301179219,2.38686679877615e-168,0.272,1.5173301179219,0.272
4.16055230352754e-176,1.5045479039487,0.773,0.575,3.00816252649648e-171,"GRCh38-SLPI","SLPI",5,"SLPI",1.5045479039487,3.00816252649648e-171,0.198,1.5045479039487,0.198
3.99150539266071e-18,1.50116640729094,0.194,0.128,2.88593822900154e-13,"GRCh38-MMP13","MMP13",5,"MMP13",1.50116640729094,2.88593822900154e-13,0.066,1.50116640729094,0.066
0,1.50027250749389,0.899,0.644,0,"GRCh38-SQOR","SQOR",5,"SQOR",1.50027250749389,0,0.255,1.50027250749389,0.255
3.40611799202524e-248,1.49718031265511,0.916,0.723,2.46269143059409e-243,"GRCh38-EPSTI1","EPSTI1",5,"EPSTI1",1.49718031265511,2.46269143059409e-243,0.193,1.49718031265511,0.193
7.98069380986901e-107,1.44992752258154,0.597,0.409,5.77020123841149e-102,"GRCh38-FYN","FYN",5,"FYN",1.44992752258154,5.77020123841149e-102,0.188,1.44992752258154,0.188
8.2394864596283e-257,1.42548651456257,0.677,0.379,5.95731350004045e-252,"GRCh38-CHEK2","CHEK2",5,"CHEK2",1.42548651456257,5.95731350004045e-252,0.298,1.42548651456257,0.298
6.78302444259638e-33,1.42418154828026,0.38,0.266,4.90426233248603e-28,"GRCh38-TNFAIP6","TNFAIP6",5,"TNFAIP6",1.42418154828026,4.90426233248603e-28,0.114,1.42418154828026,0.114
4.18889866083613e-233,1.423361625355,0.901,0.816,3.02865750975774e-228,"GRCh38-KDM6A","KDM6A",5,"KDM6A",1.423361625355,3.02865750975774e-228,0.0850000000000001,1.423361625355,0.0850000000000001
4.15889569652594e-260,1.41308541131642,0.416,0.141,3.00696476650219e-255,"GRCh38-ENSG00000272865","ENSG00000272865",5,"ENSG00000272865",1.41308541131642,3.00696476650219e-255,0.275,1.41308541131642,0.275
4.6376633870996e-21,1.40726564228955,0.16,0.095,3.35312338214075e-16,"GRCh38-CSF3","CSF3",5,"CSF3",1.40726564228955,3.35312338214075e-16,0.065,1.40726564228955,0.065
