"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","gene_symbol","cluster"
4.25585196148831e-20,-0.26914119406239,0.549,0.625,3.07706608519528e-15,"GRCh38-AAR2","AAR2","8"
4.452973035888e-20,-0.44705118622366,0.459,0.537,3.21958856440775e-15,"GRCh38-TBC1D9","TBC1D9","8"
4.81255692555411e-20,-0.365833186586899,0.866,0.878,3.47957490831413e-15,"GRCh38-LINC01876","LINC01876","8"
4.95361485368592e-20,-0.337330784604498,0.55,0.622,3.581562611512e-15,"GRCh38-ADCY3","ADCY3","8"
4.96096809591757e-20,-0.952736941848611,0.961,0.953,3.58687915271032e-15,"GRCh38-FSCN1","FSCN1","8"
5.57989159815115e-20,-0.568827784426945,0.593,0.638,4.03437322329525e-15,"GRCh38-ANKRD50","ANKRD50","8"
6.07397065730029e-20,0.250890818663464,0.591,0.497,4.39160226464126e-15,"GRCh38-ATP8B1","ATP8B1","8"
6.18486466972413e-20,0.299074526212571,0.624,0.527,4.47178085350394e-15,"GRCh38-PPP1R1C","PPP1R1C","8"
6.30566666581931e-20,-0.378436234407505,0.836,0.854,4.55912311272068e-15,"GRCh38-CHMP4B","CHMP4B","8"
7.005476855637e-20,-0.327890586199252,0.035,0.106,5.06509987616266e-15,"GRCh38-BAALC","BAALC","8"
7.78091043871896e-20,-0.454125989146859,0.508,0.572,5.62575386540258e-15,"GRCh38-NAB1","NAB1","8"
7.81130269788873e-20,-0.298481174527321,1,0.99,5.64772807662751e-15,"GRCh38-HSP90AA1","HSP90AA1","8"
8.24455170230614e-20,-0.471810614127201,0.545,0.617,5.96097577180138e-15,"GRCh38-TMEM131L","TMEM131L","8"
8.32153382485822e-20,-0.258745926945031,0.422,0.527,6.01663538604899e-15,"GRCh38-ZNF708","ZNF708","8"
8.56076635864499e-20,-0.584691573826701,0.92,0.89,6.1896052926275e-15,"GRCh38-MYC","MYC","8"
9.00141382787884e-20,-1.00565376484054,0.883,0.872,6.50820222583296e-15,"GRCh38-NFKB1","NFKB1","8"
9.18594224635822e-20,-0.264050953002059,0.144,0.237,6.64161996296192e-15,"GRCh38-CPNE7","CPNE7","8"
9.44110091475407e-20,-0.26959170740603,0.343,0.444,6.82610478338549e-15,"GRCh38-PARD6B","PARD6B","8"
1.00250437931243e-19,0.255186351040945,0.975,0.917,7.24830716330472e-15,"GRCh38-CISD1","CISD1","8"
1.00309126840167e-19,-0.788364268432962,0.824,0.836,7.25255048879774e-15,"GRCh38-DSE","DSE","8"
1.01654689017142e-19,-0.443174617745306,0.498,0.575,7.34983732531737e-15,"GRCh38-CCDC138","CCDC138","8"
1.08449667382688e-19,0.53162313727102,0.327,0.234,7.84112785110311e-15,"GRCh38-TSPAN8","TSPAN8","8"
1.10444019937015e-19,-0.396193052192064,0.776,0.788,7.98532352948609e-15,"GRCh38-TMEM160","TMEM160","8"
1.13367360882821e-19,-0.730025341131032,0.034,0.101,8.19668692654974e-15,"GRCh38-ENSG00000289309","ENSG00000289309","8"
1.19717329123143e-19,-0.837067957834139,0.762,0.779,8.65580233026147e-15,"GRCh38-CREB5","CREB5","8"
1.21022827532978e-19,-0.26002464187145,0.22,0.318,8.7501924762894e-15,"GRCh38-RANBP6","RANBP6","8"
1.21563664189053e-19,-0.42053772775071,0.508,0.58,8.78929604819688e-15,"GRCh38-ENSG00000271774","ENSG00000271774","8"
