"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","gene_symbol","cluster"
0,1.29423636951116,0.362,0.03,0,"GRCh38-ARFGEF3","ARFGEF3","13"
0,0.561991234717693,0.273,0.023,0,"GRCh38-ENSG00000230432","ENSG00000230432","13"
1.44691076909776e-318,2.42114866915085,0.724,0.216,1.04614542427306e-313,"GRCh38-ENO2","ENO2","13"
6.29665454876118e-299,1.4735931268243,0.368,0.049,4.55260717184531e-294,"GRCh38-OR9Q1","OR9Q1","13"
6.89854977799981e-287,1.1313763474775,0.524,0.106,4.98778946048943e-282,"GRCh38-GPR146","GPR146","13"
1.23520132056671e-271,3.18212260510737,0.766,0.278,8.93075258796143e-267,"GRCh38-NDRG1","NDRG1","13"
3.69663909314904e-264,1.52426987456757,0.415,0.069,2.67274399712862e-259,"GRCh38-SLAMF9","SLAMF9","13"
7.09475941420652e-261,1.06375778543954,0.479,0.093,5.1296529516596e-256,"GRCh38-PPFIA4","PPFIA4","13"
1.52959706624945e-247,0.674275774903893,0.324,0.045,1.10592927083968e-242,"GRCh38-FAM180A","FAM180A","13"
1.23485565175467e-239,1.33995317579707,0.439,0.086,8.9282533333166e-235,"GRCh38-PDE2A","PDE2A","13"
1.56107562347929e-234,1.68999430670579,0.388,0.07,1.128688897288e-229,"GRCh38-CLDN14","CLDN14","13"
1.96173916584465e-234,0.447085506584083,0.193,0.017,1.418376651689e-229,"GRCh38-CRYM","CRYM","13"
2.46414605348407e-232,0.719539939040235,0.263,0.032,1.78162687959006e-227,"GRCh38-KISS1R","KISS1R","13"
3.91514893409987e-229,1.45793953556269,0.609,0.175,2.83073098233289e-224,"GRCh38-NFIL3","NFIL3","13"
1.43826060908198e-226,1.92540133211785,0.553,0.144,1.03989118557845e-221,"GRCh38-PTHLH","PTHLH","13"
1.60926059107178e-216,2.79952678258793,0.766,0.342,1.16352759255672e-211,"GRCh38-NRN1","NRN1","13"
3.58167223350154e-216,3.25617488361207,0.815,0.403,2.58962065826629e-211,"GRCh38-ADM","ADM","13"
1.11580082098482e-213,1.95091743479437,0.55,0.143,8.06746309588447e-209,"GRCh38-TREM1","TREM1","13"
9.21868811055877e-213,1.30378298369291,0.484,0.118,6.6652958776962e-208,"GRCh38-FZD8","FZD8","13"
2.15562366658723e-210,2.6035757154662,0.594,0.183,1.5585590234159e-205,"GRCh38-MME","MME","13"
3.33734762252162e-208,2.80264613458197,0.984,0.867,2.41296907803558e-203,"GRCh38-VEGFA","VEGFA","13"
4.85040281713993e-207,1.00631617864134,0.435,0.093,3.50693824484851e-202,"GRCh38-ZP1","ZP1","13"
