direction	metric	cancer_type	category_label	pvalue	pvalue_for_fdr	qvalue_bh
low_ploidy_sensitive	Z_SCORE	KIRC	Chaperone/protein-homeostasis inhibitors	0.704	0.704	1
low_ploidy_sensitive	Z_SCORE	KIRC	p53/MDM2 pathway	0.54	0.54	0.991833333333333
low_ploidy_sensitive	Z_SCORE	KIRC	Hormone therapy	0.826	0.826	1
low_ploidy_sensitive	Z_SCORE	THCA	Kinase inhibitors	0.973	0.973	1
low_ploidy_sensitive	Z_SCORE	THCA	Epigenetic inhibitors	0.923	0.923	1
low_ploidy_sensitive	Z_SCORE	THCA	Other	0.411	0.411	0.915645569620253
low_ploidy_sensitive	Z_SCORE	THCA	DNA damage repair inhibitors	0.06	0.06	0.428108108108108
low_ploidy_sensitive	Z_SCORE	THCA	Metabolic/redox agents	0.393	0.393	0.914451063829787
low_ploidy_sensitive	Z_SCORE	THCA	Proapoptotic agents	0.1	0.1	0.522823529411765
low_ploidy_sensitive	Z_SCORE	THCA	WNT/HH pathway inhibitors	0.362	0.362	0.889004651162791
low_ploidy_sensitive	Z_SCORE	THCA	Chemotherapy agents	0.016	0.016	0.2112
low_ploidy_sensitive	Z_SCORE	THCA	Chaperone/protein-homeostasis inhibitors	0.613	0.613	1
low_ploidy_sensitive	Z_SCORE	THCA	p53/MDM2 pathway	0.422	0.422	0.921283950617284
low_ploidy_sensitive	Z_SCORE	THCA	Hormone therapy	0.832	0.832	1
low_ploidy_sensitive	Z_SCORE	SKCM	Kinase inhibitors	0.301	0.301	0.81048
low_ploidy_sensitive	Z_SCORE	SKCM	Epigenetic inhibitors	0.99	0.99	1
low_ploidy_sensitive	Z_SCORE	SKCM	Other	0.49	0.49	0.951176470588235
low_ploidy_sensitive	Z_SCORE	SKCM	DNA damage repair inhibitors	0.101	0.101	0.522823529411765
low_ploidy_sensitive	Z_SCORE	SKCM	Metabolic/redox agents	0.979	0.979	1
low_ploidy_sensitive	Z_SCORE	SKCM	Proapoptotic agents	0.846	0.846	1
low_ploidy_sensitive	Z_SCORE	SKCM	WNT/HH pathway inhibitors	0.745	0.745	1
low_ploidy_sensitive	Z_SCORE	SKCM	Chemotherapy agents	0.269	0.269	0.767740540540541
low_ploidy_sensitive	Z_SCORE	SKCM	Chaperone/protein-homeostasis inhibitors	0.033	0.033	0.311142857142857
low_ploidy_sensitive	Z_SCORE	SKCM	p53/MDM2 pathway	0.733	0.733	1
low_ploidy_sensitive	Z_SCORE	SKCM	Hormone therapy	0.49	0.49	0.951176470588235
low_ploidy_sensitive	Z_SCORE	DLBC	Kinase inhibitors	0	0.000999000999000999	0.0310588235294118
low_ploidy_sensitive	Z_SCORE	DLBC	Epigenetic inhibitors	0.44	0.44	0.935132530120482
low_ploidy_sensitive	Z_SCORE	DLBC	Other	0.987	0.987	1
low_ploidy_sensitive	Z_SCORE	DLBC	DNA damage repair inhibitors	0.666	0.666	1
low_ploidy_sensitive	Z_SCORE	DLBC	Metabolic/redox agents	0.785	0.785	1
low_ploidy_sensitive	Z_SCORE	DLBC	Proapoptotic agents	0.105	0.105	0.528
low_ploidy_sensitive	Z_SCORE	DLBC	WNT/HH pathway inhibitors	0.478	0.478	0.951176470588235
low_ploidy_sensitive	Z_SCORE	DLBC	Chemotherapy agents	0.987	0.987	1
low_ploidy_sensitive	Z_SCORE	DLBC	Chaperone/protein-homeostasis inhibitors	0.307	0.307	0.81048
low_ploidy_sensitive	Z_SCORE	DLBC	p53/MDM2 pathway	0.617	0.617	1
low_ploidy_sensitive	Z_SCORE	DLBC	Hormone therapy	0.357	0.357	0.889004651162791
low_ploidy_sensitive	Z_SCORE	LUAD	Kinase inhibitors	0.697	0.697	1
low_ploidy_sensitive	Z_SCORE	LUAD	Epigenetic inhibitors	0.132	0.132	0.5808
low_ploidy_sensitive	Z_SCORE	LUAD	Other	0.016	0.016	0.2112
low_ploidy_sensitive	Z_SCORE	LUAD	DNA damage repair inhibitors	0.424	0.424	0.921283950617284
low_ploidy_sensitive	Z_SCORE	LUAD	Metabolic/redox agents	0.169	0.169	0.661859154929577
low_ploidy_sensitive	Z_SCORE	LUAD	Proapoptotic agents	0.868	0.868	1
low_ploidy_sensitive	Z_SCORE	LUAD	WNT/HH pathway inhibitors	0.164	0.164	0.661007633587786
low_ploidy_sensitive	Z_SCORE	LUAD	Chemotherapy agents	1	1	1
low_ploidy_sensitive	Z_SCORE	LUAD	Chaperone/protein-homeostasis inhibitors	0.208	0.208	0.704
low_ploidy_sensitive	Z_SCORE	LUAD	p53/MDM2 pathway	0.504	0.504	0.957237410071942
low_ploidy_sensitive	Z_SCORE	LUAD	Hormone therapy	0.736	0.736	1
low_ploidy_sensitive	Z_SCORE	ALL	Kinase inhibitors	1	1	1
low_ploidy_sensitive	Z_SCORE	ALL	Epigenetic inhibitors	0.982	0.982	1
low_ploidy_sensitive	Z_SCORE	ALL	Other	0	0.000999000999000999	0.0310588235294118
low_ploidy_sensitive	Z_SCORE	ALL	DNA damage repair inhibitors	0.384	0.384	0.914451063829787
low_ploidy_sensitive	Z_SCORE	ALL	Metabolic/redox agents	0.569	0.569	1
low_ploidy_sensitive	Z_SCORE	ALL	Proapoptotic agents	0.223	0.223	0.7359
low_ploidy_sensitive	Z_SCORE	ALL	WNT/HH pathway inhibitors	0.326	0.326	0.84792118226601
low_ploidy_sensitive	Z_SCORE	ALL	Chemotherapy agents	0	0.000999000999000999	0.0310588235294118
low_ploidy_sensitive	Z_SCORE	ALL	Chaperone/protein-homeostasis inhibitors	0.673	0.673	1
low_ploidy_sensitive	Z_SCORE	ALL	p53/MDM2 pathway	0.968	0.968	1
low_ploidy_sensitive	Z_SCORE	ALL	Hormone therapy	0.477	0.477	0.951176470588235
low_ploidy_sensitive	Z_SCORE	MM	Kinase inhibitors	0.247	0.247	0.762
low_ploidy_sensitive	Z_SCORE	MM	Epigenetic inhibitors	0.559	0.559	1
low_ploidy_sensitive	Z_SCORE	MM	Other	0.619	0.619	1
low_ploidy_sensitive	Z_SCORE	MM	DNA damage repair inhibitors	0.394	0.394	0.914451063829787
low_ploidy_sensitive	Z_SCORE	MM	Metabolic/redox agents	0.992	0.992	1
low_ploidy_sensitive	Z_SCORE	MM	Proapoptotic agents	0.078	0.078	0.496192771084337
low_ploidy_sensitive	Z_SCORE	MM	WNT/HH pathway inhibitors	0.269	0.269	0.767740540540541
low_ploidy_sensitive	Z_SCORE	MM	Chemotherapy agents	0.172	0.172	0.661859154929577
low_ploidy_sensitive	Z_SCORE	MM	Chaperone/protein-homeostasis inhibitors	0.094	0.094	0.522823529411765
low_ploidy_sensitive	Z_SCORE	MM	p53/MDM2 pathway	0.421	0.421	0.921283950617284
low_ploidy_sensitive	Z_SCORE	MM	Hormone therapy	0.541	0.541	0.991833333333333
low_ploidy_sensitive	Z_SCORE	PAAD	Kinase inhibitors	0.087	0.087	0.504791208791209
low_ploidy_sensitive	Z_SCORE	PAAD	Epigenetic inhibitors	0.454	0.454	0.943876447876448
low_ploidy_sensitive	Z_SCORE	PAAD	Other	0.49	0.49	0.951176470588235
low_ploidy_sensitive	Z_SCORE	PAAD	DNA damage repair inhibitors	0.902	0.902	1
low_ploidy_sensitive	Z_SCORE	PAAD	Metabolic/redox agents	0.994	0.994	1
low_ploidy_sensitive	Z_SCORE	PAAD	Proapoptotic agents	0.825	0.825	1
low_ploidy_sensitive	Z_SCORE	PAAD	WNT/HH pathway inhibitors	0.292	0.292	0.798839378238342
low_ploidy_sensitive	Z_SCORE	PAAD	Chemotherapy agents	0.635	0.635	1
low_ploidy_sensitive	Z_SCORE	PAAD	Chaperone/protein-homeostasis inhibitors	0.522	0.522	0.97390812720848
low_ploidy_sensitive	Z_SCORE	PAAD	p53/MDM2 pathway	0.557	0.557	1
low_ploidy_sensitive	Z_SCORE	PAAD	Hormone therapy	0.773	0.773	1
low_ploidy_sensitive	Z_SCORE	BRCA	Kinase inhibitors	1	1	1
low_ploidy_sensitive	Z_SCORE	BRCA	Epigenetic inhibitors	0.579	0.579	1
low_ploidy_sensitive	Z_SCORE	BRCA	Other	0.199	0.199	0.701684210526316
low_ploidy_sensitive	Z_SCORE	BRCA	DNA damage repair inhibitors	0.029	0.029	0.294461538461538
low_ploidy_sensitive	Z_SCORE	BRCA	Metabolic/redox agents	0.868	0.868	1
low_ploidy_sensitive	Z_SCORE	BRCA	Proapoptotic agents	0.244	0.244	0.762
low_ploidy_sensitive	Z_SCORE	BRCA	WNT/HH pathway inhibitors	0.96	0.96	1
low_ploidy_sensitive	Z_SCORE	BRCA	Chemotherapy agents	0	0.000999000999000999	0.0310588235294118
low_ploidy_sensitive	Z_SCORE	BRCA	Chaperone/protein-homeostasis inhibitors	0.932	0.932	1
low_ploidy_sensitive	Z_SCORE	BRCA	p53/MDM2 pathway	0.276	0.276	0.779294117647059
low_ploidy_sensitive	Z_SCORE	BRCA	Hormone therapy	0.008	0.008	0.132
low_ploidy_sensitive	Z_SCORE	HNSC	Kinase inhibitors	1	1	1
low_ploidy_sensitive	Z_SCORE	HNSC	Epigenetic inhibitors	0.886	0.886	1
low_ploidy_sensitive	Z_SCORE	HNSC	Other	0.064	0.064	0.445714285714286
low_ploidy_sensitive	Z_SCORE	HNSC	DNA damage repair inhibitors	0.752	0.752	1
low_ploidy_sensitive	Z_SCORE	HNSC	Metabolic/redox agents	0.083	0.083	0.498
low_ploidy_sensitive	Z_SCORE	HNSC	Proapoptotic agents	0.395	0.395	0.914451063829787
low_ploidy_sensitive	Z_SCORE	HNSC	WNT/HH pathway inhibitors	0.573	0.573	1
low_ploidy_sensitive	Z_SCORE	HNSC	Chemotherapy agents	0.001	0.001	0.0310588235294118
low_ploidy_sensitive	Z_SCORE	HNSC	Chaperone/protein-homeostasis inhibitors	0.842	0.842	1
low_ploidy_sensitive	Z_SCORE	HNSC	p53/MDM2 pathway	0.612	0.612	1
low_ploidy_sensitive	Z_SCORE	HNSC	Hormone therapy	0.506	0.506	0.957591397849462
low_ploidy_sensitive	Z_SCORE	NB	Kinase inhibitors	0.359	0.359	0.889004651162791
