rank	gene_id	gene_symbol	moderated_t	p_value	fdr	fitted_log_expr_difference	average_expression	B	contrast_id	model_id	symbol_resolution_rank	retained_for_gsea
1	GRCh38-ENSG00000253181	ENSG00000253181	5.94529718223989	1.08981582046981e-08	0.000121227187174742	1.09794050661413	0.0306095943017774	9.4565648367053	primary_adjacent_state	ETP_reference_balanced_threshold_2_24	1	TRUE
2	GRCh38-ENSG00000248100	ENSG00000248100	5.81337917637547	2.1669354845331e-08	0.000121227187174742	0.920944536349562	0.0929341329661494	8.82704687961802	primary_adjacent_state	ETP_reference_balanced_threshold_2_24	1	TRUE
3	GRCh38-NUP93-DT	NUP93-DT	5.80697463223664	2.23986673148399e-08	0.000121227187174742	0.974781511465472	0.285966380156691	8.80855567042163	primary_adjacent_state	ETP_reference_balanced_threshold_2_24	1	TRUE
4	GRCh38-XK	XK	5.72953678240061	3.33572720408418e-08	0.000124027469894537	0.936650432640205	0.102577375715821	8.4347731889952	primary_adjacent_state	ETP_reference_balanced_threshold_2_24	1	TRUE
5	GRCh38-ENSG00000269938	ENSG00000269938	5.68320146607352	4.22597088892835e-08	0.000124027469894537	0.891370605171525	-0.0724347100985853	8.20503967755581	primary_adjacent_state	ETP_reference_balanced_threshold_2_24	1	TRUE
6	GRCh38-LINC00222	LINC00222	5.68173374903136	4.25766418031184e-08	0.000124027469894537	0.920934519741428	-0.0180786294358858	8.20474140706015	primary_adjacent_state	ETP_reference_balanced_threshold_2_24	1	TRUE
7	GRCh38-ENSG00000286379	ENSG00000286379	5.66724630967845	4.58321289277239e-08	0.000124027469894537	0.907114438537042	-0.00529984455593862	8.13495675410316	primary_adjacent_state	ETP_reference_balanced_threshold_2_24	1	TRUE
8	GRCh38-ANXA9	ANXA9	5.57088717487773	7.456975245305e-08	0.00015838247146527	0.904904484400305	0.00393016767205125	7.68464661984962	primary_adjacent_state	ETP_reference_balanced_threshold_2_24	1	TRUE
9	GRCh38-DARS1-AS1	DARS1-AS1	5.55569496038682	8.04751806604449e-08	0.00015838247146527	0.856025422800399	1.75342594941866	7.68385949819877	primary_adjacent_state	ETP_reference_balanced_threshold_2_24	1	TRUE
10	GRCh38-ENSG00000287402	ENSG00000287402	5.44885936466961	1.36974987318016e-07	0.00021181225003198	0.910352520031191	0.00326425556490803	7.12999760971049	primary_adjacent_state	ETP_reference_balanced_threshold_2_24	1	TRUE
11	GRCh38-PTGER3	PTGER3	5.41185858730183	1.64400744543723e-07	0.00021774864679606	0.952888692143344	0.249263199691476	6.9725796602092	primary_adjacent_state	ETP_reference_balanced_threshold_2_24	1	TRUE
12	GRCh38-ENSG00000290117	ENSG00000290117	5.40583635803184	1.69343509065925e-07	0.00021774864679606	0.972875104686261	0.606446680867143	6.96141184645308	primary_adjacent_state	ETP_reference_balanced_threshold_2_24	1	TRUE
13	GRCh38-TILRLS	TILRLS	5.40083177607799	1.73560839238056e-07	0.00021774864679606	0.846350172360287	-0.030857414315833	6.91159008248428	primary_adjacent_state	ETP_reference_balanced_threshold_2_24	1	TRUE
14	GRCh38-INHBC	INHBC	5.39223345703918	1.81046498329211e-07	0.00021774864679606	0.911948564797718	0.0572338188334356	6.87868413536906	primary_adjacent_state	ETP_reference_balanced_threshold_2_24	1	TRUE
