collection_id	collection_label	pathway_id	pathway_label	ranking_id	pval	padj	log2err	ES	NES	size	direction	nPermSimple	retry_round	leading_edge_genes	model_id
C5:GO:BP	GO biological process	GOBP_MEMBRANE_DEPOLARIZATION	Membrane Depolarization	primary_adjacent_state	0.950074199703201	1	0.00490961880437696	0.178796378214062	0.668874319847043	79	positive	10000	0	NTSR1;SCN2B;ADCY10;SCN4A;CACNA1C;CHRNA3;CNGB1;SLC6A4;SCN11A;SCN5A;CHRNA7;CDKN2A;NPFF;CHRNB4;CHRNA1;SCN4B;HSH2D;SCN3A;HCN2;KCNH2;P2RX7;ABL1;CACNA2D1;ADORA2A;NEDD4L;CACNA1D;EDN1;CHRNE;CHRNA10;SCN1B;SMAD7;SCN1A;B2M;CAMK2D	ETP_reference_balanced_threshold_2_24
C5:GO:BP	GO biological process	GOBP_CELLULAR_RESPONSE_TO_METAL_ION	Cellular Response to Metal Ion	primary_adjacent_state	0.971399282419272	1	0.00339580125907083	0.169361038365934	0.668613349690274	138	positive	10000	0	RASA4;CAPN3;CPNE9;CDH1;HPCA;ALOX5AP;ABCC9;TFR2;NFATC4;TF;SCN5A;RASGRP2;BMP6;CCNB1;CDKN1B;HVCN1;KCNK3;KCNB1;ADGRV1;KCNH1;CEBPA;MT1F;CYBB;EIF2AK3;SLC41A1;ATF4;CARF;SLC11A1;ABCB6;HESX1;ID2;AQP1;ITPKB;DLG4;BRAF;RYR1;CLIC4;ECT2;RASA4B;EDN1;BNIP3;PRKAA2;JUNB;UCP2;CPNE2;AKR1C3;RYR3;FOSB;B2M;JUN;MEF2A;CAMK2D;GLRA1;SNCA;TRPM2;ZNF658;NFATC2;SLC25A23;CPNE8;NRXN1;MCOLN1	ETP_reference_balanced_threshold_2_24
C5:GO:BP	GO biological process	GOBP_METANEPHROS_DEVELOPMENT	Metanephros Development	primary_adjacent_state	0.941413481433083	1	0.00571378094894462	0.184253026883185	0.668448092447767	62	positive	10000	0	FRAS1;GDNF;FOXJ1;WNT4;TFAP2B;CITED1;BMP4;PDGFA;ID2;AQP1;SLC22A1;HES1;YAP1;GREB1L;LGR4;POU3F3;HOXA11;ID3;BMP7;NIPBL;LHX1;RDH10;ROBO2;NF1;IRX2;LAMB2;PTCH1	ETP_reference_balanced_threshold_2_24
C5:GO:BP	GO biological process	GOBP_POSITIVE_REGULATION_OF_EXTRACELLULAR_MATRIX_ORGANIZATION	Positive Regulation of Extracellular Matrix Organization	primary_adjacent_state	0.953855494839101	1	0.0334240051951686	-0.163041427244853	-0.668290697138634	27	negative	10000	0	IER3IP1;CLASP2;COLGALT1;TGFB1;BMP2;CFLAR;DDR2;SOX9;RB1;EMILIN1;RUNX1;TGFB2;HPSE;SMAD4;CLASP1;SMAD3;TNXB;IL6;PDPN;TGFBR1;RGCC;AGT;FSCN1;STAT3;MELTF;ABL1	ETP_reference_balanced_threshold_2_24
C5:GO:BP	GO biological process	GOBP_NEGATIVE_REGULATION_OF_CELL_DEVELOPMENT	Negative Regulation of Cell Development	primary_adjacent_state	0.98387259348856	1	0.00226221183059971	0.164789726816528	0.667936733068866	206	positive	10000	0	BRINP1;GPR37L1;CD69;CDH1;HLA-G;TBX6;RUNX3;F2;IL17D;VEGFA;BCL11A;SLIT1;LHX2;IGDCC4;TRIM46;SEMA3G;DRAXIN;LAG3;FOXJ1;SEMA6C;IGF1;EPHA7;NFATC4;WNT3A;HOXA7;INHA;CDKN2A;FRZB;SFRP1;NKX6-1;LILRB3;BCL6;NOTCH1;NTN1;TSC22D1;DLX2;SHB;TOB2;DUSP10;MAFB;KIAA0319;REST;SEMA6D;HLX;GPR68;RARA;BMP4;RNF10;CDKL3;ID2;EFNB3;MCF2;ARHGAP4	ETP_reference_balanced_threshold_2_24
C5:GO:BP	GO biological process	GOBP_C21_STEROID_HORMONE_METABOLIC_PROCESS	C21 Steroid Hormone Metabolic Process	primary_adjacent_state	0.916051119709227	1	0.00763470612416888	0.207103047698224	0.667163568378814	31	positive	10000	0	SCNN1B;AKR1C4;CYP11A1;BMP6;WNT4;ADM;REST;DGKQ	ETP_reference_balanced_threshold_2_24
C5:GO:BP	GO biological process	GOBP_RESPONSE_TO_LECTIN	Response to Lectin	primary_adjacent_state	0.901248439450687	1	0.00895609648241045	0.229376845396661	0.667103997087411	19	positive	10000	0	KLRD1;CLEC7A;EP300;PAK3;SYK;KLRK1;TRAF6;KLRC3	ETP_reference_balanced_threshold_2_24
C5:GO:BP	GO biological process	GOBP_STORE_OPERATED_CALCIUM_ENTRY	Store Operated Calcium Entry	primary_adjacent_state	0.901498127340824	1	0.00895163659160176	0.229334499313128	0.66698084062174	19	positive	10000	0	SRL;CRACR2B;GRAMD2A;SPG11	ETP_reference_balanced_threshold_2_24
C5:GO:BP	GO biological process	GOBP_VESICLE_MEDIATED_TRANSPORT_IN_SYNAPSE	Vesicle Mediated Transport in Synapse	primary_adjacent_state	0.985721468074409	1	0.00205034928423281	0.163782274303358	0.666885906863634	224	positive	10000	0	GRIK5;SV2B;CPLX1;CPLX4;UNC13C;SYT8;SLC17A8;ATP6V1G3;CACNA1B;SYT7;HPCA;SYT5;NLGN3;RIMS3;SLC18A2;SLC17A7;PIK3C3;TAMALIN;SH3GL2;SYT11;P2RY1;SYN1;SYT17;DOC2B;STON1;WNT3A;SYN2;PLD1;SYNGR3;SLC4A8;SYT2;SYT9;RAB5A;SYN3;PLS3;PLD2;BRSK1;RIMS1;SYP;RAB7A;STX19;OTOF;RPH3A;ARC;CSPG5;DRD4;PRRT2;AP3B2;BSN;P2RX7;ATP6V1C1;DGKQ	ETP_reference_balanced_threshold_2_24
C5:GO:BP	GO biological process	GOBP_TUBE_FORMATION	Tube Formation	primary_adjacent_state	1	1	0.0829663391489805	-0.116350360422231	-0.666241884271651	126	negative	10000	0	SPECC1L;ITGB1BP1;PRKACA;SIX1;KDM2B;MTHFD1;STIL;CFL1;KAT2A;CC2D2A;RPS7;PFN1;NFIB;PTK7;TWIST1;BBS4;CELSR1;SCRIB;MKS1;LMO4;TEAD2;LIAS;GLMN;CEP290;TCTN1;IRX3;SDC4;CASP3;TMED2;MTHFD1L;SDCCAG8;TGM2;SALL4;PODXL;TGFB1;TULP3	ETP_reference_balanced_threshold_2_24
