key	value
module	in_vivo_figure7
mode	standard
panel_set	a-f
tgi_outcome	day
tgi_day	17
tgi_measure	TGI_percent_Day_17
matched_control_summary	mean
matched_control_group	initial_ploidy
etp_method	reference_balanced
etp_threshold	2.24
state_pathway_reference_id	taoli_04i_etp2_24_day17_v1
state_interval_start	0.3
state_interval_end	0.49
state_pathway_source_results_root	/share/lab_crd/lab_crd/taoli/Project/BreastCancerOrthotopicModels/Results/04i_pseudotime_state_pathways
config_sha256	316dfc507ade053fededcb3fd567664215f32723910e03e3c43a96b8ce824a89
