DATASET	NLME_RESULT_ID	NLME_CURVE_ID	COSMIC_ID	CELL_LINE_NAME	SANGER_MODEL_ID	TCGA_DESC	DRUG_ID	DRUG_NAME	PUTATIVE_TARGET	PATHWAY_NAME	COMPANY_ID	WEBRELEASE	MIN_CONC	MAX_CONC	LN_IC50	AUC	RMSE	Z_SCORE	CELL_LINE_NAME_RAW	CELL_LINE_KEY	selected	selection_reason	selection_sort_columns
GDSC2	401	18945562	683667	PFSK1	SIDM01132	MB	1007	Docetaxel	Microtubule stabiliser	Mitosis	1046	Y	1.3e-05	0.0125	-5.534982	0.778105	0.105414	-0.750974	PFSK-1	PFSK1	TRUE	lowest finite RMSE with stable identifier tie-breakers	DRUG_NAME;CELL_LINE_NAME;is.na(RMSE);RMSE;NLME_RESULT_ID;NLME_CURVE_ID;DRUG_ID;COSMIC_ID
GDSC2	401	18945800	684052	A673	SIDM00848	UNCLASSIFIED	1007	Docetaxel	Microtubule stabiliser	Mitosis	1046	Y	1.3e-05	0.0125	-6.170864	0.71058	0.097006	-1.156153	A673	A673	TRUE	lowest finite RMSE with stable identifier tie-breakers	DRUG_NAME;CELL_LINE_NAME;is.na(RMSE);RMSE;NLME_RESULT_ID;NLME_CURVE_ID;DRUG_ID;COSMIC_ID
GDSC2	401	18946079	684057	ES5	SIDM00263	UNCLASSIFIED	1007	Docetaxel	Microtubule stabiliser	Mitosis	1046	Y	1.3e-05	0.0125	-5.984889	0.731857	0.071071	-1.037651	ES5	ES5	TRUE	lowest finite RMSE with stable identifier tie-breakers	DRUG_NAME;CELL_LINE_NAME;is.na(RMSE);RMSE;NLME_RESULT_ID;NLME_CURVE_ID;DRUG_ID;COSMIC_ID
GDSC2	401	18946339	684059	ES7	SIDM00269	UNCLASSIFIED	1007	Docetaxel	Microtubule stabiliser	Mitosis	1046	Y	1.3e-05	0.0125	-6.284869	0.697386	0.098932	-1.228796	ES7	ES7	TRUE	lowest finite RMSE with stable identifier tie-breakers	DRUG_NAME;CELL_LINE_NAME;is.na(RMSE);RMSE;NLME_RESULT_ID;NLME_CURVE_ID;DRUG_ID;COSMIC_ID
GDSC2	401	18946621	684062	EW11	SIDM00203	UNCLASSIFIED	1007	Docetaxel	Microtubule stabiliser	Mitosis	1046	Y	1.3e-05	0.0125	-4.686183	0.838476	0.073631	-0.210126	EW-11	EW11	TRUE	lowest finite RMSE with stable identifier tie-breakers	DRUG_NAME;CELL_LINE_NAME;is.na(RMSE);RMSE;NLME_RESULT_ID;NLME_CURVE_ID;DRUG_ID;COSMIC_ID
GDSC2	401	18946903	684072	SKES1	SIDM01111	UNCLASSIFIED	1007	Docetaxel	Microtubule stabiliser	Mitosis	1046	Y	1.3e-05	0.0125	-6.386234	0.691106	0.081501	-1.293385	SK-ES-1	SKES1	TRUE	lowest finite RMSE with stable identifier tie-breakers	DRUG_NAME;CELL_LINE_NAME;is.na(RMSE);RMSE;NLME_RESULT_ID;NLME_CURVE_ID;DRUG_ID;COSMIC_ID
GDSC2	401	18947184	687448	COLO829	SIDM00909	SKCM	1007	Docetaxel	Microtubule stabiliser	Mitosis	1046	Y	1.3e-05	0.0125	0.509813	0.974515	0.069144	3.100721	COLO-829	COLO829	TRUE	lowest finite RMSE with stable identifier tie-breakers	DRUG_NAME;CELL_LINE_NAME;is.na(RMSE);RMSE;NLME_RESULT_ID;NLME_CURVE_ID;DRUG_ID;COSMIC_ID
GDSC2	401	18947463	687452	5637	SIDM00807	BLCA	1007	Docetaxel	Microtubule stabiliser	Mitosis	1046	Y	1.3e-05	0.0125	-6.087374	0.704023	0.10873	-1.102954	5637	5637	TRUE	lowest finite RMSE with stable identifier tie-breakers	DRUG_NAME;CELL_LINE_NAME;is.na(RMSE);RMSE;NLME_RESULT_ID;NLME_CURVE_ID;DRUG_ID;COSMIC_ID
GDSC2	401	18947743	687455	RT4	SIDM01085	BLCA	1007	Docetaxel	Microtubule stabiliser	Mitosis	1046	Y	1.3e-05	0.0125	-4.240427	0.884763	0.070149	0.073906	RT4	RT4	TRUE	lowest finite RMSE with stable identifier tie-breakers	DRUG_NAME;CELL_LINE_NAME;is.na(RMSE);RMSE;NLME_RESULT_ID;NLME_CURVE_ID;DRUG_ID;COSMIC_ID
GDSC2	401	18948024	687457	SW780	SIDM01160	BLCA	1007	Docetaxel	Microtubule stabiliser	Mitosis	1046	Y	1.3e-05	0.0125	-3.292242	0.916399	0.064447	0.678082	SW780	SW780	TRUE	lowest finite RMSE with stable identifier tie-breakers	DRUG_NAME;CELL_LINE_NAME;is.na(RMSE);RMSE;NLME_RESULT_ID;NLME_CURVE_ID;DRUG_ID;COSMIC_ID
