collection_id	collection_label	pathway_id	pathway_label	ranking_id	pval	padj	log2err	ES	NES	size	direction	leading_edge_genes	model_id
C2:CP:REACTOME	Reactome	REACTOME_SIGNALING_BY_EGFR	Signaling by Egfr	primary_adjacent_state	0.001129159109981	0.00215547659098604	0.45505986738723	-0.318606498483299	-1.70493513530062	53	negative	RPS27A;PTPN3;AAMP;SH3KBP1;EPS15L1;UBA52;EPN1;SRC;PTPN12;HRAS;HGS;STAM;PTPN11;CDC42;ADAM12;CSK	ETP_reference_balanced_threshold_2_24
C2:CP:REACTOME	Reactome	REACTOME_MATURATION_OF_SARS_COV_2_NUCLEOPROTEIN	Maturation of Sars Cov 2 Nucleoprotein	primary_adjacent_state	0.00122851825194939	0.00234079451716517	0.45505986738723	-0.588140215036152	-2.1834675504022	15	negative	PRMT1;SRPK1;UBE2I;SUMO1;PARP14;PARP9;PARP16;GSK3A;PARP4;GSK3B;PARP6	ETP_reference_balanced_threshold_2_24
C2:CP:REACTOME	Reactome	REACTOME_CHEMOKINE_RECEPTORS_BIND_CHEMOKINES	Chemokine Receptors Bind Chemokines	primary_adjacent_state	0.00126040523947059	0.00239710403877093	0.45505986738723	0.564200000259355	1.76621105606739	27	positive	CXCL13;XCL1;ACKR2;CCL28;CCR1;ACKR3;CXCL5;CCR10;CXCL9;ACKR4;CXCR5;CXCL12;CCR7	ETP_reference_balanced_threshold_2_24
C2:CP:REACTOME	Reactome	REACTOME_RIPK1_MEDIATED_REGULATED_NECROSIS	Ripk1 Mediated Regulated Necrosis	primary_adjacent_state	0.0013047723335447	0.00247689683281037	0.45505986738723	-0.427651773215264	-1.97697040011039	30	negative	RPS27A;UBE2L3;FADD;STUB1;CDC37;HSP90AA1;UBA52;TRAF2	ETP_reference_balanced_threshold_2_24
C2:CP:REACTOME	Reactome	REACTOME_DAG_AND_IP3_SIGNALING	Dag and Ip3 Signaling	primary_adjacent_state	0.00134383346109305	0.00254634126299367	0.45505986738723	-0.368238561729389	-1.82982041203917	38	negative	PRKACA;CALM1;ADCY3;PRKAR2A;ADCY7;PDE1C;PRKCE;GRK2;CAMKK1;PRKCD;CAMKK2;CAMK2G;CAMK4;ADCY6;PRKX	ETP_reference_balanced_threshold_2_24
C2:CP:REACTOME	Reactome	REACTOME_EARLY_SARS_COV_2_INFECTION_EVENTS	Early Sars Cov 2 Infection Events	primary_adjacent_state	0.00139518666490144	0.0026387784619775	0.45505986738723	-0.4015417450769	-1.89831359216174	32	negative	NRP1;ISCU;CHMP6;CTSL;ZCRB1;FURIN;VHL;SDC3;SDC4;GPC1;DDX5	ETP_reference_balanced_threshold_2_24
C2:CP:REACTOME	Reactome	REACTOME_RESPONSE_OF_MTB_TO_PHAGOCYTOSIS	Response of Mtb to Phagocytosis	primary_adjacent_state	0.00142057852627231	0.00268186423985601	0.45505986738723	-0.483705107991719	-2.01657621504395	21	negative	KPNB1;RPS27A;UBA52;HGS;CORO1A;TRIM27;RNF213;VPS33B;ENO1;DUSP16;MAPK3;GSK3A;KPNA1	ETP_reference_balanced_threshold_2_24
C2:CP:REACTOME	Reactome	REACTOME_DOWNREGULATION_OF_SMAD2_3_SMAD4_TRANSCRIPTIONAL_ACTIVITY	Downregulation of Smad2 3 Smad4 Transcriptional Activity	primary_adjacent_state	0.00158345358492384	0.00298386574626933	0.45505986738723	-0.419627398019253	-1.93987490972432	30	negative	RPS27A;PARP1;HDAC1;UBA52;UBE2D3;WWTR1;MAPK3;STAT1;TGIF2;UBE2D1;PPM1A;SNW1;RNF111;SMAD4;SERPINE1;UBB;UBC;SMAD3;NCOR2;MAPK1;SKIL;TGIF1;SMAD2;TRIM33;NCOR1;SKI;SMAD7;USP9X;SMURF2;NEDD4L	ETP_reference_balanced_threshold_2_24
C2:CP:REACTOME	Reactome	REACTOME_APOPTOTIC_FACTOR_MEDIATED_RESPONSE	Apoptotic Factor Mediated Response	primary_adjacent_state	0.00160336611964936	0.00301585532029286	0.45505986738723	-0.472191814609694	-1.92789295399716	20	negative	BAX;CYCS;C1QBP;GSDMD;CARD8;AVEN;APIP;CASP3	ETP_reference_balanced_threshold_2_24
C2:CP:REACTOME	Reactome	REACTOME_PRESYNAPTIC_FUNCTION_OF_KAINATE_RECEPTORS	Presynaptic Function of Kainate Receptors	primary_adjacent_state	0.00162260884727583	0.00304647035859649	0.45505986738723	-0.57965021039693	-2.15194845145508	15	negative	GNG11;GNG10;GNB4;GNG5;GNB2;GNB1;GNG2;PLCB2;GNB5;PLCB3;GNG4	ETP_reference_balanced_threshold_2_24
C2:CP:REACTOME	Reactome	REACTOME_G_ALPHA_Z_SIGNALLING_EVENTS	g Alpha z Signalling Events	primary_adjacent_state	0.00163973237276668	0.003073002092758	0.45505986738723	-0.379157056898859	-1.84282060601954	36	negative	GNG11;RGS19;ADCY3;GNG10;ADCY7;PRKCE;GNB4;PRKCD;RGS20;GNG5;GNB2;ADCY6;GNB1;GNG2	ETP_reference_balanced_threshold_2_24
C2:CP:REACTOME	Reactome	REACTOME_TP53_REGULATES_TRANSCRIPTION_OF_ADDITIONAL_CELL_CYCLE_GENES_WHOSE_EXACT_ROLE_IN_THE_P53_PATHWAY_REMAIN_UNCERTAIN	Tp53 Regulates Transcription of Additional Cell Cycle Genes Whose Exact Role in the P53 Pathway Remain Uncertain	primary_adjacent_state	0.00167345794458355	0.00312480238015874	0.45505986738723	-0.470154461337466	-1.91957472632611	20	negative	CNOT9;NPM1;CNOT10;CNOT6L;PLAGL1;CNOT11;TP53	ETP_reference_balanced_threshold_2_24
C2:CP:REACTOME	Reactome	REACTOME_EPH_EPHRIN_MEDIATED_REPULSION_OF_CELLS	Eph Ephrin Mediated Repulsion of Cells	primary_adjacent_state	0.00167252739893828	0.00312480238015874	0.45505986738723	-0.343085291073534	-1.78316146351356	47	negative	AP2S1;CLTCL1;EPHB6;EFNB2;SRC;CLTA;TIAM1;AP2A1;AP2M1;CLTB;PSENEN;ACTG1;EPHA2;ACTB;NCSTN;LYN;EFNB1;AP2A2;APH1A	ETP_reference_balanced_threshold_2_24
C2:CP:REACTOME	Reactome	REACTOME_BACTERIAL_INFECTION_PATHWAYS	Bacterial Infection Pathways	primary_adjacent_state	0.0016777591706407	0.00312714821823593	0.45505986738723	-0.250350069867686	-1.48262374207082	97	negative	KPNB1;RPS27A;HSP90AB1;CALM1;SH3KBP1;EEF2;FURIN;TXNRD1;HSP90AA1;UBA52;SRC;MAP2K1;STX1A;HGS;CALM3;GBP1;CASP4;MAP2K7;STAM;CALM2;CORO1A;LAMA2;MAP2K2;LAMA3;TRIM27;GBP3;RNF213;UBE2D2;VPS33B	ETP_reference_balanced_threshold_2_24
