key	value
full_analysis_run_dir	/share/lab_crd/lab_crd/taoli/Project/BreastCancerOrthotopicModels/Results/04i_pseudotime_state_pathways
report_identifier	04i_pseudotime_state_pathways_report.html@sha256:b9644b1da0399043a6aba28178a2b61375b661780c4fb08a148c7724da00bfa1
code_revision_04i	dc751eab928bc40f3edb063baec447fe32a69d73
seurat_rds_sha256	727b8a5e5868da911c3b0873838fb1b0023377ed21ea5498dc6493acbbef6d98
cellcycle_metadata_sha256	bd0c6fcf3f6691114445a7c8a9fb8de7e55ef6580a9737284cd38f5bba216186
noncellcycle_metadata_sha256	1e44794fb2b2c402b49cf9d17abcc54cd7690dc5d1d611e38a6aa3b996093d3c
interval_config_sha256	814e2d0d2d1eb92c62dbd6f00eeac23277bc602cdb5b836da72671c1e97ff49c
assay	RNA
counts_layer	counts
etp_method	reference_balanced
etp_threshold	2.24
spline_df	5
pseudotime_bins	20
minimum_cells_per_sample_bin	5
grid_size	501
seed	1
gene_set_source	msigdbr runtime query; package version 26.1.0
gene_set_release	not_recorded_in_04i_manifest
gene_set_species	Homo sapiens
gene_set_collections	H,C2:CP:REACTOME,C5:GO:BP
gene_set_min_size	15
gene_set_max_size	500
expression_filter	CPM > 1 in at least 14 retained sample-bin observations
normalization	TMM
observation_model	voom
mouse_block	duplicateCorrelation
nuisance_terms	dose_mg_factor,ETP_reference_balanced_threshold_2_24_factor
treatment_by_pseudotime_interaction	false
empirical_bayes	robust
contrast	mean(primary grid) - 0.5 * mean(left grid) - 0.5 * mean(right grid)
gsea_rank_statistic	moderated_t
pathway_activity	row-standardize fitted expression per leading-edge gene, then average genes
feature_species_policy	mixed GRCh38 and GRCm39 features; strip GRCh/GRCm/hg38 prefixes and version suffixes; preserve symbol case; resolve duplicate symbols by largest absolute moderated t then p value; query Homo sapiens MSigDB gene symbols
gsea_ranking_rule	one row per cleaned gene symbol; descending moderated t; ties retain cleaned-symbol order
pathway_selection_rule	finite adjusted P; no FDR cutoff; top four per sign and collection
activity_table_sha256	361bf14de68657239c0735558355760dd236a482979186204ec5317a734e7462
canonical_reference_id	taoli_04i_etp2_24_day17_v1
workflow_id	binning
model_id	ETP_reference_balanced_threshold_2_24
accumulated_interval	[0.30,0.49]
left_neighbor_interval	[0.11,0.30)
right_neighbor_interval	(0.49,0.68]
report_html_sha256	b9644b1da0399043a6aba28178a2b61375b661780c4fb08a148c7724da00bfa1
report_html_path	/private/tmp/figure7_hpc_source_dXAUtD/source/report/04i_pseudotime_state_pathways_report.html
export_source_results_root	/private/tmp/figure7_hpc_source_dXAUtD/source
recorded_cell_metadata_path	/share/lab_crd/lab_crd/taoli/Project/BreastCancerOrthotopicModels/Data/in-vivo/CellCycleCells_pseudotime_distribution_per_sample_cell_level_with_ploidy_dose_tgi.csv
recorded_noncell_metadata_path	/share/lab_crd/lab_crd/taoli/Project/BreastCancerOrthotopicModels/Data/in-vivo/NonCellCycleCells_pseudotime_distribution_per_sample_cell_level_with_ploidy_dose_tgi.csv
recorded_seurat_rds_path	/share/lab_crd/lab_crd/taoli/Project/BreastCancerOrthotopicModels/Results/03_final_cluster/03_objects/integrated_sct_cca_seurat_final_reclustered.rds
msigdbr_package_version	26.1.0
fgsea_package_version	1.36.2
source_activity_sha256	0f545a39cd9ce25e0335c8db2aed69b44834e3c86d11164e492419dada58db76
source_primary_gsea_sha256	aaca8d189c1288c78502882a15b80a9ca35c98da42bafd89d140d6f4e68faee1
source_leading_edge_sha256	916a8d3db4b3e936595714c08d4cc666f2e77663f641aaad7f6581b387ebd2aa
source_gene_contrast_sha256	b371b2931dabafa1850ab55313d724a4862b8723c5c9e1f65e5d8b0eab47be5f
source_gene_resolution_sha256	b5973dab047ebf92b645007972f46e6a9bb7629d97eabd8cb3d62d75d2c32100
source_sample_bin_metadata_sha256	89d757f074932eb81951f22adc4f93d1c4e2e62de59f742467c5765f6df011d5
source_design_audit_sha256	1dd5dc5b7e3453dec06780f8092150a7f7c1c31c679596e3eda85019a910146e
