path	repo_relative_path	absolute_path	role	source_kind	module	generated_by	command_id	sha256	checksum_unavailable_reason	byte_size	mtime_utc	figure	panel	notes
Results/in-vivo/figure7/runs/20260720Tfigure7_tgi31_supplement2_figure7/figures/panel_7A_day31_tgi_calculation.pdf	Results/in-vivo/figure7/runs/20260720Tfigure7_tgi31_supplement2_figure7/figures/panel_7A_day31_tgi_calculation.pdf	/private/tmp/Gemcitabine-model-pr22/Results/in-vivo/figure7/runs/20260720Tfigure7_tgi31_supplement2_figure7/figures/panel_7A_day31_tgi_calculation.pdf	output_figure	generated_panel	in_vivo_figure7	Manager.sh	20260720Tfigure7_tgi31_supplement2	094f20e6d338d0ae5f4039b0b1ba6b3f6d8ff6596c2f0009149d28d10a38ebda		20015	2026-07-20T14:39:01.119932+00:00			.
Results/in-vivo/figure7/runs/20260720Tfigure7_tgi31_supplement2_figure7/figures/panel_7A_day31_tgi_calculation.png	Results/in-vivo/figure7/runs/20260720Tfigure7_tgi31_supplement2_figure7/figures/panel_7A_day31_tgi_calculation.png	/private/tmp/Gemcitabine-model-pr22/Results/in-vivo/figure7/runs/20260720Tfigure7_tgi31_supplement2_figure7/figures/panel_7A_day31_tgi_calculation.png	output_figure	generated_panel	in_vivo_figure7	Manager.sh	20260720Tfigure7_tgi31_supplement2	e4c61d4c69e22f926aa65f6f28650ca1525119c0649e4b1011d37d93f9abd13c		364103	2026-07-20T14:39:01.454339+00:00			.
Results/in-vivo/figure7/runs/20260720Tfigure7_tgi31_supplement2_figure7/figures/panel_7B_cellcycle_selected_ecdf_comparisons.pdf	Results/in-vivo/figure7/runs/20260720Tfigure7_tgi31_supplement2_figure7/figures/panel_7B_cellcycle_selected_ecdf_comparisons.pdf	/private/tmp/Gemcitabine-model-pr22/Results/in-vivo/figure7/runs/20260720Tfigure7_tgi31_supplement2_figure7/figures/panel_7B_cellcycle_selected_ecdf_comparisons.pdf	output_figure	generated_panel	in_vivo_figure7	Manager.sh	20260720Tfigure7_tgi31_supplement2	cfd4c4c6323cf9a870a83ff44cedab5aaf38fd49d8f8e099567e0c9b94fb0251		33473	2026-07-20T14:39:01.625313+00:00			.
Results/in-vivo/figure7/runs/20260720Tfigure7_tgi31_supplement2_figure7/figures/panel_7B_cellcycle_selected_ecdf_comparisons.png	Results/in-vivo/figure7/runs/20260720Tfigure7_tgi31_supplement2_figure7/figures/panel_7B_cellcycle_selected_ecdf_comparisons.png	/private/tmp/Gemcitabine-model-pr22/Results/in-vivo/figure7/runs/20260720Tfigure7_tgi31_supplement2_figure7/figures/panel_7B_cellcycle_selected_ecdf_comparisons.png	output_figure	generated_panel	in_vivo_figure7	Manager.sh	20260720Tfigure7_tgi31_supplement2	5ea21a6c8e31fb028006113c0898541e264b2ec82216ef237cc8744205c083a2		244529	2026-07-20T14:39:01.921297+00:00			.
Results/in-vivo/figure7/runs/20260720Tfigure7_tgi31_supplement2_figure7/figures/panel_7C_day31_tgi_by_initial_ploidy.pdf	Results/in-vivo/figure7/runs/20260720Tfigure7_tgi31_supplement2_figure7/figures/panel_7C_day31_tgi_by_initial_ploidy.pdf	/private/tmp/Gemcitabine-model-pr22/Results/in-vivo/figure7/runs/20260720Tfigure7_tgi31_supplement2_figure7/figures/panel_7C_day31_tgi_by_initial_ploidy.pdf	output_figure	generated_panel	in_vivo_figure7	Manager.sh	20260720Tfigure7_tgi31_supplement2	e1bdfd8e3bd7e6e85d0588543ddd6ad323c02ecbb93cd0098dc88a3143997b0b		18830	2026-07-20T14:39:02.054532+00:00			.
Results/in-vivo/figure7/runs/20260720Tfigure7_tgi31_supplement2_figure7/figures/panel_7C_day31_tgi_by_initial_ploidy.png	Results/in-vivo/figure7/runs/20260720Tfigure7_tgi31_supplement2_figure7/figures/panel_7C_day31_tgi_by_initial_ploidy.png	/private/tmp/Gemcitabine-model-pr22/Results/in-vivo/figure7/runs/20260720Tfigure7_tgi31_supplement2_figure7/figures/panel_7C_day31_tgi_by_initial_ploidy.png	output_figure	generated_panel	in_vivo_figure7	Manager.sh	20260720Tfigure7_tgi31_supplement2	d9fed52d108e31214a1085137c79e91bfbfe68fc8a3cf624fd15e095890f1b8b		100619	2026-07-20T14:39:02.227149+00:00			.
Results/in-vivo/figure7/runs/20260720Tfigure7_tgi31_supplement2_figure7/figures/panel_7D_day31_tgi_vs_centered_ecdf_shift.pdf	Results/in-vivo/figure7/runs/20260720Tfigure7_tgi31_supplement2_figure7/figures/panel_7D_day31_tgi_vs_centered_ecdf_shift.pdf	/private/tmp/Gemcitabine-model-pr22/Results/in-vivo/figure7/runs/20260720Tfigure7_tgi31_supplement2_figure7/figures/panel_7D_day31_tgi_vs_centered_ecdf_shift.pdf	output_figure	generated_panel	in_vivo_figure7	Manager.sh	20260720Tfigure7_tgi31_supplement2	b3c0639300b0f2bebce2cf8f524e4a64bbff274ce18b0821bc07be4cd6653050		18592	2026-07-20T14:39:02.826320+00:00			.
Results/in-vivo/figure7/runs/20260720Tfigure7_tgi31_supplement2_figure7/figures/panel_7D_day31_tgi_vs_centered_ecdf_shift.png	Results/in-vivo/figure7/runs/20260720Tfigure7_tgi31_supplement2_figure7/figures/panel_7D_day31_tgi_vs_centered_ecdf_shift.png	/private/tmp/Gemcitabine-model-pr22/Results/in-vivo/figure7/runs/20260720Tfigure7_tgi31_supplement2_figure7/figures/panel_7D_day31_tgi_vs_centered_ecdf_shift.png	output_figure	generated_panel	in_vivo_figure7	Manager.sh	20260720Tfigure7_tgi31_supplement2	bdc6d4fc6d92a8a8515aee3497e5138f822c71b5a00a99b5a80da9c8651c9411		167366	2026-07-20T14:39:03.071552+00:00			.
Results/in-vivo/figure7/runs/20260720Tfigure7_tgi31_supplement2_figure7/figures/panel_7E_day31_tgi_vs_mean_etp.pdf	Results/in-vivo/figure7/runs/20260720Tfigure7_tgi31_supplement2_figure7/figures/panel_7E_day31_tgi_vs_mean_etp.pdf	/private/tmp/Gemcitabine-model-pr22/Results/in-vivo/figure7/runs/20260720Tfigure7_tgi31_supplement2_figure7/figures/panel_7E_day31_tgi_vs_mean_etp.pdf	output_figure	generated_panel	in_vivo_figure7	Manager.sh	20260720Tfigure7_tgi31_supplement2	6a4b64e0b4e7e1b66ed0f36874fc289e81133e64f876c22e4e6e5c8d83882d63		18367	2026-07-20T14:39:03.219979+00:00			.
Results/in-vivo/figure7/runs/20260720Tfigure7_tgi31_supplement2_figure7/figures/panel_7E_day31_tgi_vs_mean_etp.png	Results/in-vivo/figure7/runs/20260720Tfigure7_tgi31_supplement2_figure7/figures/panel_7E_day31_tgi_vs_mean_etp.png	/private/tmp/Gemcitabine-model-pr22/Results/in-vivo/figure7/runs/20260720Tfigure7_tgi31_supplement2_figure7/figures/panel_7E_day31_tgi_vs_mean_etp.png	output_figure	generated_panel	in_vivo_figure7	Manager.sh	20260720Tfigure7_tgi31_supplement2	8ffbd855aa6f497872905a6be2362710aae771a930c4eff732b5ddf59cf5b6ed		145767	2026-07-20T14:39:03.434513+00:00			.
