cancer_type	drug	metric	n_raw	pearson_r_raw	pearson_p_raw	pearson_fdr_raw	spearman_rho_raw	spearman_p_raw	spearman_fdr_raw	n_normalized	pearson_r_normalized	pearson_p_normalized	pearson_fdr_normalized	spearman_rho_normalized	spearman_p_normalized	spearman_fdr_normalized	n_delta	pearson_r_delta	spearman_rho_delta	delta_status
allcancers	123138	Z_SCORE	490	0.0812689262189045	0.0722810688406089	0.148722199197224	0.097263501254712	0.0313480378728706	0.0635853817846878	490	0.0812689262189045	0.0722810688406089	0.148722199197224	0.097263501254712	0.0313480378728706	0.0635853817846878	0	0	0	unchanged
allcancers	123829	Z_SCORE	490	0.0380815053368923	0.40027946666975	0.493447963222191	0.0486643647250611	0.282322152132102	0.337841571170633	490	0.0380815053368923	0.40027946666975	0.493447963222191	0.0486643647250611	0.282322152132102	0.337841571170633	0	0	0	unchanged
allcancers	150412	Z_SCORE	490	0.12185790834419	0.00692100353647611	0.0380655194506186	0.132481422841649	0.00330260330332452	0.0152345894314647	490	0.12185790834419	0.00692100353647611	0.0380655194506186	0.132481422841649	0.00330260330332452	0.0152345894314647	0	0	0	unchanged
allcancers	5-azacytidine	Z_SCORE	513	0.127136809665138	0.00392317617109428	0.0330008348509695	0.157346135686167	0.000346994004367794	0.00496201426245946	513	0.127136809665138	0.00392317617109428	0.0330008348509695	0.157346135686167	0.000346994004367794	0.00496201426245946	0	0	0	unchanged
allcancers	5-Fluorouracil	Z_SCORE	626	0.132521806532282	0.000888196080619868	0.0169349386038188	0.146181404175446	0.000242665044689229	0.00435292772389313	626	0.132521806532282	0.000888196080619868	0.0169349386038188	0.146181404175446	0.000242665044689229	0.00435292772389313	0	0	0	unchanged
allcancers	50869	Z_SCORE	490	0.140661498959184	0.00180082425039855	0.026466506831065	0.149441773635722	0.000905873801108013	0.00925285382560328	490	0.140661498959184	0.00180082425039855	0.026466506831065	0.149441773635722	0.000905873801108013	0.00925285382560328	0	0	0	unchanged
allcancers	615590	Z_SCORE	490	0.124926167714626	0.00562024952739529	0.0361768122462561	0.140650604074799	0.00180231818287936	0.0112057173979021	490	0.124926167714626	0.00562024952739529	0.0361768122462561	0.140650604074799	0.00180231818287936	0.0112057173979021	0	0	0	unchanged
allcancers	630600	Z_SCORE	490	0.125364147325026	0.00545370903905745	0.0361768122462561	0.1454656586811	0.00124229653754016	0.00986935582601352	490	0.125364147325026	0.00545370903905745	0.0361768122462561	0.1454656586811	0.00124229653754016	0.00986935582601352	0	0	0	unchanged
allcancers	667880	Z_SCORE	490	0.100816581088704	0.025637513301048	0.0806936350790662	0.113972017155168	0.0115808308427827	0.0318472848176524	490	0.100816581088704	0.025637513301048	0.0806936350790662	0.113972017155168	0.0115808308427827	0.0318472848176524	0	0	0	unchanged
allcancers	720427	Z_SCORE	490	0.0707590539830812	0.117752003327311	0.196733499236975	0.07286132225559	0.107206645282293	0.159992422432569	490	0.0707590539830812	0.117752003327311	0.196733499236975	0.07286132225559	0.107206645282293	0.159992422432569	0	0	0	unchanged
