Feature_ID,Metabolite,comparison,group_a,group_b,log2FC,fold_change,p_value,FDR_BH
Xanthosine 5'-monophosphate | row_16,Xanthosine 5'-monophosphate,Gem_response_2N_G_vs_2N_C,2N_C,2N_G,-1.1659553482996046,0.4456690412810981,0.011552500048174505,0.04868553591730684
L-Sorbose;Myo-inositol;Mannose;Allose;D-Psicose;chiro-Inositol,L-Sorbose;Myo-inositol;Mannose;Allose;D-Psicose;chiro-Inositol,Gem_response_2N_G_vs_2N_C,2N_C,2N_G,-1.039813461572578,0.4863903592257727,0.0005684538963898009,0.008769507209324566
Lauroylcarnitine;Lauroyl-L-carnitine,Lauroylcarnitine;Lauroyl-L-carnitine,Gem_response_2N_G_vs_2N_C,2N_C,2N_G,-1.2963206092310777,0.40716328783342026,0.005565989590609672,0.030974599089099136
Inosine | row_19,Inosine,Gem_response_2N_G_vs_2N_C,2N_C,2N_G,-0.28783654473855336,0.8191294987900627,0.7389275621661372,0.8442116694194589
Decanoyl-L-carnitine | row_20,Decanoyl-L-carnitine,Gem_response_2N_G_vs_2N_C,2N_C,2N_G,-1.1265202774294742,0.4580191176506294,0.012206647786105886,0.049243912436256226
Inosine | row_21,Inosine,Gem_response_2N_G_vs_2N_C,2N_C,2N_G,-0.15659510049368208,0.8971399110906995,0.8435591874298709,0.9111211360798606
Beta-Alanine | row_22,Beta-Alanine,Gem_response_2N_G_vs_2N_C,2N_C,2N_G,-1.3241177099513592,0.39939337026191246,0.0001969726410637195,0.005194455085610017
Myristoyl-L-carnitine | row_23,Myristoyl-L-carnitine,Gem_response_2N_G_vs_2N_C,2N_C,2N_G,-0.8506205199665224,0.5545461679563716,0.027653000601523682,0.08260896382227328
Beta-Alanine | row_24,Beta-Alanine,Gem_response_2N_G_vs_2N_C,2N_C,2N_G,-1.4956829687088415,0.35461292631690766,2.7307401696704347e-05,0.0021481822668074084
Arachidonic acid,Arachidonic acid,Gem_response_2N_G_vs_2N_C,2N_C,2N_G,0.4727880453049629,1.3877888159345537,0.13567805368178545,0.2582259731363013
Hexanoyl-L-carnitine,Hexanoyl-L-carnitine,Gem_response_2N_G_vs_2N_C,2N_C,2N_G,-0.5709994777704779,0.6731502783065778,0.024704873752437916,0.07671513428388617
Decanoyl-L-carnitine | row_27,Decanoyl-L-carnitine,Gem_response_2N_G_vs_2N_C,2N_C,2N_G,-0.8161886629444091,0.5679403573016943,0.027100965918953127,0.08252681234674758
Glucose 6-phosphate | row_28,Glucose 6-phosphate,Gem_response_2N_G_vs_2N_C,2N_C,2N_G,-0.047879133065276136,0.9673573700411626,0.8583677670111636,0.9187065442840572
N-Acetyl-L-Methionine | row_29,N-Acetyl-L-Methionine,Gem_response_2N_G_vs_2N_C,2N_C,2N_G,-1.5306132717117116,0.3461302001090579,0.0015042640627916711,0.014791929950784766
2-Oxo-4-methylthiobutanoic acid,2-Oxo-4-methylthiobutanoic acid,Gem_response_2N_G_vs_2N_C,2N_C,2N_G,-0.9250818629397415,0.5266506333579721,0.002176581745183327,0.019332582206577898
Urocanate,Urocanate,Gem_response_2N_G_vs_2N_C,2N_C,2N_G,-0.3407143059917068,0.7896502440741275,0.6544455433174046,0.7719059805598172
Glucose 6-phosphate | row_32,Glucose 6-phosphate,Gem_response_2N_G_vs_2N_C,2N_C,2N_G,0.07620783343850945,1.0542432857561008,0.7404737947874067,0.8442116694194589
Phosphocholine | row_33,Phosphocholine,Gem_response_2N_G_vs_2N_C,2N_C,2N_G,-0.12860477591777197,0.9147156401187371,0.12716957218531405,0.24906239863679766
N-Acetyl-D-Glucosamine;N-Acetyl-D-Galactosamine,N-Acetyl-D-Glucosamine;N-Acetyl-D-Galactosamine,Gem_response_2N_G_vs_2N_C,2N_C,2N_G,-0.3063989029532195,0.8086577248339499,0.5886310700970131,0.7257405615251784
N-Acetyl-Glucosamine-6-phosphate | row_35,N-Acetyl-Glucosamine-6-phosphate,Gem_response_2N_G_vs_2N_C,2N_C,2N_G,-0.3808712480025136,0.7679736688995293,0.010928815221633218,0.047324777840466785
2'-Deoxycytidine 5'-monophosphate,2'-Deoxycytidine 5'-monophosphate,Gem_response_2N_G_vs_2N_C,2N_C,2N_G,-1.7494164141948527,0.29742206487441153,0.0006336577828582404,0.009159224504768512
1-Oleoyl-rac-Glycerol,1-Oleoyl-rac-Glycerol,Gem_response_2N_G_vs_2N_C,2N_C,2N_G,-0.0601571066568809,0.9591596630340569,0.7869980096798046,0.8719790154198773
Octanoyl-L-carnitine,Octanoyl-L-carnitine,Gem_response_2N_G_vs_2N_C,2N_C,2N_G,-0.6447704048145582,0.6395945697017702,0.003841555583146008,0.025903060503498797
Palmitoylcarnitine,Palmitoylcarnitine,Gem_response_2N_G_vs_2N_C,2N_C,2N_G,-0.7267628222805129,0.6042582530231175,0.007495804509955874,0.035572550847589895
Phosphocholine | row_40,Phosphocholine,Gem_response_2N_G_vs_2N_C,2N_C,2N_G,-0.06728876706784348,0.954429958152773,0.5251424079175467,0.6790882644851562
N-Acetylglycine,N-Acetylglycine,Gem_response_2N_G_vs_2N_C,2N_C,2N_G,-1.182653409447795,0.44054050903888065,8.131700274453136e-06,0.0015469033399813368
Deoxycarnitine | row_42,Deoxycarnitine,Gem_response_2N_G_vs_2N_C,2N_C,2N_G,-0.4886726963210535,0.7126804742849943,0.0176093309638807,0.062493264774072854
5'-Deoxyadenosine;2'-Deoxyadenosine,5'-Deoxyadenosine;2'-Deoxyadenosine,Gem_response_2N_G_vs_2N_C,2N_C,2N_G,-0.2666805704685622,0.8312298852250143,0.05036159915753052,0.1271159080339808
7-Ketodeoxycholate,7-Ketodeoxycholate,Gem_response_2N_G_vs_2N_C,2N_C,2N_G,0.2521229971118757,1.1909583803142652,0.21030250495502303,0.3532483357251633
O-Acetyl-L-carnitine,O-Acetyl-L-carnitine,Gem_response_2N_G_vs_2N_C,2N_C,2N_G,-0.7796984194744603,0.5824885437336282,0.0012473722104499017,0.013793941279796293
dAMP | row_46,dAMP,Gem_response_2N_G_vs_2N_C,2N_C,2N_G,-4.296657328586244,0.050883533576312284,0.000127906520660832,0.005183241516626907
4-Aminobutanoate,4-Aminobutanoate,Gem_response_2N_G_vs_2N_C,2N_C,2N_G,-1.0388792066936752,0.48670543602191235,0.00044190703923156603,0.008139785177110719
Hypotaurine | row_48,Hypotaurine,Gem_response_2N_G_vs_2N_C,2N_C,2N_G,-1.070113084340477,0.47628166465306837,0.0001077668151171987,0.005183241516626907
L-carnitine | row_49,L-carnitine,Gem_response_2N_G_vs_2N_C,2N_C,2N_G,-0.36384561361729695,0.7770904227126096,0.016358974908679574,0.059798907737408126
Xanthosine | row_50,Xanthosine,Gem_response_2N_G_vs_2N_C,2N_C,2N_G,-0.10558083060003298,0.9294306774720116,0.8882024060753344,0.9337005248720665
Deoxycytidine | row_51,Deoxycytidine,Gem_response_2N_G_vs_2N_C,2N_C,2N_G,-0.7871250033736494,0.5794977627667116,0.016723423350292102,0.059798907737408126
Orotate,Orotate,Gem_response_2N_G_vs_2N_C,2N_C,2N_G,-2.9237392221493828,0.1317852469213427,6.108326758366284e-05,0.004118757471355552
(R)-3-hydroxybutyrylcarnitine,(R)-3-hydroxybutyrylcarnitine,Gem_response_2N_G_vs_2N_C,2N_C,2N_G,-0.048493062986807445,0.9669458046913472,0.7630677586252496,0.8555058956558618
L-carnitine | row_54,L-carnitine,Gem_response_2N_G_vs_2N_C,2N_C,2N_G,-0.3341971808164601,0.7932254214381707,0.04544078678833739,0.11720246647046584
Glycine | row_55,Glycine,Gem_response_2N_G_vs_2N_C,2N_C,2N_G,-0.5805054155449554,0.6687294621249094,0.0025091752821574257,0.020777732161022893
