Feature_ID,Metabolite,p_ploidy,p_treatment,p_interaction,F_ploidy,F_treatment,F_interaction,FDR_ploidy,FDR_treatment,FDR_interaction
5-Methyltetrahydrofolic acid | row_0,5-Methyltetrahydrofolic acid,2.558288574116807e-08,1.7313586753860227e-06,0.015861809143832957,161.36341862582506,74.35131050549457,7.874568344363716,9.288555438331792e-07,3.4050053949258446e-05,0.08752244927185802
Uridine | row_1,Uridine,0.003912161504589535,0.2673286092830512,0.05002311737700551,12.685151726268154,1.3532055385575943,4.746100441839401,0.012734760208043176,0.36967970435574227,0.1788705409238379
Uridine | row_2,Uridine,0.005938194572764816,0.833302162474805,0.2718913476041083,11.125044420625594,0.046267734596948454,1.3263127224598303,0.017301406409536996,0.8878524169031783,0.5092568097981711
Guanosine | row_3,Guanosine,0.34791016437799077,0.9890442368860404,0.263127869147961,0.9543006847163745,0.0001965670866129589,1.3785246220821739,0.4561488821844768,0.9919246191852059,0.5069238948483167
5-Methyltetrahydrofolic acid | row_4,5-Methyltetrahydrofolic acid,3.6825869865218247e-07,0.00012215959730864606,0.09384584567885032,99.4850795519954,31.0055911156492,3.3108536246713047,7.557308946253484e-06,0.000748822466619233,0.2636621378596271
Trimethyl N-Oxide,Trimethyl N-Oxide,1.0507647280678224e-10,0.0010105349934605146,0.08205953971114135,419.872004099913,18.592051525934366,3.6010129677659517,1.9489013392561854e-08,0.0039747709742780244,0.24273587811487138
Adenosine,Adenosine,0.07420577883967344,0.3032112262532702,0.0010411954366520866,3.8241909491661468,1.1571433995101232,18.44632532125781,0.13267093792547677,0.4077370335941411,0.015853040196767254
Guanosine | row_7,Guanosine,0.3205281212142055,0.6904596179944729,0.1950613650327772,1.07376207736171,0.16646358765835112,1.88334814834951,0.4273686368412394,0.7668163286903322,0.43159723456440613
Galactarate;D-Saccharic acid,Galactarate;D-Saccharic acid,7.220066338021484e-07,5.539760847083818e-05,0.024671243852079423,87.75214523403933,36.910419723855945,6.590648393217503,1.2621745598319039e-05,0.00041504239997199396,0.11145306648843042
Isovalerylcarnitine | row_9,Isovalerylcarnitine,1.3998784560244817e-08,0.0011468751973658256,0.006652925928171243,179.59478270013685,17.980046230024143,10.719488749064592,7.219384250931027e-07,0.004365524944811852,0.05064808125962623
Phenol sulfate,Phenol sulfate,1.0569887266616425e-05,0.6304367296027913,0.0004904816039920356,52.13104052695692,0.2437304055270657,22.35100086898705,9.238864425635097e-05,0.7240051979866605,0.009190981825086826
Isovalerylcarnitine | row_11,Isovalerylcarnitine,2.9792011155816405e-07,0.0029689594433464452,0.01657498960686496,103.4601463718841,13.780287146006952,7.742019496705768,6.487333757908465e-06,0.0094050258876478,0.08752244927185802
