Feature_ID,Metabolite,oneway_F,oneway_p,oneway_FDR_BH
Pyruvate,Pyruvate,4.611099880098833,0.022831511750968744,0.0409675449708346
Fumarate,Fumarate,7.259888172830858,0.004913059965384814,0.011095522984026948
N-Acetyl-D-Mannosamine;N-Acetylglucosamine;N-Acetyl-D-Galactosamine,N-Acetyl-D-Mannosamine;N-Acetylglucosamine;N-Acetyl-D-Galactosamine,0.6824752142760383,0.5795976281630832,0.6147642258269107
Aminoadipic acid | row_252,Aminoadipic acid,0.1799039197078366,0.9079768732130343,0.9157373593088722
Itaconate,Itaconate,0.37835281927425085,0.7703475589727571,0.7921656815580421
NAD | row_254,NAD,14.502096473096307,0.00027022731751064896,0.000931002145000192
Uridine 5'-diphospho-n-acetylgalactosamine;Uridine 5'-diphospho-n-acetylglucosamine | row_255,Uridine 5'-diphospho-n-acetylgalactosamine;Uridine 5'-diphospho-n-acetylglucosamine,31.44651814893589,5.755339369590668e-06,4.527533637411326e-05
4-Pyridoxate | row_256,4-Pyridoxate,1.607463030567535,0.23944381477119084,0.2920348335193852
CDP-ethanolamine | row_257,CDP-ethanolamine,7.01903488927027,0.0055666501698718954,0.012277845234483806
Adenosine 5'-triphosphate (ATP),Adenosine 5'-triphosphate (ATP),0.3467804390141298,0.7921569133602995,0.8110587052192221
Deoxycytidine | row_259,Deoxycytidine,0.2049455815174118,0.8909971923103703,0.9024692591641519
Retinoate | row_260,Retinoate,4.629979023439412,0.022549938682233893,0.04093681176159384
Pyridoxine | row_261,Pyridoxine,0.04037066528994176,0.9886301385928983,0.9886301385928983
Docosahexaenoic acid | row_262,Docosahexaenoic acid,1.1072166309536668,0.38429033409981594,0.4333730702017733
Pyridoxal | row_263,Pyridoxal,1.5144510005696366,0.26104865225242285,0.3135240810767012
Choline,Choline,1.6933453310664826,0.2212461385919809,0.2705393197290543
D-(+)-Trehalose;D-Lactose;Melibiose;Maltose;D-(+)-Cellobiose;Isomaltose,D-(+)-Trehalose;D-Lactose;Melibiose;Maltose;D-(+)-Cellobiose;Isomaltose,10.807142418329857,0.000998840050485911,0.002741002929240407
2-Aminoheptanoate,2-Aminoheptanoate,1.3479331495473867,0.30529742341769794,0.35417003434345384
3-Sulfino-L-Alanine,3-Sulfino-L-Alanine,1.2806251645352853,0.3254545854294372,0.37466966907974236
Trigonelline,Trigonelline,4.813529807690669,0.020012248149738326,0.03689758252608004
Glutaric acid,Glutaric acid,1.9636091240563385,0.17334057019187685,0.22089063794430036
4-Acetamidobutanoate | row_270,4-Acetamidobutanoate,9.570996258377603,0.0016618214275566827,0.004217095235520184
N-Acetyl Glucosaminitol,N-Acetyl Glucosaminitol,0.5790255813710066,0.6398528824478524,0.6756388378420276
4-Pyridoxate | row_272,4-Pyridoxate,1.113051870097364,0.38213620749214344,0.4325378655546564
Phenylacetic acid,Phenylacetic acid,0.8261267446573133,0.5044689948066753,0.5441793107122904
CDP-ethanolamine | row_274,CDP-ethanolamine,14.657991215219063,0.0002572047844806311,0.0009197019566277113
Taurocholic acid (TCA);Taurocholic acid,Taurocholic acid (TCA);Taurocholic acid,13.190384177108875,0.00041641671323560715,0.0013191187157530642
Petroselinic acid;Elaidic acid;Oleate | row_276,Petroselinic acid;Elaidic acid;Oleate,0.4198361208504212,0.742106975582352,0.7664649725927136
Sphinganine,Sphinganine,3.4966301223990532,0.04976501314103477,0.0754013606992686
Alpha-Hydroxyisobutyrate;2-Hydroxybutyric acid,Alpha-Hydroxyisobutyrate;2-Hydroxybutyric acid,0.4292272272220796,0.7357911492404006,0.7632822471241079
L-Lysine | row_279,L-Lysine,1.361664669376288,0.30135419034055855,0.35271281322644815
L-2-phosphoglyceric acid,L-2-phosphoglyceric acid,4.226909136153212,0.02955120531746279,0.049993436952840274
