Feature_ID,Metabolite,log2FC_2N_G_vs_C,FC_2N_G_vs_C,log2FC_4N_G_vs_C,FC_4N_G_vs_C,Differential_response_delta_log2FC_2N_minus_4N,p_interaction,FDR_interaction_BH
5-Hydroxyhexanoic acid,5-Hydroxyhexanoic acid,-0.01792135086040858,0.9876547023979397,0.10709839903841356,1.0770598345712046,-0.12501974989882214,0.4406663126498623,0.6645191679576198
5'-Methylthioadenosine | row_130,5'-Methylthioadenosine,-0.3811885922754037,0.7678047591601891,-0.17786503222851024,0.8840102285890026,-0.20332356004689345,0.08587665649763064,0.24715720650537598
S-Hexyl-Glutathione,S-Hexyl-Glutathione,-0.2351370238956818,0.8496043018210836,0.04429462049242261,1.0311788798641022,-0.2794316443881044,0.6082727467334231,0.79530397910852
Formyl-l-methionyl peptide | row_132,Formyl-l-methionyl peptide,-0.3433900550078697,0.7881870466386327,-0.11687680269990963,0.9221818632204388,-0.22651325230796004,0.014021123967929984,0.08377177864383484
L-Anserine | row_133,L-Anserine,-0.2813055640305997,0.8228460473319414,0.20953572677751708,1.1563160103442862,-0.4908412908081168,0.016191620130005104,0.08752244927185802
Alpha-Ketoglutaric acid;Oxoglutaric acid,Alpha-Ketoglutaric acid;Oxoglutaric acid,-0.777003081533362,0.5835778044112954,-0.36049621974620294,0.7788966295018577,-0.416506861787159,0.07167031178709732,0.22552258109006623
Glycerol,Glycerol,-0.01813891494412445,0.9875057714161024,-0.20713320507725186,0.86625687058377,0.1889942901331274,0.39410398429557403,0.6141357114213203
Glyceraldehyde 3-phosphate | row_136,Glyceraldehyde 3-phosphate,-0.23517102694640712,0.8495842776323885,0.2915213965971333,1.223930295226558,-0.5266924235435404,3.661831303642043e-05,0.0017283843753190442
Methylcysteine | row_137,Methylcysteine,-0.8764199709929628,0.5447174648393772,-0.28255869809823153,0.8221316283529245,-0.5938612728947312,0.07150157728156646,0.22552258109006623
Trans-4-Hydroxyl-L-Proline,Trans-4-Hydroxyl-L-Proline,-0.2863047105156511,0.8199997013961388,-0.058187931747077926,0.9604697408274232,-0.22811677876857317,0.07771445023493294,0.23449673620038622
NADPH | row_139,NADPH,-0.6138219366709663,0.6534632750825262,-0.7012740528505077,0.6150288310408776,0.0874521161795414,0.6461311533376309,0.8156361365756087
Adenosine 5'-diphosphate | row_140,Adenosine 5'-diphosphate,-0.7524702993123107,0.593586300288899,0.08676511950422139,1.061986273882659,-0.8392354188165321,0.025858495425041254,0.11406738168803245
L-Alanine;D-Alanine | row_141,L-Alanine;D-Alanine,-0.28695033709917084,0.8196328219460112,-0.04977540281842252,0.9660867165388524,-0.23717493428074832,0.014316597423087673,0.08439519069952475
Inosine 5'-phosphate | row_142,Inosine 5'-phosphate,0.36663303854620466,1.2893402545518942,-0.25198006739352863,0.8397430949477134,0.6186131059397333,0.5208616976580804,0.7427393392586524
