Feature_ID,Metabolite,FDR_BH_Baseline_4N_C_vs_2N_C,FDR_BH_Gem_response_2N_G_vs_2N_C,FDR_BH_Gem_response_4N_G_vs_4N_C,FDR_BH_Treated_4N_G_vs_2N_G,fold_change_Baseline_4N_C_vs_2N_C,fold_change_Gem_response_2N_G_vs_2N_C,fold_change_Gem_response_4N_G_vs_4N_C,fold_change_Treated_4N_G_vs_2N_G,log2FC_Baseline_4N_C_vs_2N_C,log2FC_Gem_response_2N_G_vs_2N_C,log2FC_Gem_response_4N_G_vs_4N_C,log2FC_Treated_4N_G_vs_2N_G,p_value_Baseline_4N_C_vs_2N_C,p_value_Gem_response_2N_G_vs_2N_C,p_value_Gem_response_4N_G_vs_4N_C,p_value_Treated_4N_G_vs_2N_G,p_ploidy,p_treatment,p_interaction_x,F_ploidy,F_treatment,F_interaction,FDR_ploidy,FDR_treatment,FDR_interaction,oneway_F,oneway_p,oneway_FDR_BH,log2FC_2N_G_vs_C,FC_2N_G_vs_C,log2FC_4N_G_vs_C,FC_4N_G_vs_C,Differential_response_delta_log2FC_2N_minus_4N,p_interaction_y,FDR_interaction_BH,p_interaction,Order_category_2fold_p05,Response_category_2fold_p05,cat_order
5-Methyltetrahydrofolic acid | row_0,5-Methyltetrahydrofolic acid,0.06573031736414058,0.10302637326640664,0.001991231543952678,0.0016857913264084802,2.6721531820912383,1.7818748081351128,3.111329086666349,4.665842898452436,1.4180027131671125,0.8333959788198193,1.6375309974413312,2.2221377317886244,0.010722954315760222,0.037106956473070184,8.437421796409653e-06,5.357387689857458e-05,2.558288574116807e-08,1.7313586753860227e-06,0.015861809143832957,161.36341862582506,74.35131050549457,7.874568344363716,9.288555438331792e-07,3.4050053949258446e-05,0.08752244927185802,81.19643249189433,3.0772692659594987e-08,1.2103925779440694e-06,0.8333959788198193,1.7818748081351128,1.6375309974413312,3.111329086666349,-0.8041350186215119,0.015861809143832957,0.08752244927185802,0.015861809143832957,4N up,4N-specific response,2
Uridine | row_1,Uridine,0.5824100120561958,0.17594009281561485,0.6114897588152653,0.03138398437745558,1.4132928477819242,0.43351331587436853,1.2890872352570715,4.2025416591442495,0.49906043684503487,-1.2058517866746854,0.366349897224989,2.0712621207447093,0.391152486910623,0.07939669442738552,0.46898155231170774,0.006915115201812245,0.003912161504589535,0.2673286092830512,0.05002311737700551,12.685151726268154,1.3532055385575943,4.746100441839401,0.012734760208043176,0.36967970435574227,0.1788705409238379,6.261485902221739,0.008390313210777775,0.017069947566754784,-1.2058517866746854,0.43351331587436853,0.366349897224989,1.2890872352570715,-1.5722016838996744,0.05002311737700551,0.1788705409238379,0.05002311737700551,No strong response,No strong response,99
Uridine | row_2,Uridine,0.4584219794974595,0.713833533778228,0.5111518085246105,0.050011802963074156,1.9153093782078523,0.7567553419541159,1.5019143247073514,3.801268959593445,0.9375774482107886,-0.40210114077972037,0.5868025180151797,1.9264811070056886,0.25387812749387045,0.5656223339683417,0.3508753939872326,0.01441018051478408,0.005938194572764816,0.833302162474805,0.2718913476041083,11.125044420625594,0.046267734596948454,1.3263127224598303,0.017301406409536996,0.8878524169031783,0.5092568097981711,4.165874959227476,0.030817852262234387,0.05176521803478516,-0.40210114077972037,0.7567553419541159,0.5868025180151797,1.5019143247073514,-0.9889036587949,0.2718913476041083,0.5092568097981711,0.2718913476041083,No strong response,No strong response,99
Guanosine | row_3,Guanosine,0.9402381523051877,0.6249050333047655,0.5767262533753896,0.2815302259636152,0.9131014210414029,0.5858258879033698,1.7291979663098966,2.6952259244642858,-0.1311529811104144,-0.7714561469336907,0.7901030446101878,1.430406210433464,0.9023895826149365,0.47000272632032153,0.4325446900315422,0.1759563912272595,0.34791016437799077,0.9890442368860404,0.263127869147961,0.9543006847163745,0.0001965670866129589,1.3785246220821739,0.4561488821844768,0.9919246191852059,0.5069238948483167,0.7776739579617221,0.5287108098865778,0.5658764223729359,-0.7714561469336907,0.5858258879033698,0.7901030446101878,1.7291979663098966,-1.5615591915438785,0.263127869147961,0.5069238948483167,0.263127869147961,No strong response,No strong response,99
5-Methyltetrahydrofolic acid | row_4,5-Methyltetrahydrofolic acid,0.056592502171419166,0.2090142361303505,0.019948310606644537,0.0036899675142086875,2.5657832315275138,1.5421210058967807,2.3482258701096117,3.9069817078735922,1.3593992904547463,0.6249159739156163,1.23157118443374,1.96605450097287,0.008475302129171917,0.10007885035054918,0.0014919145667695692,0.0002970736558049367,3.6825869865218247e-07,0.00012215959730864606,0.09384584567885032,99.4850795519954,31.0055911156492,3.3108536246713047,7.557308946253484e-06,0.000748822466619233,0.2636621378596271,44.60050809743867,8.787755099385668e-07,1.0116635138804963e-05,0.6249159739156163,1.5421210058967807,1.23157118443374,2.3482258701096117,-0.6066552105181238,0.09384584567885032,0.2636621378596271,0.09384584567885032,4N up,4N-specific response,2
Trimethyl N-Oxide,Trimethyl N-Oxide,0.0017896943865177626,0.34406143638758485,0.017151671565701368,0.0013763016727408783,4.865945423456107,0.8431415300973604,0.6447812514173651,3.7211669304230988,2.282720139069852,-0.24615327198647208,-0.6331183002777436,1.8957551107785804,2.0778810743411052e-05,0.20334143052385445,0.0012279331908046163,3.073612977599298e-05,1.0507647280678224e-10,0.0010105349934605146,0.08205953971114135,419.872004099913,18.592051525934366,3.6010129677659517,1.9489013392561854e-08,0.0039747709742780244,0.24273587811487138,147.35502286453843,9.877753628102592e-10,7.186507135342588e-08,-0.24615327198647208,0.8431415300973604,-0.6331183002777436,0.6447812514173651,0.38696502829127155,0.08205953971114135,0.24273587811487138,0.08205953971114135,No strong response,No strong response,99
Adenosine,Adenosine,0.29968425958531664,0.057297263181275336,0.29714510776449504,0.08270630093723813,0.658196154851513,0.3828133653200363,1.7781246835439082,3.057246521622185,-0.603410496551593,-1.3852868947804282,0.8303564906601757,1.612232888889011,0.12381023436257786,0.015052670835758775,0.13529913259763476,0.028386484643713086,0.07420577883967344,0.3032112262532702,0.0010411954366520866,3.8241909491661468,1.1571433995101232,18.44632532125781,0.13267093792547677,0.4077370335941411,0.015853040196767254,7.809219889978017,0.0037293510304055384,0.008714127160155514,-1.3852868947804282,0.3828133653200363,0.8303564906601757,1.7781246835439082,-2.215643385440604,0.0010411954366520866,0.015853040196767254,0.0010411954366520866,2N down,2N-specific response,1
Guanosine | row_7,Guanosine,0.9096556975801616,0.7189974636913482,0.34281054314165477,0.1824273733054237,0.8566808964023709,0.6415890066724068,2.269003600396123,3.029684140644981,-0.22317017749036694,-0.6402786727876055,1.1820588982431772,1.5991673935404158,0.8428840734439623,0.5740413602142607,0.19020319119361054,0.0908271879804546,0.3205281212142055,0.6904596179944729,0.1950613650327772,1.07376207736171,0.16646358765835112,1.88334814834951,0.4273686368412394,0.7668163286903322,0.43159723456440613,1.0411912711231925,0.40957347277449946,0.45486748035191465,-0.6402786727876055,0.6415890066724068,1.1820588982431772,2.269003600396123,-1.8223375710307828,0.1950613650327772,0.43159723456440613,0.1950613650327772,No strong response,No strong response,99
Galactarate;D-Saccharic acid,Galactarate;D-Saccharic acid,0.056592502171419166,0.022757747925201154,0.05553858431978855,0.006727261854059863,1.9328286758084752,0.4327892117357928,0.7118019371650933,3.1788943863244943,0.9507137640284178,-1.2082635577588086,-0.49045223574762886,1.6685250860395975,0.008466908271707142,0.0031734332001397154,0.007491816046327862,0.0007696443646593911,7.220066338021484e-07,5.539760847083818e-05,0.024671243852079423,87.75214523403933,36.910419723855945,6.590648393217503,1.2621745598319039e-05,0.00041504239997199396,0.11145306648843042,43.75107111703781,9.761812468772178e-07,1.0715291826187135e-05,-1.2082635577588086,0.4327892117357928,-0.49045223574762886,0.7118019371650933,-0.7178113220111797,0.024671243852079423,0.11145306648843042,0.024671243852079423,2N down,2N-specific response,1
Isovalerylcarnitine | row_9,Isovalerylcarnitine,0.041097475296688606,0.7261067724550826,0.017151671565701368,0.0012510314780061584,1.9058508460370678,1.0634642487073784,1.6137059580636417,2.891947584668542,0.9304352167805483,0.0887715339290196,0.6903777214347215,1.5320414042862502,0.003428506753679686,0.5923805810425256,0.0012133009765822374,1.3252452097522863e-05,1.3998784560244817e-08,0.0011468751973658256,0.006652925928171243,179.59478270013685,17.980046230024143,10.719488749064592,7.219384250931027e-07,0.004365524944811852,0.05064808125962623,69.43143922640867,7.480614535677798e-08,1.6049318458363276e-06,0.0887715339290196,1.0634642487073784,0.6903777214347215,1.6137059580636417,-0.6016061875057019,0.006652925928171243,0.05064808125962623,0.006652925928171243,No strong response,No strong response,99
