Feature_ID,Metabolite,FDR_BH_Baseline_4N_C_vs_2N_C,FDR_BH_Gem_response_2N_G_vs_2N_C,FDR_BH_Gem_response_4N_G_vs_4N_C,FDR_BH_Treated_4N_G_vs_2N_G,fold_change_Baseline_4N_C_vs_2N_C,fold_change_Gem_response_2N_G_vs_2N_C,fold_change_Gem_response_4N_G_vs_4N_C,fold_change_Treated_4N_G_vs_2N_G,log2FC_Baseline_4N_C_vs_2N_C,log2FC_Gem_response_2N_G_vs_2N_C,log2FC_Gem_response_4N_G_vs_4N_C,log2FC_Treated_4N_G_vs_2N_G,p_value_Baseline_4N_C_vs_2N_C,p_value_Gem_response_2N_G_vs_2N_C,p_value_Gem_response_4N_G_vs_4N_C,p_value_Treated_4N_G_vs_2N_G,p_ploidy,p_treatment,p_interaction_x,F_ploidy,F_treatment,F_interaction,FDR_ploidy,FDR_treatment,FDR_interaction,oneway_F,oneway_p,oneway_FDR_BH,log2FC_2N_G_vs_C,FC_2N_G_vs_C,log2FC_4N_G_vs_C,FC_4N_G_vs_C,Differential_response_delta_log2FC_2N_minus_4N,p_interaction_y,FDR_interaction_BH,p_interaction,Order_category_2fold_p05,Response_category_2fold_p05,cat_order
Phenol sulfate,Phenol sulfate,0.20646628500995065,0.06494812781143136,0.09135500425386608,0.00458513211011166,1.2397931508667523,0.6941097516608018,1.5687412907986302,2.802027637791282,0.3100994390703562,-0.5267642971299313,0.6496074496568731,1.4864711858571606,0.06867628548000478,0.01926427519830591,0.01819358135564282,0.00042742756958668015,1.0569887266616425e-05,0.6304367296027913,0.0004904816039920356,52.13104052695692,0.2437304055270657,22.35100086898705,9.238864425635097e-05,0.7240051979866605,0.009190981825086826,24.90859060049039,1.9320572592481277e-05,0.00012665708699515502,-0.5267642971299313,0.6941097516608018,0.6496074496568731,1.5687412907986302,-1.1763717467868045,0.0004904816039920356,0.009190981825086826,0.0004904816039920356,Interaction only,Differential response only,7
Isovalerylcarnitine | row_11,Isovalerylcarnitine,0.038210325594707224,0.6784412233408724,0.04168767454810064,0.0022488424748671105,1.7800595730186566,1.0752536918716702,1.6600421886149204,2.7481644674152887,0.8319255244840349,0.10467708476854831,0.7312199069529832,1.4584683466684698,0.002603027959303677,0.5223421043128883,0.004807813718421443,8.576094183815252e-05,2.9792011155816405e-07,0.0029689594433464452,0.01657498960686496,103.4601463718841,13.780287146006952,7.742019496705768,6.487333757908465e-06,0.0094050258876478,0.08752244927185802,41.66081767153239,1.2746650155319965e-06,1.3098572151992633e-05,0.10467708476854831,1.0752536918716702,0.7312199069529832,1.6600421886149204,-0.6265428221844349,0.01657498960686496,0.08752244927185802,0.01657498960686496,No strong response,No strong response,99
Propionylcarnitine | row_12,Propionylcarnitine,0.0362243881180499,0.06450024623813706,0.5295132920559883,0.006325408851282548,1.9709259499631515,0.6681279253612289,0.9091061971360251,2.681793302141902,0.9788735736275633,-0.5818037352798306,-0.13747926236837316,1.4231980465390208,0.0019954112098925793,0.01831151058455586,0.38142906631151696,0.0006926513634893631,4.6913246135391854e-08,0.0036251262467301795,0.04595989072012337,144.7866751253218,12.982438679499436,4.954013200552164,1.4762034783936637e-06,0.010968330695234901,0.16974329838571633,54.241042335124625,2.9858034172206894e-07,4.546126493316662e-06,-0.5818037352798306,0.6681279253612289,-0.13747926236837316,0.9091061971360251,-0.4443244729114575,0.04595989072012337,0.16974329838571633,0.04595989072012337,No strong response,No strong response,99
Myristoyl-L-carnitine | row_13,Myristoyl-L-carnitine,0.3542579877372343,0.03181887946944408,0.5620433895987601,0.02017507210813607,1.3115430156852408,0.4473771065476763,0.8612247981920422,2.5247902775358737,0.3912651255579682,-1.1604366630660863,-0.21553823368039815,1.3361635549436564,0.16964268659319764,0.006020452124321655,0.4191510024126347,0.0036495582076696,0.0002706366978412664,0.0016205446416117345,0.016688602615396658,25.8067426530709,16.373968879053354,7.721526982397736,0.001205099258312054,0.0057081870958264076,0.08752244927185802,16.634079504840784,0.00014210252425872217,0.0005732683029924518,-1.1604366630660863,0.4473771065476763,-0.21553823368039815,0.8612247981920422,-0.9448984293856881,0.016688602615396658,0.08752244927185802,0.016688602615396658,2N down,2N-specific response,1
N-Alpha-Acetyl-L-Asparagine,N-Alpha-Acetyl-L-Asparagine,0.0499652326598555,0.011762888989622718,0.32707621850958,0.0012833726420506022,1.5824773409426267,0.5591717383979593,0.902370650637994,2.5537433487920573,0.6621848422484078,-0.8386366488797776,-0.14820794965464046,1.352613541473545,0.0061397955387110575,0.0009470122491645408,0.17116064824547939,2.000723471381819e-05,1.8354366739655154e-08,3.361195469361305e-05,0.0007479462391036135,171.1766686126923,41.06567059327505,20.10106432971159,7.219384250931027e-07,0.0002783473360013332,0.012990094959935536,77.44780117855993,4.0271528128376175e-08,1.2672107517729036e-06,-0.8386366488797776,0.5591717383979593,-0.14820794965464046,0.902370650637994,-0.6904286992251372,0.0007479462391036135,0.012990094959935536,0.0007479462391036135,No strong response,No strong response,99
dAMP | row_15,dAMP,0.05349928066570836,0.005183241516626907,0.017151671565701368,0.08965241550760972,0.42285686874071965,0.056803238854982084,0.3146272918709348,2.3421606609540566,-1.241758681428287,-4.137882996896829,-1.66828427429558,1.2278400411729624,0.007295943274800714,0.00014843961746259092,0.0011229487750867902,0.031910181790844136,0.9776726054821095,5.2078138915021644e-08,0.00027508089214644697,0.0008165802146464603,142.09680710298704,25.707391791862822,0.9839263748135516,2.280122498039076e-06,0.006491909054656149,55.93500515835492,2.516150279920766e-07,3.958743107075338e-06,-4.137882996896829,0.056803238854982084,-1.66828427429558,0.3146272918709348,-2.4695987226012495,0.00027508089214644697,0.006491909054656149,0.00027508089214644697,Common down,Common gem response,5
Xanthosine 5'-monophosphate | row_16,Xanthosine 5'-monophosphate,0.2549090560253539,0.04868553591730684,0.37082177857003684,0.03537993350890787,1.5183319856606408,0.4456690412810981,0.7245110387059556,2.468307605278847,0.6024872727694586,-1.1659553482996046,-0.4649204239250082,1.303522197144055,0.09674873642402003,0.011552500048174505,0.22076466054699226,0.00839523845974085,0.0009989517361466847,0.0030635043148098035,0.13820088513345602,18.64845763834295,13.65320377848101,2.5227378246480643,0.003772041755689881,0.009570531529420369,0.34882790258284085,11.608133080490747,0.0007337741768841303,0.0021379099474648734,-1.1659553482996046,0.4456690412810981,-0.4649204239250082,0.7245110387059556,-0.7010349243745964,0.13820088513345602,0.34882790258284085,0.13820088513345602,2N down,2N-specific response,1
L-Sorbose;Myo-inositol;Mannose;Allose;D-Psicose;chiro-Inositol,L-Sorbose;Myo-inositol;Mannose;Allose;D-Psicose;chiro-Inositol,0.3163587846798503,0.008769507209324566,0.8840862716750022,0.0013763016727408783,1.1915163701796887,0.4863903592257727,0.9747824259369731,2.3879363474970576,0.2527987727743586,-1.039813461572578,-0.03684785351232733,1.2557643808346093,0.14236666860897804,0.0005684538963898009,0.8166559628184342,2.8633857151418215e-05,1.3225692558338324e-06,3.8649902727335885e-05,7.458021317076676e-05,78.27153759101094,39.86897691715003,34.59783760500881,2.0716188226355837e-05,0.0003040459014550423,0.002514418615471565,50.91278403772326,4.2419922253664935e-07,5.6058744844261475e-06,-1.039813461572578,0.4863903592257727,-0.03684785351232733,0.9747824259369731,-1.0029656080602507,7.458021317076676e-05,0.002514418615471565,7.458021317076676e-05,2N down,2N-specific response,1
Lauroylcarnitine;Lauroyl-L-carnitine,Lauroylcarnitine;Lauroyl-L-carnitine,0.2132861321723539,0.030974599089099136,0.1694895200846056,0.03501499925855907,1.5387493236285283,0.40716328783342026,0.6160879394879796,2.3283162517605778,0.6217582225599472,-1.2963206092310777,-0.6987918010967853,1.2192870306942396,0.07184850638856836,0.005565989590609672,0.055350231790045876,0.008011284130411444,0.0006281750562712413,0.00032663095140008356,0.1626166654328231,21.0121712027385,24.676112612497008,2.2133989525975517,0.0025341762953848363,0.001640104351711058,0.39361572350919233,15.967227589277725,0.0001724853467864716,0.0006673203580591362,-1.2963206092310777,0.40716328783342026,-0.6987918010967853,0.6160879394879796,-0.5975288081342924,0.1626166654328231,0.39361572350919233,0.1626166654328231,2N down,2N-specific response,1
Inosine | row_19,Inosine,0.8183236719760745,0.8442116694194589,0.5189733623245696,0.1310467488648412,1.2809585737278364,0.8191294987900627,1.4154016278355048,2.213411741516226,0.3572238195953972,-0.28783654473855336,0.5012114836374373,1.1462718479713878,0.6883206492296094,0.7389275621661372,0.36504058536389217,0.055250642000219057,0.1389347673549998,0.8258013137666861,0.421732937536646,2.512460404865039,0.05060363141357678,0.6919930652041637,0.21859070063853303,0.8838508392242083,0.6421224081203125,1.0850190338275894,0.3926024819849971,0.43956791300479836,-0.28783654473855336,0.8191294987900627,0.5012114836374373,1.4154016278355048,-0.7890480283759906,0.421732937536646,0.6421224081203125,0.421732937536646,No strong response,No strong response,99
Decanoyl-L-carnitine | row_20,Decanoyl-L-carnitine,0.15371809669754785,0.049243912436256226,0.2536351438520672,0.05892935293245004,1.5946468753656375,0.4580191176506294,0.6520079491467694,2.2700415741456865,0.6732369835123748,-1.1265202774294742,-0.6170385412826747,1.1827187196591744,0.045268676781693114,0.012206647786105886,0.10782144028684115,0.017354195037310498,0.0012065401862373217,0.0019048147408660917,0.2701141621679888,17.738477124091727,15.655045162346525,1.336713577386144,0.004413402463960562,0.006468147897041693,0.5092568097981711,11.576745287941517,0.0007424790655530701,0.0021500007296996874,-1.1265202774294742,0.4580191176506294,-0.6170385412826747,0.6520079491467694,-0.5094817361467996,0.2701141621679888,0.5092568097981711,0.2701141621679888,2N down,2N-specific response,1
Inosine | row_21,Inosine,0.7746806089937355,0.9111211360798606,0.5490383813998551,0.17180641590140547,1.3272580527524604,0.8971399110906995,1.3997128000097028,2.070780780552916,0.4084488946210314,-0.15659510049368208,0.4851308382365218,1.0501748333512353,0.62801326124831,0.8435591874298709,0.40217259369904573,0.08481121801912601,0.13493727835800565,0.7243516930053012,0.4941471825107705,2.5692848881831387,0.13034397203341935,0.4973073776930926,0.21444577570699888,0.8000949271636558,0.7192601134096207,1.065645412636548,0.4000116790593451,0.44634872935227154,-0.15659510049368208,0.8971399110906995,0.4851308382365218,1.3997128000097028,-0.6417259387302039,0.4941471825107705,0.7192601134096207,0.4941471825107705,No strong response,No strong response,99
Beta-Alanine | row_22,Beta-Alanine,0.4123192035409177,0.005194455085610017,0.10987922454689886,0.005197574788843312,1.110966889632616,0.39939337026191246,0.8248612044980547,2.2944634412405702,0.15181582044019848,-1.3241177099513592,-0.27777671059326536,1.1981568197982924,0.21576873575128536,0.0001969726410637195,0.025458721824018173,0.0005175551166856688,5.379827032608728e-06,9.112102427442123e-07,6.348535565356025e-05,59.652096112817155,83.9930888620052,35.83622552850924,5.9529427737342994e-05,2.150456172876341e-05,0.002514418615471565,59.82713683444434,1.728184670814834e-07,2.913225587945006e-06,-1.3241177099513592,0.39939337026191246,-0.27777671059326536,0.8248612044980547,-1.0463409993580939,6.348535565356025e-05,0.002514418615471565,6.348535565356025e-05,2N down,2N-specific response,1
Myristoyl-L-carnitine | row_23,Myristoyl-L-carnitine,0.3027420689553488,0.08260896382227328,0.5548345401356796,0.039267277465754445,1.4091394248270532,0.5545461679563716,0.8512433238046239,2.1630670212985548,0.4948143636384259,-0.8506205199665224,-0.2323565165958179,1.1130783670091304,0.1257149269390855,0.027653000601523682,0.4125994143805583,0.009900012750899955,0.0008525181915316558,0.011715843132703904,0.11581201421144734,19.43531160164531,8.816898888247898,2.873593203790665,0.003325525507462327,0.030551811926167086,0.30368483726557305,10.375267897894712,0.0011875315683465106,0.0031489601138177136,-0.8506205199665224,0.5545461679563716,-0.2323565165958179,0.8512433238046239,-0.6182640033707045,0.11581201421144734,0.30368483726557305,0.11581201421144734,No strong response,No strong response,99
Beta-Alanine | row_24,Beta-Alanine,0.8471704670817759,0.0021481822668074084,0.09135500425386608,0.0016857913264084802,0.9788975719930503,0.35461292631690766,0.8006632251260074,2.210205068383612,-0.0307701851182145,-1.4956829687088415,-0.32073255089032315,1.144180232700304,0.7466587167500398,2.7307401696704347e-05,0.01718157472938733,4.8143115760753e-05,1.3165688379820608e-06,6.002971888362091e-09,7.44943154114413e-07,78.33924948825252,208.49687118118774,87.23850497750296,2.0716188226355837e-05,5.666805462613814e-07,0.0003516131687420029,124.69154188231576,2.608860177451383e-09,1.3682022263967252e-07,-1.4956829687088415,0.35461292631690766,-0.32073255089032315,0.8006632251260074,-1.1749504178185184,7.44943154114413e-07,0.0003516131687420029,7.44943154114413e-07,2N down,2N-specific response,1
Arachidonic acid,Arachidonic acid,0.4314210079525798,0.2582259731363013,0.11501107551303243,0.225681882435029,0.7855238155191582,1.3877888159345537,3.38157490363286,1.9140575210477715,-0.3482730790616664,0.4727880453049629,1.7576953105559916,0.9366341861893623,0.23274818611832707,0.13567805368178545,0.02882691748666969,0.12431629117183801,0.275517989237699,0.0009763947435012898,0.02816523965272845,1.3053743032044103,18.760530710328112,6.2257362154725016,0.3791384574932768,0.0038727589826269646,0.11869636710792704,8.763880409668351,0.002374892732804628,0.00586884486850149,0.4727880453049629,1.3877888159345537,1.7576953105559916,3.38157490363286,-1.2849072652510287,0.02816523965272845,0.11869636710792704,0.02816523965272845,4N up,4N-specific response,2
Hexanoyl-L-carnitine,Hexanoyl-L-carnitine,0.14242685187349707,0.07671513428388617,0.9178535692472215,0.00789905751211561,1.4226003420377495,0.6731502783065778,1.016363906334128,2.147929945781358,0.5085304155229018,-0.5709994777704779,0.023417047645427402,1.102946940938807,0.03985362495018164,0.024704873752437916,0.870552253756417,0.0009204410236575392,6.726041705910603e-06,0.02468010106945647,0.016448332051513664,57.070485455356774,6.589647166107597,7.765061530653309,6.552914553885857e-05,0.057668354974175516,0.08752244927185802,23.808398050706238,2.432006473913162e-05,0.00014716757124192466,-0.5709994777704779,0.6731502783065778,0.023417047645427402,1.016363906334128,-0.5944165254159053,0.016448332051513664,0.08752244927185802,0.016448332051513664,No strong response,No strong response,99
Decanoyl-L-carnitine | row_27,Decanoyl-L-carnitine,0.13118901661832116,0.08252681234674758,0.17657850132869954,0.013704587482043453,1.6876448592761633,0.5679403573016943,0.7188969229723887,2.136214975403341,0.7550113414463375,-0.8161886629444091,-0.47614316619378627,1.0950568381969603,0.03502079680912811,0.027100965918953127,0.06135354707183629,0.0021486005798118974,0.0001030911813070675,0.001878719430753585,0.31745794855335724,32.20766437876294,15.715631846583982,1.088072466183672,0.0005289025823579985,0.006425765009534001,0.5549635248784616,16.33712289717694,0.00015478932460076582,0.0006139542958954746,-0.8161886629444091,0.5679403573016943,-0.47614316619378627,0.7188969229723887,-0.3400454967506228,0.31745794855335724,0.5549635248784616,0.31745794855335724,No strong response,No strong response,99
Glucose 6-phosphate | row_28,Glucose 6-phosphate,0.11519267388737771,0.9187065442840572,0.507289140199166,0.010847824888752546,1.8168065158609024,0.9673573700411626,1.1359453152964818,2.1334337385618904,0.8614047853006319,-0.047879133065276136,0.18389338479900275,1.0931773031649108,0.028554116196659304,0.8583677670111636,0.34340128146375243,0.001516856870037432,3.510804900963611e-05,0.6650230501706136,0.464003224916651,40.68951858055621,0.19703508044056126,0.5721351099841797,0.00023339435397955275,0.7491429109320517,0.6887091891844632,13.819562923660433,0.00033710639200613236,0.0011205226551189752,-0.047879133065276136,0.9673573700411626,0.18389338479900275,1.1359453152964818,-0.23177251786427888,0.464003224916651,0.6887091891844632,0.464003224916651,No strong response,No strong response,99
N-Acetyl-L-Methionine | row_29,N-Acetyl-L-Methionine,0.04513630765402644,0.014791929950784766,0.028740093929804894,0.021452510930455353,1.4682551861991888,0.3461302001090579,0.5142944907823567,2.1815939582473476,0.5541027337594926,-1.5306132717117116,-0.9593333955301517,1.1253826099410524,0.00392073858859128,0.0015042640627916711,0.0026028268834893497,0.003999620681949303,2.2390728651704553e-05,3.9346048715560884e-07,0.04209917222282284,44.70982814509017,98.27219440722283,5.173070723639384,0.00016012763520612954,1.1607084371090461e-05,0.16024846200945467,49.38503109198434,5.019715528045681e-07,6.0641416270797e-06,-1.5306132717117116,0.3461302001090579,-0.9593333955301517,0.5142944907823567,-0.5712798761815598,0.04209917222282284,0.16024846200945467,0.04209917222282284,2N down,2N-specific response,1
2-Oxo-4-methylthiobutanoic acid,2-Oxo-4-methylthiobutanoic acid,0.10283648253843303,0.019332582206577898,0.12971779712836898,0.0032508590850403403,1.4126566927035564,0.5266506333579721,0.7924392390448477,2.125592420652639,0.4984109009781328,-0.9250818629397415,-0.335627775268474,1.0878649886494003,0.024214265363213597,0.002176581745183327,0.035177707695828876,0.00020260761477120375,2.278394381679214e-06,2.2777138354449956e-05,0.008841771687592358,70.53222388423077,44.55128930293082,9.739352804650768,2.987228189312747e-05,0.00022397519381875787,0.06048284400787816,41.60762199727096,1.2835506765040152e-06,1.3098572151992633e-05,-0.9250818629397415,0.5266506333579721,-0.335627775268474,0.7924392390448477,-0.5894540876712675,0.008841771687592358,0.06048284400787816,0.008841771687592358,No strong response,No strong response,99
Urocanate,Urocanate,0.8958357667568791,0.7719059805598172,0.4903214803198014,0.13145514705854952,1.1358414034614421,0.7896502440741275,1.3955042038449077,2.0073082549224734,0.18376140666217466,-0.3407143059917068,0.48078647041405986,1.0052621830679414,0.8123256529066616,0.6544455433174046,0.3271702726001391,0.055701333499385386,0.17865795287897662,0.8691638507153534,0.3431491847869571,2.040593609865742,0.028319087768175176,0.974073070591314,0.2668561827812562,0.9136867205738236,0.5743489901398715,1.0143285894084075,0.420352105520443,0.4635658733776848,-0.3407143059917068,0.7896502440741275,0.48078647041405986,1.3955042038449077,-0.8215007764057667,0.3431491847869571,0.5743489901398715,0.3431491847869571,No strong response,No strong response,99
Glucose 6-phosphate | row_32,Glucose 6-phosphate,0.07611925933428675,0.8442116694194589,0.5305741045396716,0.015101695845199908,1.8989721047290906,1.0542432857561008,1.1520023225721718,2.075062089277355,0.9252187129310165,0.07620783343850945,0.20414362542603826,1.0531545049185453,0.013727202392690827,0.7404737947874067,0.3847213740336642,0.0025276143469720185,2.8623825504160997e-05,0.373905578638255,0.6808666611777223,42.477180697336784,0.8529918396823849,0.1776328810031763,0.00019580355997049262,0.4902317586590455,0.8285032041973338,14.502601806007593,0.00027018388031310617,0.000931002145000192,0.07620783343850945,1.0542432857561008,0.20414362542603826,1.1520023225721718,-0.1279357919875288,0.6808666611777223,0.8285032041973338,0.6808666611777223,No strong response,No strong response,99
Phosphocholine | row_33,Phosphocholine,0.0017896943865177626,0.24906239863679766,0.5092717305585976,0.0024278838883901132,2.025380892500287,0.9147156401187371,0.9387220098253746,2.078536256166978,1.0181932462923413,-0.12860477591777197,-0.09123010891893557,1.0555679132911777,2.275035237098851e-05,0.12716957218531405,0.3485058664627691,9.773261415129692e-05,3.447179507016614e-10,0.07341187849411013,0.7444998066843908,342.4504508332601,3.8483404931934593,0.11123332868638598,3.254137454623684e-08,0.1402850471628339,0.8549973449027553,115.47000821837985,4.071346631131341e-09,1.921675609893993e-07,-0.12860477591777197,0.9147156401187371,-0.09123010891893557,0.9387220098253746,-0.0373746669988364,0.7444998066843908,0.8549973449027553,0.7444998066843908,No strong response,No strong response,99
