"tgi_measure","iteration","n","pearson_r","pearson_p","spearman_rho","spearman_p"
"TGI_percent_Day_17",1,8,1,2.73691106313438e-47,1,2.73691106313438e-47
"TGI_percent_Day_17",2,8,0.83027392001885,0.010720090653573,0.316455696202532,0.445069441835733
"TGI_percent_Day_17",3,8,0.67918692646388,0.0639590029323877,-0.037037037037037,0.930619036000442
"TGI_percent_Day_17",4,8,0.640439517872607,0.0871276983716317,0.121951219512195,0.773598436910598
"TGI_percent_Day_17",5,8,0.64634642817419,0.0833238248227199,-0.0632911392405063,0.881645645130732
"TGI_percent_Day_17",6,8,0.787091478288757,0.0204391631773465,0.424657534246575,0.294313618526343
"TGI_percent_Day_17",7,8,0.737525302205484,0.0367746130900016,0.634146341463415,0.0912890821441658
"TGI_percent_Day_17",8,8,0.822663734088598,0.0121536637812718,0.746835443037975,0.033252559177418
"TGI_percent_Day_17",9,8,0.488048202248573,0.219836985575556,0.392405063291139,0.336280494675457
"TGI_percent_Day_17",10,8,0.941775357877729,0.000472171565816914,1,0
"TGI_percent_Day_17",11,8,0.840316450860355,0.00899918837306411,0.62962962962963,0.0943451651056068
"TGI_percent_Day_17",12,8,0.879994408458962,0.00394106481732812,0.848101265822785,0.00779410868380385
"TGI_percent_Day_17",13,8,0.797240993111895,0.0177986838276544,0.414634146341463,0.307070866237017
"TGI_percent_Day_17",14,8,0.739147467890843,0.036145322290518,0.63855421686747,0.0883625688449134
"TGI_percent_Day_17",15,8,0.679975799764976,0.0635306061295843,0.135802469135802,0.74848368865351
"TGI_percent_Day_17",16,8,0.887093504832638,0.00330047260386418,0.62962962962963,0.0943451651056068
"TGI_percent_Day_17",17,8,0.987468197450903,4.87404791002284e-06,1,0
"TGI_percent_Day_17",18,8,0.76034539413716,0.0285223935459084,0.560975609756098,0.148007079914522
"TGI_percent_Day_17",19,8,0.997383912339762,4.46729241445144e-08,1,3.42113882891805e-48
"TGI_percent_Day_17",20,8,0.757655267885869,0.0294288371560265,0.634146341463415,0.0912890821441658
"TGI_percent_Day_17",21,8,0.22540203208262,0.591467748083836,-0.518987341772152,0.187514534406167
"TGI_percent_Day_17",22,8,0.00130115270396538,0.997560341433625,-0.432432432432432,0.284598569995075
"TGI_percent_Day_17",23,8,0.927910704227088,0.000886687315584905,0.842105263157895,0.0087124949365918
"TGI_percent_Day_17",24,8,0.152744125994065,0.718028132572386,-0.297297297297297,0.47454266274421
"TGI_percent_Day_17",25,8,0.788634284916609,0.020023046092817,0.804878048780488,0.0159601987985088
"TGI_percent_Day_17",26,8,0.844112029948258,0.00839786356945309,0.625,0.0975379943847654
"TGI_percent_Day_17",27,8,0.706584639325228,0.0500703783294857,0.102564102564103,0.809036692029818
"TGI_percent_Day_17",28,8,0.914504578789737,0.00146384978513071,1,0
"TGI_percent_Day_17",29,8,0.947265725454874,0.000352275108045238,1,0
"TGI_percent_Day_17",30,8,0.632976120534359,0.0920752999157432,0.301204819277108,0.468469529828104
"TGI_percent_Day_17",31,8,0.630819998252591,0.093534104469286,0.45679012345679,0.255201343606103
"TGI_percent_Day_17",32,8,0.849700187715399,0.00756012627205034,0.804878048780488,0.0159601987985088
"TGI_percent_Day_17",33,8,0.803573546944657,0.0162653672240976,0.63855421686747,0.0883625688449134
"TGI_percent_Day_17",34,8,0.591821240355787,0.122217661733472,0.275,0.509781307373047
"TGI_percent_Day_17",35,8,0.920435568679118,0.00118526101286335,0.746835443037975,0.033252559177418
"TGI_percent_Day_17",36,8,0.672404111559301,0.0677130134853395,-0.0632911392405063,0.881645645130732
"TGI_percent_Day_17",37,8,0.907936161503817,0.00181855852775789,1,0
"TGI_percent_Day_17",38,8,0.738871083511848,0.0362520724972877,0.421686746987952,0.298067492674002
"TGI_percent_Day_17",39,8,0.695762634765863,0.0553143419436166,0.463414634146342,0.247482670349255
"TGI_percent_Day_17",40,8,0.77661384729635,0.023407762866558,0.75609756097561,0.0299617108971145
"TGI_percent_Day_17",41,8,0.879582960353524,0.00398045839443459,0.794871794871795,0.0183947102705782
"TGI_percent_Day_17",42,8,0.509699196643886,0.196934197496895,-0.0632911392405063,0.881645645130732
"TGI_percent_Day_17",43,8,0.698863586664023,0.0537796943477863,0.414634146341463,0.307070866237017
"TGI_percent_Day_17",44,8,0.735816806231221,0.0374445720487031,0.7,0.05322375
"TGI_percent_Day_17",45,8,0.145048787042813,0.731824076425651,-0.538461538461539,0.16856229446825
"TGI_percent_Day_17",46,8,0.946493516582715,0.000367761256064952,1,3.42113882891805e-48
"TGI_percent_Day_17",47,8,0.76618383216991,0.0266148701237553,0.63855421686747,0.0883625688449134
"TGI_percent_Day_17",48,8,0.803518313512736,0.0162783683144512,0.804878048780488,0.0159601987985088
"TGI_percent_Day_17",49,8,0.705835254692927,0.0504234356730504,0.414634146341463,0.307070866237017
"TGI_percent_Day_17",50,8,0.646545846155488,0.08319712622214,0.421686746987952,0.298067492674002
"TGI_percent_Day_17",51,8,0.875992946992926,0.00433497917555774,0.743589743589744,0.0344558337392387
"TGI_percent_Day_17",52,8,0.0366772827611036,0.931291743842059,-0.189873417721519,0.652451422291919
"TGI_percent_Day_17",53,8,0.837934322685382,0.00939018168390925,0.620253164556962,0.100875222859378
"TGI_percent_Day_17",54,8,0.770876622567747,0.0251403411320553,0.8,0.01712
"TGI_percent_Day_17",55,8,0.923351219663687,0.00106206029407686,0.589041095890411,0.124429494317035
"TGI_percent_Day_17",56,8,0.176071795415857,0.676624989651686,0.215189873417721,0.608801860963225
"TGI_percent_Day_17",57,8,0.607943099579042,0.10983049859441,0.232876712328767,0.578885910188631
"TGI_percent_Day_17",58,8,0.255576166270411,0.54125330423669,-0.292682926829268,0.48175433009408
"TGI_percent_Day_17",59,8,0.765395806124073,0.0268675854607576,0.468354430379747,0.241804882823014
"TGI_percent_Day_17",60,8,0.682890386568021,0.0619626294202406,0.634146341463415,0.0912890821441658
"TGI_percent_Day_17",61,8,0.60249695979655,0.11393131139952,0.620253164556962,0.100875222859378
"TGI_percent_Day_17",62,8,0.785188796058982,0.0209597086760545,0.620253164556962,0.100875222859378
"TGI_percent_Day_17",63,8,0.86168103308131,0.0059485072388716,1,3.42113882891805e-48
"TGI_percent_Day_17",64,8,0.936936603225933,0.000597724730417643,0.726027397260274,0.0414264515948147
"TGI_percent_Day_17",65,8,0.66613722706013,0.0712944323582162,0.62962962962963,0.0943451651056068
"TGI_percent_Day_17",66,8,0.940497772396544,0.000503447451620989,1,0
"TGI_percent_Day_17",67,8,0.830731824041526,0.0106374409279513,0.848101265822785,0.00779410868380385
"TGI_percent_Day_17",68,8,0.769882312486643,0.0254484311448921,0.634146341463415,0.0912890821441658
"TGI_percent_Day_17",69,8,0.76034539413716,0.0285223935459084,0.560975609756098,0.148007079914522
"TGI_percent_Day_17",70,8,0.592990702006395,0.121293920158833,0.301204819277108,0.468469529828104
"TGI_percent_Day_17",71,8,0.87745406923244,0.00418833908652829,0.753086419753086,0.0310085131644479
"TGI_percent_Day_17",72,8,0.702111732750453,0.0521998488177159,0.384615384615385,0.346809662449871
"TGI_percent_Day_17",73,8,0.421775345366913,0.29795520768654,-0.230769230769231,0.58242412326653
"TGI_percent_Day_17",74,8,0.234536829482561,0.576103932161846,0.205128205128205,0.626037544539464
"TGI_percent_Day_17",75,8,0.844112029948258,0.00839786356945303,0.625,0.0975379943847654
"TGI_percent_Day_17",76,8,0.751211934219171,0.0316713508529495,0.62962962962963,0.0943451651056068
"TGI_percent_Day_17",77,8,0.710398345089972,0.0482966842675935,0.414634146341463,0.307070866237017
"TGI_percent_Day_17",78,8,0.811279315016535,0.0145148526511707,0.85,0.00751675781249998
"TGI_percent_Day_17",79,8,0.73539725593986,0.0376102207143032,0.62962962962963,0.0943451651056068
"TGI_percent_Day_17",80,8,0.814965012511258,0.013721440019984,0.424657534246575,0.294313618526343
"TGI_percent_Day_17",81,8,0.852779029198293,0.00712230272611101,0.848101265822785,0.00779410868380385
"TGI_percent_Day_17",82,8,0.847030879771274,0.00795329515494115,0.725,0.041858585205078
"TGI_percent_Day_17",83,8,0.736232623079598,0.0372808369691869,0.62962962962963,0.0943451651056068
"TGI_percent_Day_17",84,8,0.909141001203281,0.00174972288275297,1,0
"TGI_percent_Day_17",85,8,0.494226238798586,0.213167581776702,0.113924050632911,0.788233439851227
"TGI_percent_Day_17",86,8,0.787884005499509,0.0202247409307913,0.469879518072289,0.240065454942807
"TGI_percent_Day_17",87,8,0.554567191496493,0.1537094159581,0.253012048192771,0.54545933813052
"TGI_percent_Day_17",88,8,0.772047188701061,0.0247806095722151,0.4,0.32616
"TGI_percent_Day_17",89,8,0.764209212808807,0.0272509052216372,0.634146341463415,0.0912890821441658
"TGI_percent_Day_17",90,8,0.566360671985053,0.143306896436179,0.146341463414634,0.729502115730517
"TGI_percent_Day_17",91,8,0.845479524280999,0.00818766374446254,0.848101265822785,0.00779410868380385
"TGI_percent_Day_17",92,8,0.803573546944656,0.0162653672240976,0.63855421686747,0.0883625688449134
"TGI_percent_Day_17",93,8,0.728218302839401,0.0405140066885594,0.542168674698795,0.165077483817168
"TGI_percent_Day_17",94,8,-0.63215311121137,0.0926305757411553,-0.28,0.5017946112
"TGI_percent_Day_17",95,8,0.751177449972717,0.0316836255323977,0.421686746987952,0.298067492674002
"TGI_percent_Day_17",96,8,0.718658819634718,0.0445861883946147,0.566265060240964,0.143389618739712
"TGI_percent_Day_17",97,8,0.849700187715399,0.00756012627205037,0.804878048780488,0.0159601987985088
"TGI_percent_Day_17",98,8,0.740944494692292,0.0354559226032558,0.525,0.181547481689453
"TGI_percent_Day_17",99,8,0.50350393858397,0.203352968431674,-0.024390243902439,0.9542864261534
"TGI_percent_Day_17",100,8,0.995098204735892,2.93364476726039e-07,1,2.73691106313438e-47
"TGI_percent_Day_17",101,8,0.639823505426177,0.0875300777931479,0.24390243902439,0.560495956966516
"TGI_percent_Day_17",102,8,0.689302680569893,0.058594597707928,0.45679012345679,0.255201343606103
"TGI_percent_Day_17",103,8,0.812714438894089,0.0142025778534641,0.407407407407407,0.316429397723464
"TGI_percent_Day_17",104,8,0.867146748855748,0.00529356140364028,0.802469135802469,0.016526566994929
"TGI_percent_Day_17",105,8,0.738985918442211,0.0362076955255123,0.341463414634146,0.407782409074504
"TGI_percent_Day_17",106,8,0.656671173027568,0.0769112509142401,0.113924050632911,0.788233439851227
"TGI_percent_Day_17",107,8,0.720204105582878,0.0439118805486546,0.542168674698795,0.165077483817168
"TGI_percent_Day_17",108,8,0.642540872649513,0.0857631795481085,0.62962962962963,0.0943451651056068
"TGI_percent_Day_17",109,8,0.755861343983118,0.0300430321530809,0.802469135802469,0.016526566994929
"TGI_percent_Day_17",110,8,0.698863586664023,0.0537796943477863,0.414634146341463,0.307070866237017
"TGI_percent_Day_17",111,8,-0.491835361627705,0.215735960278796,-0.315068493150685,0.447177633966065
"TGI_percent_Day_17",112,8,0.908072188683611,0.00181070034893461,1,0
"TGI_percent_Day_17",113,8,0.774045206374692,0.0241739891287327,0.79746835443038,0.0177421304392543
"TGI_percent_Day_17",114,8,0.789846939336924,0.0196997128723197,0.560975609756098,0.148007079914522
"TGI_percent_Day_17",115,8,0.575272426138488,0.135712363747296,0.726027397260274,0.0414264515948147
"TGI_percent_Day_17",116,8,0.509699196643886,0.196934197496895,-0.0632911392405063,0.881645645130732
"TGI_percent_Day_17",117,8,0.804170630472506,0.0161252386057952,0.525,0.181547481689453
"TGI_percent_Day_17",118,8,0.719871177947813,0.0440566331328521,-0.105263157894737,0.804084671089484
"TGI_percent_Day_17",119,8,0.568638212530579,0.141344189328324,0.102564102564103,0.809036692029818
"TGI_percent_Day_17",120,8,0.744096919831938,0.0342660816802655,0.634146341463415,0.0912890821441658
"TGI_percent_Day_17",121,8,0.605245405751221,0.111851133662903,0.135802469135802,0.74848368865351
"TGI_percent_Day_17",122,8,0.759875081752522,0.028679607437635,0.475,0.234272098388672
"TGI_percent_Day_17",123,8,0.886419466618163,0.00335816853016042,0.746835443037975,0.033252559177418
"TGI_percent_Day_17",124,8,0.793929521690283,0.0186351802154816,0.634146341463415,0.0912890821441658
"TGI_percent_Day_17",125,8,0.640065352755098,0.0873719748685946,0.307692307692308,0.458455990282607
"TGI_percent_Day_17",126,8,0.541561454047635,0.165645587175802,0.620253164556962,0.100875222859378
"TGI_percent_Day_17",127,8,0.817093188474172,0.0132760344881655,0.634146341463415,0.0912890821441658
"TGI_percent_Day_17",128,8,0.753039838307518,0.0310248806221513,0.407407407407407,0.316429397723464
"TGI_percent_Day_17",129,8,0.838363213346625,0.0093190044080134,0.79746835443038,0.0177421304392543
"TGI_percent_Day_17",130,8,0.912336614770471,0.0015754132614442,0.75609756097561,0.0299617108971145
"TGI_percent_Day_17",131,8,0.875664561214609,0.00436838438928591,0.851851851851852,0.00725239908517074
"TGI_percent_Day_17",132,8,0.758003627560109,0.0293104716065477,0.634146341463415,0.0912890821441658
