"compartment","analysis","model","term","estimate","std_error","statistic","p_value","n","tgi_measure","pre_specified_primary"
"CellCycle","shift_only","`TGI_percent_Day_17` ~ scale(ecdf_rmse)","(Intercept)",65.2474078682924,7.51884834320163,8.67784597986839,0.000129226802587096,8,"TGI_percent_Day_17",FALSE
"CellCycle","shift_only","`TGI_percent_Day_17` ~ scale(ecdf_rmse)","scale(ecdf_rmse)",22.8614165053386,8.03798698382096,2.84417187429571,0.0294055339683638,8,"TGI_percent_Day_17",FALSE
"CellCycle","shift_ploidy_dose_adjusted","`TGI_percent_Day_17` ~ scale(ecdf_rmse) + end_timepoint_ploidy_group + dose_mg_factor","(Intercept)",45.3279731352586,15.873836115145,2.855514748071,0.0461379623531947,8,"TGI_percent_Day_17",FALSE
"CellCycle","shift_ploidy_dose_adjusted","`TGI_percent_Day_17` ~ scale(ecdf_rmse) + end_timepoint_ploidy_group + dose_mg_factor","scale(ecdf_rmse)",23.3979697742779,7.68314637465235,3.04536301058518,0.038201122643506,8,"TGI_percent_Day_17",TRUE
"CellCycle","shift_ploidy_dose_adjusted","`TGI_percent_Day_17` ~ scale(ecdf_rmse) + end_timepoint_ploidy_group + dose_mg_factor","end_timepoint_ploidy_groupETP-higher",12.4315439556205,16.575316415179,0.750003417384914,0.494957588752442,8,"TGI_percent_Day_17",FALSE
"CellCycle","shift_ploidy_dose_adjusted","`TGI_percent_Day_17` ~ scale(ecdf_rmse) + end_timepoint_ploidy_group + dose_mg_factor","dose_mg_factor120",27.407325510447,16.2799421701789,1.68350263311444,0.167564921930561,8,"TGI_percent_Day_17",FALSE
"CellCycle","shift_by_ploidy_dose_adjusted","`TGI_percent_Day_17` ~ scale(ecdf_rmse) * end_timepoint_ploidy_group + dose_mg_factor","(Intercept)",40.4445160038704,18.3426163921644,2.20494803681047,0.114640838221027,8,"TGI_percent_Day_17",FALSE
"CellCycle","shift_by_ploidy_dose_adjusted","`TGI_percent_Day_17` ~ scale(ecdf_rmse) * end_timepoint_ploidy_group + dose_mg_factor","scale(ecdf_rmse)",16.758264273681,12.5098292105971,1.33960775895207,0.272812849921463,8,"TGI_percent_Day_17",FALSE
"CellCycle","shift_by_ploidy_dose_adjusted","`TGI_percent_Day_17` ~ scale(ecdf_rmse) * end_timepoint_ploidy_group + dose_mg_factor","end_timepoint_ploidy_groupETP-higher",16.5995111186505,18.6930950518218,0.888002284941715,0.439950216435061,8,"TGI_percent_Day_17",FALSE
"CellCycle","shift_by_ploidy_dose_adjusted","`TGI_percent_Day_17` ~ scale(ecdf_rmse) * end_timepoint_ploidy_group + dose_mg_factor","dose_mg_factor120",35.5307491553441,20.8906545177977,1.70079635968676,0.187538841806133,8,"TGI_percent_Day_17",FALSE
"CellCycle","shift_by_ploidy_dose_adjusted","`TGI_percent_Day_17` ~ scale(ecdf_rmse) * end_timepoint_ploidy_group + dose_mg_factor","scale(ecdf_rmse):end_timepoint_ploidy_groupETP-higher",13.8629011864531,19.6912426396126,0.70401352724004,0.532150454703838,8,"TGI_percent_Day_17",FALSE
