drug	freq
pd0325901	26
paclitaxel	26
lapatinib	26
erlotinib	26
crizotinib	26
vorinostat	25
thapsigargin	25
rapamycin	25
ms275	25
irinotecan	25
gemcitabine	25
gdc0941	25
doxorubicin	25
docetaxel	25
bortezomib	25
bid1870	25
Taxol	3
PLX-4720	3
Palbociclib	3
Omipalisib	3
NVP-TAE684	3
Nilotinib	3
Linsitinib	3
Lapatinib	3
Etoposide	3
17-AAG	3
Methotrexate	2
Erlotinib	1
