"compartment","sample_set","reference_type","shift_metric","tgi_measure","tgi_day","n","pearson_r","pearson_p_asymptotic","pearson_p_permutation_two_sided","pearson_p_permutation_positive","pearson_n_permutations","pearson_permutation_mode","spearman_rho","spearman_p_asymptotic","spearman_p_permutation_two_sided","spearman_p_permutation_positive","spearman_n_permutations","spearman_permutation_mode","pre_specified_primary","pearson_q_exploratory","spearman_q_exploratory"
"CellCycle","treated","primary_equal_sample_reference","ecdf_ks","TGI_percent_Day_10",10,8,0.600166660125642,0.115712045019904,0.1302,0.0688,10000,"monte_carlo_TGI_label_permutation",0.357142857142857,0.385120643556256,0.3916,0.1995,10000,"monte_carlo_TGI_label_permutation",FALSE,0.243665454545455,0.5883
"CellCycle","treated","primary_equal_sample_reference","ecdf_ks","TGI_percent_Day_14",14,8,0.524282215607589,0.182254407381196,0.1822,0.0925,10000,"monte_carlo_TGI_label_permutation",0.523809523809524,0.182720750539715,0.1938,0.0976,10000,"monte_carlo_TGI_label_permutation",FALSE,0.29152,0.40708085106383
"CellCycle","treated","primary_equal_sample_reference","ecdf_ks","TGI_percent_Day_17",17,8,0.609720829253398,0.108510373309742,0.1109,0.0581,10000,"monte_carlo_TGI_label_permutation",0.30952380952381,0.455644890737582,0.4678,0.2338,10000,"monte_carlo_TGI_label_permutation",FALSE,0.217273469387755,0.670280597014925
"CellCycle","treated","primary_equal_sample_reference","ecdf_ks","TGI_percent_Day_21",21,8,0.368234635472623,0.369435380035623,0.3613,0.1768,10000,"monte_carlo_TGI_label_permutation",0.0476190476190476,0.910849168519584,0.9386,0.4735,10000,"monte_carlo_TGI_label_permutation",FALSE,0.488518309859155,0.958570212765957
"CellCycle","treated","primary_equal_sample_reference","ecdf_ks","TGI_percent_Day_24",24,8,0.693241805563502,0.0565809605450871,0.0598,0.0316,10000,"monte_carlo_TGI_label_permutation",0.619047619047619,0.101733037454265,0.1109,0.0548,10000,"monte_carlo_TGI_label_permutation",FALSE,0.162162162162162,0.336872727272727
"CellCycle","treated","primary_equal_sample_reference","ecdf_ks","TGI_percent_Day_27",27,8,0.722801929065304,0.0427922656500425,0.0507,0.0263,10000,"monte_carlo_TGI_label_permutation",0.690476190476191,0.0579903181645727,0.0733,0.0369,10000,"monte_carlo_TGI_label_permutation",FALSE,0.162162162162162,0.336872727272727
"CellCycle","treated","primary_equal_sample_reference","ecdf_ks","TGI_percent_Day_31",31,8,0.754085832705211,0.0306586235659792,0.0333,0.0169,10000,"monte_carlo_TGI_label_permutation",0.761904761904762,0.0280049391530718,0.0368,0.0177,10000,"monte_carlo_TGI_label_permutation",FALSE,0.162162162162162,0.336872727272727
"CellCycle","treated","primary_equal_sample_reference","ecdf_ks","TGI_percent_Day_34",34,8,0.28646514742495,0.491539408225195,0.4701,0.237,10000,"monte_carlo_TGI_label_permutation",0.214285714285714,0.610344415645267,0.615,0.3121,10000,"monte_carlo_TGI_label_permutation",FALSE,0.56412,0.840878873239437
"CellCycle","treated","primary_equal_sample_reference","ecdf_ks","TGI_percent_Day_38",38,8,-0.30651191745699,0.460271440313188,0.454,0.7684,10000,"monte_carlo_TGI_label_permutation",-0.357142857142857,0.385120643556256,0.3863,0.8264,10000,"monte_carlo_TGI_label_permutation",FALSE,0.551696202531646,0.5883
"CellCycle","treated","primary_equal_sample_reference","ecdf_mean_abs","TGI_percent_auc",NA,8,0.738254512312862,0.0364909086846467,0.0443452380952381,0.0226438492063492,40320,"exact_TGI_label_enumeration",0.666666666666667,0.0709876543209875,0.0830853174603175,0.0415426587301587,40320,"exact_TGI_label_enumeration",FALSE,0.162162162162162,0.336872727272727
"CellCycle","treated","primary_equal_sample_reference","ecdf_mean_abs","TGI_percent_Day_3",3,8,-0.407392423945314,0.316448939853767,0.3498,0.8087,10000,"monte_carlo_TGI_label_permutation",-0.0476190476190476,0.910849168519584,0.9334,0.5668,10000,"monte_carlo_TGI_label_permutation",FALSE,0.479725714285714,0.958570212765957
"CellCycle","treated","primary_equal_sample_reference","ecdf_mean_abs","TGI_percent_Day_7",7,8,0.698921496586741,0.0537512805619054,0.0556,0.0308,10000,"monte_carlo_TGI_label_permutation",0.666666666666667,0.0709876543209875,0.0837,0.044,10000,"monte_carlo_TGI_label_permutation",FALSE,0.162162162162162,0.336872727272727
"CellCycle","treated","primary_equal_sample_reference","ecdf_mean_abs","TGI_percent_Day_10",10,8,0.709682221395125,0.0486268085036132,0.0431,0.0351,10000,"monte_carlo_TGI_label_permutation",0.452380952380952,0.260404767436885,0.2679,0.1319,10000,"monte_carlo_TGI_label_permutation",FALSE,0.162162162162162,0.485252830188679
"CellCycle","treated","primary_equal_sample_reference","ecdf_mean_abs","TGI_percent_Day_14",14,8,0.584315777026672,0.128240033929988,0.1334,0.0638,10000,"monte_carlo_TGI_label_permutation",0.523809523809524,0.182720750539715,0.1985,0.1016,10000,"monte_carlo_TGI_label_permutation",FALSE,0.243665454545455,0.40708085106383
"CellCycle","treated","primary_equal_sample_reference","ecdf_mean_abs","TGI_percent_Day_17",17,8,0.721083362107068,0.0435309763535169,0.042,0.0247,10000,"monte_carlo_TGI_label_permutation",0.476190476190476,0.232935534650098,0.242,0.1209,10000,"monte_carlo_TGI_label_permutation",FALSE,0.162162162162162,0.463058823529412
"CellCycle","treated","primary_equal_sample_reference","ecdf_mean_abs","TGI_percent_Day_21",21,8,0.446578686137719,0.267332135315331,0.2611,0.1257,10000,"monte_carlo_TGI_label_permutation",0.142857142857143,0.735764859879812,0.7575,0.376,10000,"monte_carlo_TGI_label_permutation",FALSE,0.385624615384615,0.876144578313253
"CellCycle","treated","primary_equal_sample_reference","ecdf_mean_abs","TGI_percent_Day_24",24,8,0.709498062855848,0.0487119222794223,0.0516,0.0299,10000,"monte_carlo_TGI_label_permutation",0.595238095238095,0.119529806138793,0.1254,0.0621,10000,"monte_carlo_TGI_label_permutation",FALSE,0.162162162162162,0.343954285714286
"CellCycle","treated","primary_equal_sample_reference","ecdf_mean_abs","TGI_percent_Day_27",27,8,0.700097080071838,0.0531764178790311,0.0622,0.0312,10000,"monte_carlo_TGI_label_permutation",0.642857142857143,0.0855588910126731,0.0973,0.0528,10000,"monte_carlo_TGI_label_permutation",FALSE,0.162162162162162,0.336872727272727
"CellCycle","treated","primary_equal_sample_reference","ecdf_mean_abs","TGI_percent_Day_31",31,8,0.722601674394483,0.0428779493566079,0.0439,0.0208,10000,"monte_carlo_TGI_label_permutation",0.666666666666667,0.0709876543209875,0.0819,0.0404,10000,"monte_carlo_TGI_label_permutation",FALSE,0.162162162162162,0.336872727272727
"CellCycle","treated","primary_equal_sample_reference","ecdf_mean_abs","TGI_percent_Day_34",34,8,0.324182273332862,0.43340261593614,0.4164,0.2176,10000,"monte_carlo_TGI_label_permutation",0.0952380952380952,0.822505430203611,0.8387,0.4256,10000,"monte_carlo_TGI_label_permutation",FALSE,0.525978947368421,0.918654545454545
"CellCycle","treated","primary_equal_sample_reference","ecdf_mean_abs","TGI_percent_Day_38",38,8,-0.105863023990894,0.802984849982374,0.7987,0.6061,10000,"monte_carlo_TGI_label_permutation",-0.19047619047619,0.651401495702482,0.6641,0.686,10000,"monte_carlo_TGI_label_permutation",FALSE,0.824464516129032,0.845431578947368
"CellCycle","treated","primary_equal_sample_reference","signed_mean_shift","TGI_percent_auc",NA,8,-0.727785307449791,0.0406933581862814,0.0500496031746032,0.975421626984127,40320,"exact_TGI_label_enumeration",-0.690476190476191,0.0579903181645726,0.0693948412698413,0.971205357142857,40320,"exact_TGI_label_enumeration",FALSE,0.162162162162162,0.336872727272727
"CellCycle","treated","primary_equal_sample_reference","signed_mean_shift","TGI_percent_Day_3",3,8,0.240649033447015,0.565900975169416,0.6517,0.3221,10000,"monte_carlo_TGI_label_permutation",-0.214285714285714,0.610344415645267,0.6181,0.7055,10000,"monte_carlo_TGI_label_permutation",FALSE,0.710945454545454,0.840878873239437
"CellCycle","treated","primary_equal_sample_reference","signed_mean_shift","TGI_percent_Day_7",7,8,-0.709062192454919,0.0489137285254948,0.0489,0.9789,10000,"monte_carlo_TGI_label_permutation",-0.666666666666667,0.0709876543209875,0.082,0.963,10000,"monte_carlo_TGI_label_permutation",FALSE,0.162162162162162,0.336872727272727
"CellCycle","treated","primary_equal_sample_reference","signed_mean_shift","TGI_percent_Day_10",10,8,-0.681400242941067,0.0627613849537521,0.0595,0.9796,10000,"monte_carlo_TGI_label_permutation",-0.452380952380952,0.260404767436885,0.2626,0.8784,10000,"monte_carlo_TGI_label_permutation",FALSE,0.162162162162162,0.4848
"CellCycle","treated","primary_equal_sample_reference","signed_mean_shift","TGI_percent_Day_14",14,8,-0.409681829758743,0.313469632179714,0.3169,0.8437,10000,"monte_carlo_TGI_label_permutation",-0.404761904761905,0.319888641228816,0.3311,0.8516,10000,"monte_carlo_TGI_label_permutation",FALSE,0.447388235294118,0.557642105263158
"CellCycle","treated","primary_equal_sample_reference","signed_mean_shift","TGI_percent_Day_17",17,8,-0.671704702362896,0.0681073228217685,0.0717,0.9691,10000,"monte_carlo_TGI_label_permutation",-0.5,0.20703125,0.2172,0.9016,10000,"monte_carlo_TGI_label_permutation",FALSE,0.176492307692308,0.4344
"CellCycle","treated","primary_equal_sample_reference","signed_mean_shift","TGI_percent_Day_21",21,8,-0.453541230724868,0.259030384350008,0.2676,0.8626,10000,"monte_carlo_TGI_label_permutation",-0.333333333333333,0.419753086419753,0.4277,0.8043,10000,"monte_carlo_TGI_label_permutation",FALSE,0.389236363636364,0.63168
"CellCycle","treated","primary_equal_sample_reference","signed_mean_shift","TGI_percent_Day_24",24,8,-0.819663663446832,0.0127503532371673,0.0144,0.9939,10000,"monte_carlo_TGI_label_permutation",-0.761904761904762,0.0280049391530719,0.0366,0.9864,10000,"monte_carlo_TGI_label_permutation",FALSE,0.162162162162162,0.336872727272727
"CellCycle","treated","primary_equal_sample_reference","signed_mean_shift","TGI_percent_Day_27",27,8,-0.688903960440926,0.0588007622859733,0.0625,0.9684,10000,"monte_carlo_TGI_label_permutation",-0.642857142857143,0.0855588910126729,0.0952,0.9607,10000,"monte_carlo_TGI_label_permutation",FALSE,0.162162162162162,0.336872727272727
"CellCycle","treated","primary_equal_sample_reference","signed_mean_shift","TGI_percent_Day_31",31,8,-0.782854152665876,0.0216096069269338,0.0217,0.9878,10000,"monte_carlo_TGI_label_permutation",-0.738095238095238,0.0365527610528608,0.0476,0.9806,10000,"monte_carlo_TGI_label_permutation",FALSE,0.162162162162162,0.336872727272727
"CellCycle","treated","primary_equal_sample_reference","signed_mean_shift","TGI_percent_Day_34",34,8,-0.44772378468014,0.265957825649898,0.2539,0.8781,10000,"monte_carlo_TGI_label_permutation",-0.166666666666667,0.693238811728395,0.7084,0.6749,10000,"monte_carlo_TGI_label_permutation",FALSE,0.38085,0.867767088607595
"CellCycle","treated","primary_equal_sample_reference","signed_mean_shift","TGI_percent_Day_38",38,8,0.311436405052984,0.452716839690908,0.4341,0.2134,10000,"monte_carlo_TGI_label_permutation",0.547619047619048,0.160025642538896,0.1699,0.0838,10000,"monte_carlo_TGI_label_permutation",FALSE,0.534276923076923,0.40708085106383
"CellCycle","treated","sensitivity_pooled_cell_reference","ecdf_rmse","TGI_percent_auc",NA,8,0.704284467361603,0.0511587971541179,0.0607142857142857,0.0307043650793651,40320,"exact_TGI_label_enumeration",0.642857142857143,0.0855588910126731,0.0961805555555556,0.0480902777777778,40320,"exact_TGI_label_enumeration",FALSE,0.162162162162162,0.336872727272727
"CellCycle","treated","sensitivity_pooled_cell_reference","ecdf_rmse","TGI_percent_Day_3",3,8,-0.277597464445871,0.505626280998021,0.5789,0.707,10000,"monte_carlo_TGI_label_permutation",0.0476190476190476,0.910849168519584,0.9311,0.4645,10000,"monte_carlo_TGI_label_permutation",FALSE,0.638786206896552,0.958570212765957
"CellCycle","treated","sensitivity_pooled_cell_reference","ecdf_rmse","TGI_percent_Day_7",7,8,0.71642770001613,0.0455707529909243,0.0451,0.0257,10000,"monte_carlo_TGI_label_permutation",0.642857142857143,0.0855588910126731,0.0962,0.0471,10000,"monte_carlo_TGI_label_permutation",FALSE,0.162162162162162,0.336872727272727
"CellCycle","treated","sensitivity_pooled_cell_reference","ecdf_rmse","TGI_percent_Day_10",10,8,0.625338671472336,0.0973023552846742,0.0958,0.0632,10000,"monte_carlo_TGI_label_permutation",0.357142857142857,0.385120643556256,0.3862,0.187,10000,"monte_carlo_TGI_label_permutation",FALSE,0.204373333333333,0.5883
"CellCycle","treated","sensitivity_pooled_cell_reference","ecdf_rmse","TGI_percent_Day_14",14,8,0.57947691935244,0.132208915594265,0.139,0.0719,10000,"monte_carlo_TGI_label_permutation",0.476190476190476,0.232935534650098,0.2379,0.1226,10000,"monte_carlo_TGI_label_permutation",FALSE,0.243665454545455,0.463058823529412
"CellCycle","treated","sensitivity_pooled_cell_reference","ecdf_rmse","TGI_percent_Day_17",17,8,0.648395643545173,0.0820272191323245,0.0768,0.0433,10000,"monte_carlo_TGI_label_permutation",0.380952380952381,0.351812553117565,0.3601,0.178,10000,"monte_carlo_TGI_label_permutation",FALSE,0.18432,0.5883
"CellCycle","treated","sensitivity_pooled_cell_reference","ecdf_rmse","TGI_percent_Day_21",21,8,0.333387608412826,0.419672682167805,0.4107,0.198,10000,"monte_carlo_TGI_label_permutation",-0.0238095238095238,0.955374011815881,0.9765,0.5326,10000,"monte_carlo_TGI_label_permutation",FALSE,0.525696,0.986778947368421
"CellCycle","treated","sensitivity_pooled_cell_reference","ecdf_rmse","TGI_percent_Day_24",24,8,0.629485680782336,0.0944435186861487,0.0985,0.0525,10000,"monte_carlo_TGI_label_permutation",0.523809523809524,0.182720750539715,0.1993,0.0966,10000,"monte_carlo_TGI_label_permutation",FALSE,0.205565217391304,0.40708085106383
"CellCycle","treated","sensitivity_pooled_cell_reference","ecdf_rmse","TGI_percent_Day_27",27,8,0.728041779391816,0.0405870665697615,0.0479,0.0251,10000,"monte_carlo_TGI_label_permutation",0.666666666666667,0.0709876543209875,0.0854,0.0417,10000,"monte_carlo_TGI_label_permutation",FALSE,0.162162162162162,0.336872727272727
"CellCycle","treated","sensitivity_pooled_cell_reference","ecdf_rmse","TGI_percent_Day_31",31,8,0.738420024355562,0.0364267016369638,0.0393,0.0187,10000,"monte_carlo_TGI_label_permutation",0.714285714285714,0.0465282322841672,0.058,0.0293,10000,"monte_carlo_TGI_label_permutation",FALSE,0.162162162162162,0.336872727272727
"CellCycle","treated","sensitivity_pooled_cell_reference","ecdf_rmse","TGI_percent_Day_34",34,8,0.267510066849156,0.521834220711824,0.5013,0.2589,10000,"monte_carlo_TGI_label_permutation",0.166666666666667,0.693238811728395,0.7141,0.3629,10000,"monte_carlo_TGI_label_permutation",FALSE,0.57981686746988,0.867767088607595
