ploidy	K	density_fraction	alive_count_at_fraction	mu_base_death	use_confluence_death	mu_confluence_death	confluence_death_exponent	confluence_death_hazard	total_drug_independent_death_hazard
2N	25358.22838001918	0.25	6339.557095004795	0.11682547346352361	True	0.05143775985667095	4.0	0.0002009287494401209	0.11702640221296373
2N	25358.22838001918	0.5	12679.11419000959	0.11682547346352361	True	0.05143775985667095	4.0	0.0032148599910419343	0.12004033345456554
2N	25358.22838001918	0.75	19018.671285014385	0.11682547346352361	True	0.05143775985667095	4.0	0.016275228704649793	0.1331007021681734
2N	25358.22838001918	1.0	25358.22838001918	0.11682547346352361	True	0.05143775985667095	4.0	0.05143775985667095	0.16826323332019455
2N	25358.22838001918	1.25	31697.785475023975	0.11682547346352361	True	0.05143775985667095	4.0	0.12558046840007556	0.24240594186359915
4N	20512.06744529951	0.25	5128.016861324878	0.017440772340423516	True	0.05412976863552694	4.0	0.0002114444087325271	0.017652216749156045
4N	20512.06744529951	0.5	10256.033722649756	0.017440772340423516	True	0.05412976863552694	4.0	0.0033831105397204336	0.02082388288014395
4N	20512.06744529951	0.75	15384.050583974633	0.017440772340423516	True	0.05412976863552694	4.0	0.017126997107334695	0.03456776944775821
4N	20512.06744529951	1.0	20512.06744529951	0.017440772340423516	True	0.05412976863552694	4.0	0.05412976863552694	0.07157054097595045
4N	20512.06744529951	1.25	25640.08430662439	0.017440772340423516	True	0.05412976863552694	4.0	0.13215275545782945	0.14959352779825297
