ploidy	beta_dose	reference_dose_uM	dose_uM	power_correction_factor	use_hill_dose_gate	dose_gate_ec50_uM	dose_gate_hill	hill_gate_raw	hill_gate_at_reference	hill_gate_normalized	combined_correction_factor
2N	0.2533099724115499	0.1	0.003125	13.30088317124144	True	0.018528672753251808	2.6928007537388816	0.00822044909850331	0.989435761146242	0.008308219109626763	0.11050665173822115
2N	0.2533099724115499	0.1	0.00625	7.926918317803742	True	0.018528672753251808	2.6928007537388816	0.05086534838647308	0.989435761146242	0.05140843941960069	0.40751050012493667
2N	0.2533099724115499	0.1	0.0125	4.724200130784827	True	0.018528672753251808	2.6928007537388816	0.2573359206864277	0.989435761146242	0.2600835049546916	1.2286865281219304
2N	0.2533099724115499	0.1	0.025	2.8154783461791606	True	0.018528672753251808	2.6928007537388816	0.6913942710898281	0.989435761146242	0.6987763109439883	1.967389572285755
2N	0.2533099724115499	0.1	0.05	1.677938719434998	True	0.018528672753251808	2.6928007537388816	0.9354237529456705	0.989435761146242	0.9454113037737795	1.5863422323935474
2N	0.2533099724115499	0.1	0.1	1.0	True	0.018528672753251808	2.6928007537388816	0.989435761146242	0.989435761146242	1.0	1.0
2N	0.2533099724115499	0.1	0.2	0.5959693214164126	True	0.018528672753251808	2.6928007537388816	0.9983513812577223	0.989435761146242	1.009010812486858	0.6013394892196159
2N	0.2533099724115499	0.1	0.4	0.3551794320695393	True	0.018528672753251808	2.6928007537388816	0.9997446639678674	0.989435761146242	1.0104189713232952	0.3588800363868961
2N	0.2533099724115499	0.1	0.8	0.21167604511155014	True	0.018528672753251808	2.6928007537388816	0.999960500458321	0.989435761146242	1.0106371123072067	0.21392766697614704
4N	0.4877484657383576	0.1	0.003125	5.9022198951113785	True	0.018528672753251808	2.6928007537388816	0.00822044909850331	0.989435761146242	0.008308219109626763	0.04903693612178362
4N	0.4877484657383576	0.1	0.00625	4.138207929463769	True	0.018528672753251808	2.6928007537388816	0.05086534838647308	0.989435761146242	0.05140843941960069	0.21273881164754935
4N	0.4877484657383576	0.1	0.0125	2.901410854187373	True	0.018528672753251808	2.6928007537388816	0.2573359206864277	0.989435761146242	0.2600835049546916	0.7546091042706378
4N	0.4877484657383576	0.1	0.025	2.0342585699619824	True	0.018528672753251808	2.6928007537388816	0.6913942710898281	0.989435761146242	0.6987763109439883	1.4214916990242272
4N	0.4877484657383576	0.1	0.05	1.4262743670002564	True	0.018528672753251808	2.6928007537388816	0.9354237529456705	0.989435761146242	0.9454113037737795	1.3484159088448344
4N	0.4877484657383576	0.1	0.1	1.0	True	0.018528672753251808	2.6928007537388816	0.989435761146242	0.989435761146242	1.0	1.0
4N	0.4877484657383576	0.1	0.2	0.7011273729213842	True	0.018528672753251808	2.6928007537388816	0.9983513812577223	0.989435761146242	1.009010812486858	0.7074451002081821
4N	0.4877484657383576	0.1	0.4	0.4915795930596418	True	0.018528672753251808	2.6928007537388816	0.9997446639678674	0.989435761146242	1.0104189713232952	0.49670134674284727
4N	0.4877484657383576	0.1	0.8	0.34465990866366975	True	0.018528672753251808	2.6928007537388816	0.999960500458321	0.989435761146242	1.0106371123072067	0.3483260948199168
