Feature_ID,Metabolite,log2FC_2N_G_vs_C,p_2N_G_vs_C,log2FC_4N_G_vs_C,p_4N_G_vs_C,Differential_response_2N_minus_4N,p_interaction,Raw_substring_pathway_class,Corrected_pathway_class,annotation_changed
4-Hydroxyphenyl-2-propionic acid;Desaminotyrosine,4-Hydroxyphenyl-2-propionic acid;Desaminotyrosine,0.01244952255882481,0.9190805142302139,-0.230868257465616,0.03480472576573645,0.24331778002444082,0.11226240919324768,Folate/one-carbon/methylation,Other,True
N-Acetyl-L-Methionine | row_96,N-Acetyl-L-Methionine,-0.6464491517293034,9.832012754118667e-06,-0.4408186699441785,6.164852519882987e-06,-0.20563048178512489,0.003051556192656004,Folate/one-carbon/methylation,Amino acid/nitrogen,True
Docosapentaenoic acid,Docosapentaenoic acid,1.0384050738373958,0.07402962604092637,1.296523738162076,0.03585416754047437,-0.2581186643246802,0.6898334427249686,Other,Fatty acids/lipids,True
11Z-Eicosenoic acid,11Z-Eicosenoic acid,0.7315432830884241,0.026686714909257118,0.3748132516348477,0.09838134292628575,0.3567300314535764,0.20172566414000245,Fatty acids/lipids,Other,True
NADPH | row_128,NADPH,-0.6239889088497925,0.005755268887374197,-0.6512216960581831,0.043580705912244215,0.02723278720839062,0.920335437243813,Purine metabolism; Cofactors/vitamins/redox,Cofactors/vitamins/redox,True
Formyl-l-methionyl peptide | row_132,Formyl-l-methionyl peptide,-0.3433900550078697,0.0031824908803089846,-0.11687680269990963,0.03734207820887897,-0.22651325230796004,0.014021123967929984,Other,Amino acid/nitrogen,True
NADPH | row_139,NADPH,-0.6138219366709663,0.006067159220868574,-0.7012740528505077,0.007965465618362241,0.0874521161795414,0.6461311533376309,Purine metabolism; Cofactors/vitamins/redox,Cofactors/vitamins/redox,True
Stachyose;Maltotetraose,Stachyose;Maltotetraose,-0.13914956071658224,0.4070625217164804,1.1051570009747724,0.01424825886637882,-1.2443065616913547,0.0017632380473536142,Other,PPP/glycolysis/carbohydrate,True
D-(+)-Raffinose;Maltotriose,D-(+)-Raffinose;Maltotriose,0.004956017814231828,0.9828344880165847,1.1123102345306837,0.005530743935089387,-1.1073542167164518,0.007287032688520808,Other,PPP/glycolysis/carbohydrate,True
Uridine diphosphate glucose;Uridine 5'-diphosphogalactose | row_186,Uridine diphosphate glucose;Uridine 5'-diphosphogalactose,0.24749514258085625,0.07415312561762812,0.30515628053198895,0.010823747303753675,-0.0576611379511327,0.6752822122397517,Pyrimidine metabolism; PPP/glycolysis/carbohydrate,PPP/glycolysis/carbohydrate,True
(S)-Lactate;Glycerlyceraldehyde,(S)-Lactate;Glycerlyceraldehyde,-0.1664569994438736,0.09364228417413577,0.01379537860360358,0.7810374151635328,-0.18025237804747718,0.07774510430380514,PPP/glycolysis/carbohydrate,Other,True
S-Adenosyl methionine (SAM),S-Adenosyl methionine (SAM),0.04919651034570549,0.8687245394624148,0.14497464718003528,0.34578037625342023,-0.09577813683432979,0.7614682148257716,Folate/one-carbon/methylation,Folate/one-carbon/methylation; Purine metabolism,True
Formyl-l-methionyl peptide | row_218,Formyl-l-methionyl peptide,-0.11019962703641184,0.43682794887625453,-0.12392360690686388,0.16338191883161768,0.013723979870452041,0.92909318545373,Other,Amino acid/nitrogen,True
Uridine diphosphate glucose;Uridine 5'-diphosphogalactose | row_222,Uridine diphosphate glucose;Uridine 5'-diphosphogalactose,0.3154173413040944,0.12543283552646645,0.18516737411285433,0.14783569790557108,0.13024996719124005,0.5369729938694965,Pyrimidine metabolism; PPP/glycolysis/carbohydrate,PPP/glycolysis/carbohydrate,True
Uridine 5'-diphospho-n-acetylgalactosamine;Uridine 5'-diphospho-n-acetylglucosamine | row_223,Uridine 5'-diphospho-n-acetylgalactosamine;Uridine 5'-diphospho-n-acetylglucosamine,0.2084839500446911,0.23517128870085244,0.1274843905649945,0.35337515685680526,0.08099955947969661,0.6762696703826003,Pyrimidine metabolism; Folate/one-carbon/methylation,PPP/glycolysis/carbohydrate,True
Adrenic acid,Adrenic acid,0.9892493054145781,0.07743571955213434,1.1528098793265613,0.045252827398708464,-0.1635605739119832,0.7901108710094581,Other,Fatty acids/lipids,True
N-Acetyl-D-Mannosamine;N-Acetylglucosamine;N-Acetyl-D-Galactosamine,N-Acetyl-D-Mannosamine;N-Acetylglucosamine;N-Acetyl-D-Galactosamine,0.14397606811179386,0.4552246601923574,0.13910148690675328,0.3814279839762341,0.0048745812050405846,0.9830782092685383,Folate/one-carbon/methylation,PPP/glycolysis/carbohydrate,True
Uridine 5'-diphospho-n-acetylgalactosamine;Uridine 5'-diphospho-n-acetylglucosamine | row_255,Uridine 5'-diphospho-n-acetylgalactosamine;Uridine 5'-diphospho-n-acetylglucosamine,0.3287571914014791,0.0027014550893423054,0.30865801306907414,0.0025172822880571246,0.020099178332404932,0.7694557204379671,Pyrimidine metabolism; Folate/one-carbon/methylation,PPP/glycolysis/carbohydrate,True
CDP-ethanolamine | row_257,CDP-ethanolamine,0.2868523897774331,0.018823801266818353,-0.20153915855701499,0.20398319108425186,0.4883915483344481,0.012452084212104673,Kennedy/choline-phospholipid; Pyrimidine metabolism,Kennedy/choline-phospholipid,True
Docosahexaenoic acid | row_262,Docosahexaenoic acid,0.24325512478275613,0.15355502260743378,0.2876253016551349,0.31767755221971444,-0.044370176872378764,0.8823140234982845,Folate/one-carbon/methylation,Fatty acids/lipids,True
N-Acetyl Glucosaminitol,N-Acetyl Glucosaminitol,0.33035871803728156,0.6364302405716259,0.6547717993172384,0.20031883463996614,-0.3244130812799568,0.687559551710966,Folate/one-carbon/methylation,PPP/glycolysis/carbohydrate,True
CDP-ethanolamine | row_274,CDP-ethanolamine,0.33952784685725135,0.0022117784727864543,-0.16307485680355072,0.14266221429952347,0.5026027036608021,0.0008225190488868035,Kennedy/choline-phospholipid; Pyrimidine metabolism,Kennedy/choline-phospholipid,True
Cyclic ADP-ribose | row_282,Cyclic ADP-ribose,-0.386279046906953,0.01537703369177101,-0.43495373622655364,3.3528091717350974e-05,0.04867468931960062,0.6510203581795735,Purine metabolism; PPP/glycolysis/carbohydrate,Purine metabolism,True
L-Methionine | row_294,L-Methionine,-0.17770528167629962,0.5545715262360633,-0.018285397363285938,0.9298402105557757,-0.15941988431301368,0.6480159983386722,Folate/one-carbon/methylation,Amino acid/nitrogen; Folate/one-carbon/methylation,True
Guanosine diphosphate mannose | row_311,Guanosine diphosphate mannose,0.01596714444232461,0.94435206765622,-0.05190700639585799,0.8599297010159439,0.0678741508381826,0.8486176294315203,Purine metabolism,PPP/glycolysis/carbohydrate; Purine metabolism,True
Cyclic ADP-ribose | row_312,Cyclic ADP-ribose,-0.4378341733194375,0.018799385484398568,-0.4779352268001702,0.0008408281123700544,0.040101053480732674,0.7560187633616073,Purine metabolism; PPP/glycolysis/carbohydrate,Purine metabolism,True
Uridine 5'-diphosphoglucuronic acid,Uridine 5'-diphosphoglucuronic acid,-0.4833241198832603,0.08624177953074957,-0.2088493100324662,0.35694222192026986,-0.2744748098507941,0.36825829881679206,Pyrimidine metabolism,PPP/glycolysis/carbohydrate,True
"12,13-DiHOME | row_352","12,13-DiHOME",-0.10623355108695876,0.6416558108842267,0.17934809606138025,0.28326625471067224,-0.285581647148339,0.29580565888970867,Fatty acids/lipids,Other,True
