cancer_type	direction	metric	analysis_mode	permute_n	pvalue_cutoff	input_drugs	input_groups	category_source	category_mode
allcancers	low_ploidy_sensitive	Z_SCORE	manuscript	300	0.05	285	19	reviewed_primary_anticancer_class_workbook	primary_secondary
allcancers	high_ploidy_sensitive	Z_SCORE	manuscript	300	0.1	285	19	reviewed_primary_anticancer_class_workbook	primary_secondary
STAD	low_ploidy_sensitive	Z_SCORE	manuscript	300	0.05	269	19	reviewed_primary_anticancer_class_workbook	primary_secondary
STAD	high_ploidy_sensitive	Z_SCORE	manuscript	300	0.1	269	19	reviewed_primary_anticancer_class_workbook	primary_secondary
GBM	low_ploidy_sensitive	Z_SCORE	manuscript	300	0.05	269	19	reviewed_primary_anticancer_class_workbook	primary_secondary
GBM	high_ploidy_sensitive	Z_SCORE	manuscript	300	0.1	269	19	reviewed_primary_anticancer_class_workbook	primary_secondary
BLCA	low_ploidy_sensitive	Z_SCORE	manuscript	300	0.05	269	19	reviewed_primary_anticancer_class_workbook	primary_secondary
BLCA	high_ploidy_sensitive	Z_SCORE	manuscript	300	0.1	269	19	reviewed_primary_anticancer_class_workbook	primary_secondary
UNCLASSIFIED	low_ploidy_sensitive	Z_SCORE	manuscript	300	0.05	285	19	reviewed_primary_anticancer_class_workbook	primary_secondary
UNCLASSIFIED	high_ploidy_sensitive	Z_SCORE	manuscript	300	0.1	285	19	reviewed_primary_anticancer_class_workbook	primary_secondary
KIRC	low_ploidy_sensitive	Z_SCORE	manuscript	300	0.05	268	19	reviewed_primary_anticancer_class_workbook	primary_secondary
KIRC	high_ploidy_sensitive	Z_SCORE	manuscript	300	0.1	268	19	reviewed_primary_anticancer_class_workbook	primary_secondary
THCA	low_ploidy_sensitive	Z_SCORE	manuscript	300	0.05	133	19	reviewed_primary_anticancer_class_workbook	primary_secondary
THCA	high_ploidy_sensitive	Z_SCORE	manuscript	300	0.1	133	19	reviewed_primary_anticancer_class_workbook	primary_secondary
