drug	metric	n	n_cancer_types	n_tissues	beta_ploidy	se_ploidy	t_ploidy	p_ploidy	fdr_ploidy	model_formula	model_status	rank_deficient	skipped_reason	notes
AZD4547	Z_SCORE	619	30	30						response ~ ploidy + TCGA_DESC	skipped_sparse_tissue_levels		one or more tissues below tissue_model_min_rows_per_tissue	
AZD5153	Z_SCORE	493	29	29	0.049406962508854	0.0579990436246926	0.851858227672902	0.394733175286102	0.727140059737556	response ~ ploidy + TCGA_DESC	ok	FALSE		
AZD5363	Z_SCORE	617	30	30						response ~ ploidy + TCGA_DESC	skipped_sparse_tissue_levels		one or more tissues below tissue_model_min_rows_per_tissue	
AZD5438	Z_SCORE	493	29	29	0.12897676202262	0.0600429557508988	2.14807483092118	0.0322260127462413	0.349548496682175	response ~ ploidy + TCGA_DESC	ok	FALSE		
AZD5582	Z_SCORE	566	30	30						response ~ ploidy + TCGA_DESC	skipped_sparse_tissue_levels		one or more tissues below tissue_model_min_rows_per_tissue	
AZD5991	Z_SCORE	490	29	29	0.109505864975511	0.0531144595455935	2.06169592823421	0.0397979275862406	0.349548496682175	response ~ ploidy + TCGA_DESC	ok	FALSE		
AZD6482	Z_SCORE	148	22	22						response ~ ploidy + TCGA_DESC	skipped_sparse_tissue_levels		one or more tissues below tissue_model_min_rows_per_tissue	
AZD6738	Z_SCORE	617	30	30						response ~ ploidy + TCGA_DESC	skipped_sparse_tissue_levels		one or more tissues below tissue_model_min_rows_per_tissue	
AZD7762	Z_SCORE	620	30	30						response ~ ploidy + TCGA_DESC	skipped_sparse_tissue_levels		one or more tissues below tissue_model_min_rows_per_tissue	
AZD8055	Z_SCORE	518	29	29	-0.00673699131139595	0.0610110447266892	-0.110422487298416	0.912119716247821	0.969438772521428	response ~ ploidy + TCGA_DESC	ok	FALSE		
AZD8186	Z_SCORE	617	30	30						response ~ ploidy + TCGA_DESC	skipped_sparse_tissue_levels		one or more tissues below tissue_model_min_rows_per_tissue	
