drug	metric	n	n_cancer_types	n_tissues	beta_ploidy	se_ploidy	t_ploidy	p_ploidy	fdr_ploidy	model_formula	model_status	rank_deficient	skipped_reason	notes
743380	Z_SCORE	490	29	29	0.0154982412530849	0.063486337909719	0.244119313908518	0.807247257418419	0.919838340589894	response ~ ploidy + TCGA_DESC	ok	FALSE		
743380	LN_IC50	490	29	29	0.0230963541276867	0.0946107246199427	0.244119831239706	0.807246857008664	0.919838550649407	response ~ ploidy + TCGA_DESC	ok	FALSE		
743380	AUC	490	29	29	-0.00240353911648907	0.00453664285327483	-0.529805672217298	0.596502284430035	0.869899164793801	response ~ ploidy + TCGA_DESC	ok	FALSE		
765771	Z_SCORE	490	29	29	-0.049263305561994	0.0608864760647131	-0.809100948946932	0.418875369838029	0.745456166660899	response ~ ploidy + TCGA_DESC	ok	FALSE		
765771	LN_IC50	490	29	29	-0.0535081631321826	0.066132831092949	-0.809101353259433	0.418875137532705	0.74545575323617	response ~ ploidy + TCGA_DESC	ok	FALSE		
765771	AUC	490	29	29	-0.00286037546713153	0.00157034153888811	-1.82149895185021	0.0691803850671882	0.426427033776835	response ~ ploidy + TCGA_DESC	ok	FALSE		
776928	Z_SCORE	489	29	29	0.00316801969756415	0.0623712916647536	0.0507929147049301	0.959512632675921	0.969438772521428	response ~ ploidy + TCGA_DESC	ok	FALSE		
776928	LN_IC50	489	29	29	0.00465292261673652	0.0916062150278707	0.0507926521723542	0.959512841762078	0.969439035177545	response ~ ploidy + TCGA_DESC	ok	FALSE		
776928	AUC	489	29	29	-0.000510716844511914	0.00385485924499155	-0.13248650911845	0.894657551433226	0.958561662249885	response ~ ploidy + TCGA_DESC	ok	FALSE		
A-366	Z_SCORE	514	29	29	0.057642846688311	0.0583437728998234	0.987986272113121	0.323653016206029	0.66634444513006	response ~ ploidy + TCGA_DESC	ok	FALSE		
A-366	LN_IC50	514	29	29	0.0593546853783676	0.0600764289194927	0.987986244287385	0.323653029819764	0.666344473158338	response ~ ploidy + TCGA_DESC	ok	FALSE		
A-366	AUC	514	29	29	0.000541407276445381	0.00132563546755031	0.40841339093459	0.683150830744762	0.90002635962893	response ~ ploidy + TCGA_DESC	ok	FALSE		
ABT737	Z_SCORE	616	30	30						response ~ ploidy + TCGA_DESC	skipped_sparse_tissue_levels		one or more tissues below tissue_model_min_rows_per_tissue	
ABT737	LN_IC50	616	30	30						response ~ ploidy + TCGA_DESC	skipped_sparse_tissue_levels		one or more tissues below tissue_model_min_rows_per_tissue	
ABT737	AUC	616	30	30						response ~ ploidy + TCGA_DESC	skipped_sparse_tissue_levels		one or more tissues below tissue_model_min_rows_per_tissue	
Acetalax	Z_SCORE	490	29	29	0.134361288977708	0.0625174575436097	2.14918031309867	0.032141171555908	0.349548496682175	response ~ ploidy + TCGA_DESC	ok	FALSE		
Acetalax	LN_IC50	490	29	29	0.282638789885596	0.126038455339767	2.24248059152799	0.0254059326918456	0.34954810572693	response ~ ploidy + TCGA_DESC	ok	FALSE		
Acetalax	AUC	490	29	29	0.0143805341198436	0.0082293746591813	1.74746377646078	0.0812241969098733	0.426427033776835	response ~ ploidy + TCGA_DESC	ok	FALSE		
Afatinib	Z_SCORE	622	30	30						response ~ ploidy + TCGA_DESC	skipped_sparse_tissue_levels		one or more tissues below tissue_model_min_rows_per_tissue	
Afatinib	LN_IC50	622	30	30						response ~ ploidy + TCGA_DESC	skipped_sparse_tissue_levels		one or more tissues below tissue_model_min_rows_per_tissue	
Afatinib	AUC	622	30	30						response ~ ploidy + TCGA_DESC	skipped_sparse_tissue_levels		one or more tissues below tissue_model_min_rows_per_tissue	
Afuresertib	Z_SCORE	617	30	30						response ~ ploidy + TCGA_DESC	skipped_sparse_tissue_levels		one or more tissues below tissue_model_min_rows_per_tissue	
Afuresertib	LN_IC50	617	30	30						response ~ ploidy + TCGA_DESC	skipped_sparse_tissue_levels		one or more tissues below tissue_model_min_rows_per_tissue	
Afuresertib	AUC	617	30	30						response ~ ploidy + TCGA_DESC	skipped_sparse_tissue_levels		one or more tissues below tissue_model_min_rows_per_tissue	
AGI-5198	Z_SCORE	617	30	30						response ~ ploidy + TCGA_DESC	skipped_sparse_tissue_levels		one or more tissues below tissue_model_min_rows_per_tissue	
AGI-5198	LN_IC50	617	30	30						response ~ ploidy + TCGA_DESC	skipped_sparse_tissue_levels		one or more tissues below tissue_model_min_rows_per_tissue	
AGI-5198	AUC	617	30	30						response ~ ploidy + TCGA_DESC	skipped_sparse_tissue_levels		one or more tissues below tissue_model_min_rows_per_tissue	
AGI-6780	Z_SCORE	570	30	30						response ~ ploidy + TCGA_DESC	skipped_sparse_tissue_levels		one or more tissues below tissue_model_min_rows_per_tissue	
AGI-6780	LN_IC50	570	30	30						response ~ ploidy + TCGA_DESC	skipped_sparse_tissue_levels		one or more tissues below tissue_model_min_rows_per_tissue	
