page_index	cancer_type	metric	metric_label	abs_pearson_r_threshold	barplot_order	drug	pearson_r	abs_pearson_r	group	plot_color	page_tsv_file	response_direction_note
21	ESCA	Z_SCORE	GDSC Z-score	0.185	42	AZD1208	0.207541503645188	0.207541503645188	Serine/threonine kinase inhibitors	#0040FF	tables/ploidyVsDrugSensitivity_pages/ploidyVsDrugSensitivity_page_21_ESCA.tsv	Positive r means higher ploidy is associated with higher GDSC Z-score; sensitivity direction requires metric-specific interpretation.
21	ESCA	Z_SCORE	GDSC Z-score	0.185	43	GSK2830371A	0.211393478196833	0.211393478196833	DNA damage repair inhibitors	#FFFF00	tables/ploidyVsDrugSensitivity_pages/ploidyVsDrugSensitivity_page_21_ESCA.tsv	Positive r means higher ploidy is associated with higher GDSC Z-score; sensitivity direction requires metric-specific interpretation.
21	ESCA	Z_SCORE	GDSC Z-score	0.185	44	BROMOSPORINE	0.213753121882706	0.213753121882706	Epigenetic inhibitors	#BFFF00	tables/ploidyVsDrugSensitivity_pages/ploidyVsDrugSensitivity_page_21_ESCA.tsv	Positive r means higher ploidy is associated with higher GDSC Z-score; sensitivity direction requires metric-specific interpretation.
21	ESCA	Z_SCORE	GDSC Z-score	0.185	45	AZD5991	0.216578050193189	0.216578050193189	Proapoptotic agents	#00FFFF	tables/ploidyVsDrugSensitivity_pages/ploidyVsDrugSensitivity_page_21_ESCA.tsv	Positive r means higher ploidy is associated with higher GDSC Z-score; sensitivity direction requires metric-specific interpretation.
21	ESCA	Z_SCORE	GDSC Z-score	0.185	46	OSIMERTINIB	0.218346197087549	0.218346197087549	Receptor tyrosine kinase inhibitors	#0080FF	tables/ploidyVsDrugSensitivity_pages/ploidyVsDrugSensitivity_page_21_ESCA.tsv	Positive r means higher ploidy is associated with higher GDSC Z-score; sensitivity direction requires metric-specific interpretation.
21	ESCA	Z_SCORE	GDSC Z-score	0.185	47	LENALIDOMIDE	0.223708657790813	0.223708657790813	Chaperone/protein-homeostasis inhibitors	#FFBF00	tables/ploidyVsDrugSensitivity_pages/ploidyVsDrugSensitivity_page_21_ESCA.tsv	Positive r means higher ploidy is associated with higher GDSC Z-score; sensitivity direction requires metric-specific interpretation.
21	ESCA	Z_SCORE	GDSC Z-score	0.185	48	AXITINIB	0.227191626288081	0.227191626288081	Receptor tyrosine kinase inhibitors	#0080FF	tables/ploidyVsDrugSensitivity_pages/ploidyVsDrugSensitivity_page_21_ESCA.tsv	Positive r means higher ploidy is associated with higher GDSC Z-score; sensitivity direction requires metric-specific interpretation.
21	ESCA	Z_SCORE	GDSC Z-score	0.185	49	DIHYDROROTENONE	0.227949028839447	0.227949028839447	Metabolic/redox agents	#00FF00	tables/ploidyVsDrugSensitivity_pages/ploidyVsDrugSensitivity_page_21_ESCA.tsv	Positive r means higher ploidy is associated with higher GDSC Z-score; sensitivity direction requires metric-specific interpretation.
21	ESCA	Z_SCORE	GDSC Z-score	0.185	50	LMB_AB3	0.228690334824162	0.228690334824162	Chaperone/protein-homeostasis inhibitors	#FFBF00	tables/ploidyVsDrugSensitivity_pages/ploidyVsDrugSensitivity_page_21_ESCA.tsv	Positive r means higher ploidy is associated with higher GDSC Z-score; sensitivity direction requires metric-specific interpretation.
21	ESCA	Z_SCORE	GDSC Z-score	0.185	51	CEDIRANIB	0.231057705550973	0.231057705550973	Receptor tyrosine kinase inhibitors	#0080FF	tables/ploidyVsDrugSensitivity_pages/ploidyVsDrugSensitivity_page_21_ESCA.tsv	Positive r means higher ploidy is associated with higher GDSC Z-score; sensitivity direction requires metric-specific interpretation.
21	ESCA	Z_SCORE	GDSC Z-score	0.185	52	ACETALAX	0.243094750192472	0.243094750192472	Other	#00FF80	tables/ploidyVsDrugSensitivity_pages/ploidyVsDrugSensitivity_page_21_ESCA.tsv	Positive r means higher ploidy is associated with higher GDSC Z-score; sensitivity direction requires metric-specific interpretation.
21	ESCA	Z_SCORE	GDSC Z-score	0.185	53	ERLOTINIB	0.25522919454227	0.25522919454227	Receptor tyrosine kinase inhibitors	#0080FF	tables/ploidyVsDrugSensitivity_pages/ploidyVsDrugSensitivity_page_21_ESCA.tsv	Positive r means higher ploidy is associated with higher GDSC Z-score; sensitivity direction requires metric-specific interpretation.
21	ESCA	Z_SCORE	GDSC Z-score	0.185	54	GEFITINIB	0.262017255390365	0.262017255390365	Receptor tyrosine kinase inhibitors	#0080FF	tables/ploidyVsDrugSensitivity_pages/ploidyVsDrugSensitivity_page_21_ESCA.tsv	Positive r means higher ploidy is associated with higher GDSC Z-score; sensitivity direction requires metric-specific interpretation.
21	ESCA	Z_SCORE	GDSC Z-score	0.185	55	MK-1775	0.263658047388004	0.263658047388004	DNA damage repair inhibitors	#FFFF00	tables/ploidyVsDrugSensitivity_pages/ploidyVsDrugSensitivity_page_21_ESCA.tsv	Positive r means higher ploidy is associated with higher GDSC Z-score; sensitivity direction requires metric-specific interpretation.
21	ESCA	Z_SCORE	GDSC Z-score	0.185	56	AFURESERTIB	0.264164599501671	0.264164599501671	Serine/threonine kinase inhibitors	#0040FF	tables/ploidyVsDrugSensitivity_pages/ploidyVsDrugSensitivity_page_21_ESCA.tsv	Positive r means higher ploidy is associated with higher GDSC Z-score; sensitivity direction requires metric-specific interpretation.
21	ESCA	Z_SCORE	GDSC Z-score	0.185	57	WEHI-539	0.271945263500055	0.271945263500055	Proapoptotic agents	#00FFFF	tables/ploidyVsDrugSensitivity_pages/ploidyVsDrugSensitivity_page_21_ESCA.tsv	Positive r means higher ploidy is associated with higher GDSC Z-score; sensitivity direction requires metric-specific interpretation.
21	ESCA	Z_SCORE	GDSC Z-score	0.185	58	AVAGACESTAT	0.285114170383948	0.285114170383948	Epigenetic inhibitors	#BFFF00	tables/ploidyVsDrugSensitivity_pages/ploidyVsDrugSensitivity_page_21_ESCA.tsv	Positive r means higher ploidy is associated with higher GDSC Z-score; sensitivity direction requires metric-specific interpretation.
21	ESCA	Z_SCORE	GDSC Z-score	0.185	59	GLUTATHIONE	0.286573738879267	0.286573738879267	Metabolic/redox agents	#00FF00	tables/ploidyVsDrugSensitivity_pages/ploidyVsDrugSensitivity_page_21_ESCA.tsv	Positive r means higher ploidy is associated with higher GDSC Z-score; sensitivity direction requires metric-specific interpretation.
21	ESCA	Z_SCORE	GDSC Z-score	0.185	60	L-OXONORELEAGNINE	0.287968344195689	0.287968344195689	Other	#00FF80	tables/ploidyVsDrugSensitivity_pages/ploidyVsDrugSensitivity_page_21_ESCA.tsv	Positive r means higher ploidy is associated with higher GDSC Z-score; sensitivity direction requires metric-specific interpretation.
