direction	metric	cancer_type	category_label	pvalue
low_ploidy_sensitive	Z_SCORE	allcancers	Serine/threonine kinase inhibitors	0.916666666666667
low_ploidy_sensitive	Z_SCORE	allcancers	Epigenetic inhibitors	0.853333333333333
low_ploidy_sensitive	Z_SCORE	allcancers	Other	0.11
low_ploidy_sensitive	Z_SCORE	allcancers	Receptor tyrosine kinase inhibitors	1
low_ploidy_sensitive	Z_SCORE	allcancers	DNA damage repair inhibitors	0.0366666666666667
low_ploidy_sensitive	Z_SCORE	allcancers	Metabolic/redox agents	0.9
low_ploidy_sensitive	Z_SCORE	allcancers	Proapoptotic agents	0.273333333333333
low_ploidy_sensitive	Z_SCORE	allcancers	Non-receptor tyrosine kinase inhibitors	0.88
low_ploidy_sensitive	Z_SCORE	allcancers	WNT/HH pathway inhibitors	0.983333333333333
low_ploidy_sensitive	Z_SCORE	allcancers	Antimetabolites	0
low_ploidy_sensitive	Z_SCORE	allcancers	Chaperone/protein-homeostasis inhibitors	0.693333333333333
low_ploidy_sensitive	Z_SCORE	allcancers	DNA-damaging agents	0.00333333333333333
low_ploidy_sensitive	Z_SCORE	allcancers	Antimitotic agents	0.00333333333333333
low_ploidy_sensitive	Z_SCORE	allcancers	p53/MDM2 pathway	0.296666666666667
low_ploidy_sensitive	Z_SCORE	allcancers	Hormone therapy	0.713333333333333
low_ploidy_sensitive	Z_SCORE	allcancers	Tumor antibiotics	0.0333333333333333
low_ploidy_sensitive	Z_SCORE	STAD	Serine/threonine kinase inhibitors	0.0366666666666667
low_ploidy_sensitive	Z_SCORE	STAD	Epigenetic inhibitors	0.91
low_ploidy_sensitive	Z_SCORE	STAD	Other	0.296666666666667
low_ploidy_sensitive	Z_SCORE	STAD	Receptor tyrosine kinase inhibitors	1
low_ploidy_sensitive	Z_SCORE	STAD	DNA damage repair inhibitors	0.213333333333333
low_ploidy_sensitive	Z_SCORE	STAD	Metabolic/redox agents	0.533333333333333
low_ploidy_sensitive	Z_SCORE	STAD	Proapoptotic agents	0.04
low_ploidy_sensitive	Z_SCORE	STAD	Non-receptor tyrosine kinase inhibitors	0.96
low_ploidy_sensitive	Z_SCORE	STAD	WNT/HH pathway inhibitors	0.51
low_ploidy_sensitive	Z_SCORE	STAD	Antimetabolites	0.276666666666667
low_ploidy_sensitive	Z_SCORE	STAD	Chaperone/protein-homeostasis inhibitors	0.486666666666667
low_ploidy_sensitive	Z_SCORE	STAD	DNA-damaging agents	0.19
low_ploidy_sensitive	Z_SCORE	STAD	Antimitotic agents	0.0866666666666667
low_ploidy_sensitive	Z_SCORE	STAD	p53/MDM2 pathway	0.5
low_ploidy_sensitive	Z_SCORE	STAD	Hormone therapy	0.846666666666667
low_ploidy_sensitive	Z_SCORE	STAD	Tumor antibiotics	0.62
low_ploidy_sensitive	Z_SCORE	GBM	Serine/threonine kinase inhibitors	0.926666666666667
low_ploidy_sensitive	Z_SCORE	GBM	Epigenetic inhibitors	0.706666666666667
low_ploidy_sensitive	Z_SCORE	GBM	Other	0.443333333333333
low_ploidy_sensitive	Z_SCORE	GBM	Receptor tyrosine kinase inhibitors	0.993333333333333
low_ploidy_sensitive	Z_SCORE	GBM	DNA damage repair inhibitors	0.0166666666666667
low_ploidy_sensitive	Z_SCORE	GBM	Metabolic/redox agents	0.896666666666667
low_ploidy_sensitive	Z_SCORE	GBM	Proapoptotic agents	0.07
low_ploidy_sensitive	Z_SCORE	GBM	Non-receptor tyrosine kinase inhibitors	0.85
low_ploidy_sensitive	Z_SCORE	GBM	WNT/HH pathway inhibitors	0.906666666666667
low_ploidy_sensitive	Z_SCORE	GBM	Antimetabolites	0.263333333333333
low_ploidy_sensitive	Z_SCORE	GBM	Chaperone/protein-homeostasis inhibitors	0.11
low_ploidy_sensitive	Z_SCORE	GBM	DNA-damaging agents	0.03
low_ploidy_sensitive	Z_SCORE	GBM	Antimitotic agents	0.276666666666667
low_ploidy_sensitive	Z_SCORE	GBM	p53/MDM2 pathway	0.00333333333333333
low_ploidy_sensitive	Z_SCORE	GBM	Hormone therapy	0.923333333333333
low_ploidy_sensitive	Z_SCORE	GBM	Tumor antibiotics	0.01
low_ploidy_sensitive	Z_SCORE	BLCA	Serine/threonine kinase inhibitors	0.483333333333333
low_ploidy_sensitive	Z_SCORE	BLCA	Epigenetic inhibitors	0.936666666666667
low_ploidy_sensitive	Z_SCORE	BLCA	Other	0.403333333333333
low_ploidy_sensitive	Z_SCORE	BLCA	Receptor tyrosine kinase inhibitors	0.0933333333333333
low_ploidy_sensitive	Z_SCORE	BLCA	DNA damage repair inhibitors	0.123333333333333
low_ploidy_sensitive	Z_SCORE	BLCA	Metabolic/redox agents	0.916666666666667
low_ploidy_sensitive	Z_SCORE	BLCA	Proapoptotic agents	0.603333333333333
low_ploidy_sensitive	Z_SCORE	BLCA	Non-receptor tyrosine kinase inhibitors	0.62
low_ploidy_sensitive	Z_SCORE	BLCA	WNT/HH pathway inhibitors	0.903333333333333
low_ploidy_sensitive	Z_SCORE	BLCA	Antimetabolites	0.03
low_ploidy_sensitive	Z_SCORE	BLCA	Chaperone/protein-homeostasis inhibitors	0.00666666666666667
low_ploidy_sensitive	Z_SCORE	BLCA	DNA-damaging agents	0
low_ploidy_sensitive	Z_SCORE	BLCA	Antimitotic agents	0.00333333333333333
low_ploidy_sensitive	Z_SCORE	BLCA	p53/MDM2 pathway	0.23
low_ploidy_sensitive	Z_SCORE	BLCA	Hormone therapy	0.943333333333333
low_ploidy_sensitive	Z_SCORE	BLCA	Tumor antibiotics	0.11
low_ploidy_sensitive	Z_SCORE	UNCLASSIFIED	Serine/threonine kinase inhibitors	0.88
low_ploidy_sensitive	Z_SCORE	UNCLASSIFIED	Epigenetic inhibitors	1
low_ploidy_sensitive	Z_SCORE	UNCLASSIFIED	Other	0.06
low_ploidy_sensitive	Z_SCORE	UNCLASSIFIED	Receptor tyrosine kinase inhibitors	0.57
low_ploidy_sensitive	Z_SCORE	UNCLASSIFIED	DNA damage repair inhibitors	0.116666666666667
low_ploidy_sensitive	Z_SCORE	UNCLASSIFIED	Metabolic/redox agents	0.09
low_ploidy_sensitive	Z_SCORE	UNCLASSIFIED	Proapoptotic agents	0.933333333333333
low_ploidy_sensitive	Z_SCORE	UNCLASSIFIED	Non-receptor tyrosine kinase inhibitors	0.9
low_ploidy_sensitive	Z_SCORE	UNCLASSIFIED	WNT/HH pathway inhibitors	0.333333333333333
low_ploidy_sensitive	Z_SCORE	UNCLASSIFIED	Antimetabolites	0.55
low_ploidy_sensitive	Z_SCORE	UNCLASSIFIED	Chaperone/protein-homeostasis inhibitors	0.256666666666667
low_ploidy_sensitive	Z_SCORE	UNCLASSIFIED	DNA-damaging agents	0.0166666666666667
low_ploidy_sensitive	Z_SCORE	UNCLASSIFIED	Antimitotic agents	0.303333333333333
low_ploidy_sensitive	Z_SCORE	UNCLASSIFIED	p53/MDM2 pathway	0.566666666666667
low_ploidy_sensitive	Z_SCORE	UNCLASSIFIED	Hormone therapy	0.0966666666666667
low_ploidy_sensitive	Z_SCORE	UNCLASSIFIED	Tumor antibiotics	0
low_ploidy_sensitive	Z_SCORE	KIRC	Serine/threonine kinase inhibitors	1
low_ploidy_sensitive	Z_SCORE	KIRC	Epigenetic inhibitors	0.45
low_ploidy_sensitive	Z_SCORE	KIRC	Other	0.0766666666666667
low_ploidy_sensitive	Z_SCORE	KIRC	Receptor tyrosine kinase inhibitors	0.106666666666667
low_ploidy_sensitive	Z_SCORE	KIRC	DNA damage repair inhibitors	0.0433333333333333
low_ploidy_sensitive	Z_SCORE	KIRC	Metabolic/redox agents	0.17
low_ploidy_sensitive	Z_SCORE	KIRC	Proapoptotic agents	0.48
low_ploidy_sensitive	Z_SCORE	KIRC	Non-receptor tyrosine kinase inhibitors	0.286666666666667
low_ploidy_sensitive	Z_SCORE	KIRC	WNT/HH pathway inhibitors	0.4
low_ploidy_sensitive	Z_SCORE	KIRC	Antimetabolites	0.04
low_ploidy_sensitive	Z_SCORE	KIRC	Chaperone/protein-homeostasis inhibitors	0.71
low_ploidy_sensitive	Z_SCORE	KIRC	DNA-damaging agents	0.613333333333333
low_ploidy_sensitive	Z_SCORE	KIRC	Antimitotic agents	0.83
low_ploidy_sensitive	Z_SCORE	KIRC	p53/MDM2 pathway	0.6
low_ploidy_sensitive	Z_SCORE	KIRC	Hormone therapy	0.813333333333333
low_ploidy_sensitive	Z_SCORE	KIRC	Tumor antibiotics	0.0633333333333333
low_ploidy_sensitive	Z_SCORE	THCA	Serine/threonine kinase inhibitors	1
low_ploidy_sensitive	Z_SCORE	THCA	Epigenetic inhibitors	0.926666666666667
low_ploidy_sensitive	Z_SCORE	THCA	Other	0.396666666666667
low_ploidy_sensitive	Z_SCORE	THCA	Receptor tyrosine kinase inhibitors	0.463333333333333
low_ploidy_sensitive	Z_SCORE	THCA	DNA damage repair inhibitors	0.05
low_ploidy_sensitive	Z_SCORE	THCA	Metabolic/redox agents	0.373333333333333
low_ploidy_sensitive	Z_SCORE	THCA	Proapoptotic agents	0.116666666666667
low_ploidy_sensitive	Z_SCORE	THCA	Non-receptor tyrosine kinase inhibitors	0.0866666666666667
low_ploidy_sensitive	Z_SCORE	THCA	WNT/HH pathway inhibitors	0.356666666666667
low_ploidy_sensitive	Z_SCORE	THCA	Antimetabolites	0.15
