cancer	drug	correlation
allcancers	Crizotinib	0.0795848233123728
allcancers	SB216763	0.0799921604827629
allcancers	123138	0.0800883536581036
allcancers	XAV939	0.0801569586944752
allcancers	PCI-34051	0.0804317276029735
allcancers	AZ960	0.0804644108705618
allcancers	N29087-69-1	0.0806868005167748
allcancers	SN-38	0.0810510828600249
allcancers	AZD6738	0.0812569125690227
allcancers	PFI-1	0.0813443281273743
allcancers	BMS-345541	0.0816734371566177
allcancers	VTP-B	0.0817250674045421
allcancers	I-BRD9	0.0822259123027925
allcancers	LJI308	0.0824730114769282
allcancers	BDILV000379a	0.0832455227775392
allcancers	KRAS (G12C) Inhibitor-12	0.0833553059485687
allcancers	Topotecan	0.0835804271081594
allcancers	BDP-00009066	0.0836661878787416
allcancers	LMP744	0.0846207761680634
allcancers	Obatoclax Mesylate	0.084658579674873
allcancers	Veliparib	0.0860385799562383
allcancers	Picolinici-acid	0.086625093037727
allcancers	MK-1775	0.0869733233339796
allcancers	GSK2256098C	0.0872155890988837
allcancers	Cisplatin	0.0879320047889706
allcancers	BEN	0.0882535612295282
allcancers	ERK_2440	0.0902727401899762
allcancers	L-Oxonoreleagnine	0.0903803539656737
allcancers	Daporinad	0.0905621056707893
allcancers	IAP_5620	0.0907512548367964
allcancers	UNC0379	0.0910365283912314
allcancers	Mitoxantrone	0.0911272525993771
allcancers	Camptothecin	0.0922702758590974
allcancers	Lenalidomide	0.0936865390867414
allcancers	JQ1	0.0938772721230134
allcancers	GSK-LSD1	0.0938816446775005
allcancers	EPZ5676	0.0940403432477551
allcancers	Vismodegib	0.0941085009781886
allcancers	Bicalutamide	0.094173159528249
allcancers	ERK_6604	0.0943551851773589
allcancers	IWP-2	0.0946818047119564
allcancers	Ribociclib	0.0953138523134796
allcancers	BPD-00008900	0.0955085029552379
allcancers	VX-11e	0.0961521249213739
allcancers	Paclitaxel	0.0969941935120258
allcancers	EPZ004777	0.0970100645750941
allcancers	AZD5153	0.0970507734290667
allcancers	Piperlongumine	0.0974738008495946
allcancers	Axitinib	0.097725465594877
allcancers	667880	0.0978787835071633
allcancers	Epirubicin	0.0982112907098178
allcancers	Irinotecan	0.0984632879353864
allcancers	TW 37	0.0987140804130999
allcancers	BIBR-1532	0.0990941045575579
allcancers	WZ4003	0.0991359039352094
allcancers	Podophyllotoxin bromide	0.100233843362098
allcancers	Oxaliplatin	0.103198381400627
allcancers	Teniposide	0.103344669104217
allcancers	Talazoparib	0.103774593117443
allcancers	Motesanib	0.10449740978481
allcancers	BDF00022089a	0.104809124529182
allcancers	SL0101	0.105139226561369
allcancers	Rucaparib	0.106182187057182
allcancers	LMB_AB3	0.106285978806697
allcancers	GSK2276186C	0.106428313062324
allcancers	IRAK4_4710	0.107155031569574
allcancers	Mycophenolic acid	0.107356722682173
allcancers	GSK2606414	0.10751022985164
allcancers	BI-2536	0.107532289070472
allcancers	CPI-637	0.107768688195368
allcancers	Zoledronate	0.108456481146699
allcancers	729189	0.108663878969158
allcancers	Bromosporine	0.109412931969684
allcancers	Palbociclib	0.110306537303058
allcancers	A-366	0.110835320815244
allcancers	Lestaurtinib	0.111172737304391
allcancers	Dactinomycin	0.112149637297251
allcancers	Nilotinib	0.11468265599059
allcancers	KU-55933	0.114784761459694
