.rowname	TYROSINE.KINASE.INHIBITORS	CYTOTOXIC	SIGNALING	ANTINEOPLASTIC.AGENTS	IMMUNOSUPPRESSIVE.AGENTS	EPIGENETICS.AND.TRANSCRIPTION	HORMONES.AND.ANTIHORMONES	MEK.INHIBITORS	METABOLICINHIBITOR
allcancers	0.523333333333333	0.92	0	0.45	0.55	0.47	0.326666666666667	0.1	0.903333333333333
BRCA	0.24	1	0	0.353333333333333	0.32	0.133333333333333	0.88	0.00333333333333333	0.853333333333333
COREAD	0.123333333333333	0.69	0.00666666666666667	0.213333333333333	1	0.99	0.196666666666667	0.00333333333333333	0.806666666666667
HNSC	0.443333333333333	1	0.0166666666666667	0.966666666666667	0.0633333333333333	0.463333333333333	0.416666666666667	0.11	0.963333333333333
LUSC	0.356666666666667	0.606666666666667	0.0233333333333333	0.446666666666667	0.0933333333333333	0.73	0.83	0.99	0.163333333333333
OV	0.196666666666667	0.963333333333333	0.0233333333333333	0.233333333333333	0.253333333333333	1	0.156666666666667	0.406666666666667	0.336666666666667
ALL	0.693333333333333	0.926666666666667	0.0633333333333333	0.833333333333333	0.53	0.14	0.143333333333333	0.0166666666666667	0.943333333333333
GBM	0.366666666666667	0.956666666666667	0.196666666666667	0.99	0.403333333333333	0.2	0.0533333333333333	0.0133333333333333	0.926666666666667
PAAD	0.733333333333333	0.123333333333333	0.3	0.126666666666667	0.943333333333333	0.966666666666667	0.276666666666667	0.913333333333333	0.616666666666667
LAML	0.72	0.08	0.353333333333333	0.606666666666667	0.686666666666667	0.95	0.96	0.726666666666667	0.01
NB	0.08	0.32	0.396666666666667	1	0.78	0.73	0.286666666666667	0.89	
KIRC	0.75	0.323333333333333	0.623333333333333	0.0133333333333333	0.203333333333333	0.676666666666667	0.373333333333333	0.913333333333333	0.6
LIHC	0.96	0.01	0.646666666666667	0.0233333333333333	0.783333333333333	0.21	0.583333333333333	0.5	0.966666666666667
MM	0.0433333333333333	0.133333333333333	0.656666666666667	0.776666666666667	0.766666666666667	0.16	0.746666666666667	0.81	0
LUAD	0.783333333333333	0.04	0.736666666666667	0.156666666666667	0.576666666666667	0.646666666666667	0.316666666666667	0.0233333333333333	0.79
UNCLASSIFIED	0.656666666666667	0.873333333333333	0.746666666666667	0.883333333333333	0.54	0	0.996666666666667	0.0166666666666667	0.32
ESCA	0.966666666666667	0.0566666666666667	0.79	0.31	0.566666666666667	0.806666666666667	0.0666666666666667	0.616666666666667	0.443333333333333
SKCM	0.103333333333333	0.95	0.843333333333333	0.296666666666667	0.536666666666667	0.116666666666667	0.8	0.96	0.553333333333333
THCA	0.876666666666667	1	0.88	0.393333333333333	0.83	0.0633333333333333	0.0466666666666667	0	
BLCA	0.18	0.783333333333333	0.883333333333333	0.923333333333333	0.85	0.01	0.0333333333333333	0.0466666666666667	0.113333333333333
STAD	0.156666666666667	0.953333333333333	0.91	0.373333333333333	0.03	0.07	0.0966666666666667	0.663333333333333	0.643333333333333
SCLC	0.666666666666667	0.02	0.986666666666667	0.09	0.213333333333333	0.346666666666667	0.666666666666667	0.806666666666667	0.173333333333333
DLBC	0.23	0.03	1	0.0833333333333333	0.673333333333333	0.72	0.12	0.96	0.00333333333333333
LGG	0.463333333333333	0.24	1	0.566666666666667	0.31	0.02	0.176666666666667	0.996666666666667	
