"sample_id","reference_type","initial_ploidy","initial_ploidy_numeric","analysis_group","analysis_group_numeric","dose","dose_mg","TGI_percent_auc","cell_count","sample_mean_endpoint_ploidy","mean_cell_ploidy","median_cell_ploidy","p90_cell_ploidy","mean_pseudotime","median_pseudotime","reference_n_samples","reference_cell_count","ecdf_rmse","ecdf_ks","ecdf_mean_abs","signed_mean_shift","TGI_percent_Day_3","TGI_percent_Day_7","TGI_percent_Day_10","TGI_percent_Day_14","TGI_percent_Day_17","TGI_percent_Day_21","TGI_percent_Day_24","TGI_percent_Day_27","TGI_percent_Day_31","TGI_percent_Day_34","TGI_percent_Day_38","analysis_id","pearson_r","pearson_p_asymptotic","pearson_p_permutation_two_sided","pearson_p_permutation_positive","pearson_n_permutations","pearson_permutation_mode","spearman_rho","spearman_p_asymptotic","spearman_p_permutation_two_sided","spearman_p_permutation_positive","spearman_n_permutations","spearman_permutation_mode","plot_annotation"
"2N-A2-0","primary_equal_sample_reference","2N",0,"2N",0,"30mg/kg",30,76.2494538413114,95,2.31570000737479,2.31803706875172,2.32219947650157,2.3439423606923,0.467133313417435,0.505020081996918,4,854,0.0597187507943865,0.145630028595804,0.0431791246653303,-0.0397602297815618,235.886322488616,177.750634073475,120.624781564408,102.672401319236,94.1937794147739,89.384507311262,80.6576723722845,82.2568862402508,80.8618934509671,59.6194779092641,21.846324696681,"CellCycle_TGI_AUC_vs_mean_ETP",-0.44236325876264,0.272421613075645,0.280233134920635,0.858184523809524,40320,"exact_TGI_label_enumeration",-0.214285714285714,0.610344415645267,0.619097222222222,0.708928571428571,40320,"exact_TGI_label_enumeration","Pearson r = -0.442
Permutation P = 0.28
n = 8"
"2N-A2-L","primary_equal_sample_reference","2N",0,"2N",0,"30mg/kg",30,56.300426778394,211,2.25827409402308,2.26216722070833,2.2620223149265,2.28376519911724,0.47728045480723,0.508121967315674,4,854,0.0461456238453744,0.10616286327741,0.0360564627742146,-0.0296130883917667,156.18039172656,82.2552787589276,74.494158939314,12.4234728244328,59.4472580315122,48.7535083374608,54.4028927765557,57.3030370085208,67.9574582187409,64.581736553233,30.5554303179006,"CellCycle_TGI_AUC_vs_mean_ETP",-0.44236325876264,0.272421613075645,0.280233134920635,0.858184523809524,40320,"exact_TGI_label_enumeration",-0.214285714285714,0.610344415645267,0.619097222222222,0.708928571428571,40320,"exact_TGI_label_enumeration","Pearson r = -0.442
Permutation P = 0.28
n = 8"
"A6-4N-O","primary_equal_sample_reference","4N",1,"4N",1,"30mg/kg",30,40.5185889265235,60,2.40690861238325,2.37105209557859,2.389437739905,2.4668503282033,0.49985921792686,0.510244727134705,4,474,0.0295919163388113,0.0827589325022497,0.0224318404865994,-0.00371751990155589,65.9331055851275,47.8913653278893,70.8216391585344,71.5684541312042,26.6609729964751,40.1020860632838,20.9772959692096,32.0939974103983,41.1096008114476,42.2164774381368,43.867222320261,"CellCycle_TGI_AUC_vs_mean_ETP",-0.44236325876264,0.272421613075645,0.280233134920635,0.858184523809524,40320,"exact_TGI_label_enumeration",-0.214285714285714,0.610344415645267,0.619097222222222,0.708928571428571,40320,"exact_TGI_label_enumeration","Pearson r = -0.442
Permutation P = 0.28
n = 8"
"A6-4N-RR","primary_equal_sample_reference","4N",1,"4N",1,"30mg/kg",30,47.5511900889708,193,2.23538862603727,2.20595578416892,2.21560126016431,2.36116118282251,0.481236708915064,0.526266038417816,4,474,0.0344078183798359,0.0861704213859417,0.0271188658807419,-0.0223400289133517,17.0064352109319,62.2463168216562,85.2532378917012,50.4002944030941,33.7803382040094,29.8123517375907,35.2041533118349,39.2101603389456,52.524934449654,53.4172537603105,54.7480177314431,"CellCycle_TGI_AUC_vs_mean_ETP",-0.44236325876264,0.272421613075645,0.280233134920635,0.858184523809524,40320,"exact_TGI_label_enumeration",-0.214285714285714,0.610344415645267,0.619097222222222,0.708928571428571,40320,"exact_TGI_label_enumeration","Pearson r = -0.442
Permutation P = 0.28
n = 8"
"2N-A4-R","primary_equal_sample_reference","2N",0,"2N",0,"120mg/kg",120,74.3583501376437,140,2.01124775168715,2.0153134411076,2.01553424438116,2.03727712857189,0.467617943483804,0.448596432805061,4,854,0.0661337511878447,0.13530978270869,0.0541158544821165,-0.0392755997151923,-307.483403741702,142.709322047085,146.930747551662,135.01065268263,119.828115408226,100.033667090743,70.4740414845306,65.7147533927256,67.4207028126268,52.7133199342225,53.7113717636283,"CellCycle_TGI_AUC_vs_mean_ETP",-0.44236325876264,0.272421613075645,0.280233134920635,0.858184523809524,40320,"exact_TGI_label_enumeration",-0.214285714285714,0.610344415645267,0.619097222222222,0.708928571428571,40320,"exact_TGI_label_enumeration","Pearson r = -0.442
Permutation P = 0.28
n = 8"
"2N-A4-RL","primary_equal_sample_reference","2N",0,"2N",0,"120mg/kg",120,48.517379841699,310,2.1766115066713,2.17492493493719,2.17549549705271,2.19445592880316,0.498624597688117,0.530575841665268,4,854,0.0295489880157197,0.0767765854087025,0.0227430537359947,-0.00826894551087981,190.546990728041,100.46057852397,76.8409937611077,38.1815097371008,66.5669122160835,52.1383458451897,34.0590451193837,45.0107154657363,56.6500008305234,39.8454277314135,37.9347493361745,"CellCycle_TGI_AUC_vs_mean_ETP",-0.44236325876264,0.272421613075645,0.280233134920635,0.858184523809524,40320,"exact_TGI_label_enumeration",-0.214285714285714,0.610344415645267,0.619097222222222,0.708928571428571,40320,"exact_TGI_label_enumeration","Pearson r = -0.442
Permutation P = 0.28
n = 8"
"4N-A8-RL","primary_equal_sample_reference","4N",1,"4N",1,"120mg/kg",120,63.0402557981567,456,2.26820976674737,2.22198734201226,2.22266509064424,2.34028339766293,0.500231902613386,0.538705289363861,4,474,0.0226293147480818,0.0539897866424021,0.0176512675077966,-0.0033448352150296,71.9710812743307,92.8305617399552,90.5039009192265,76.6757705531964,61.1000170810106,66.7184321616833,45.5508398433033,60.1852646981084,59.9172095569793,63.1774866569626,64.2294227929587,"CellCycle_TGI_AUC_vs_mean_ETP",-0.44236325876264,0.272421613075645,0.280233134920635,0.858184523809524,40320,"exact_TGI_label_enumeration",-0.214285714285714,0.610344415645267,0.619097222222222,0.708928571428571,40320,"exact_TGI_label_enumeration","Pearson r = -0.442
Permutation P = 0.28
n = 8"
"4N-A8-RR","primary_equal_sample_reference","4N",1,"4N",1,"120mg/kg",120,65.4567300453646,88,2.22746650120564,2.22610238854283,2.24851822187151,2.29685894441339,0.475019505649636,0.518231272697449,4,474,0.0607779191176731,0.136677513050773,0.0462367955168346,-0.0285572321787801,116.385159291332,118.167935250006,84.6682287509334,87.360871086802,60.4018695942484,29.450457239779,42.4861714188631,76.9420618448626,74.1159604213578,60.6311499272198,61.7558291591441,"CellCycle_TGI_AUC_vs_mean_ETP",-0.44236325876264,0.272421613075645,0.280233134920635,0.858184523809524,40320,"exact_TGI_label_enumeration",-0.214285714285714,0.610344415645267,0.619097222222222,0.708928571428571,40320,"exact_TGI_label_enumeration","Pearson r = -0.442
Permutation P = 0.28
n = 8"
