"t"	"x"	"y"	"Size_in_pixels_0"	"Classifier.Phenotype"
"1"	24	1089.5	237	182	"Alive"
"2"	25	1100	233	109	"Alive"
"3"	26	1102.5	240.5	157	"Alive"
"4"	27	1094	240	119	"Alive"
"5"	28	1097.5	239	132	"Alive"
"6"	29	1094.5	239.5	172	"Alive"
"7"	30	1077.5	248.5	116	"Alive"
"8"	31	1086.5	247	107	"Alive"
"9"	32	1088.5	241.5	138	"Alive"
"10"	33	1082	236	108	"Alive"
"11"	34	1079.5	237.5	98	"Alive"
"12"	35	1083.5	244.5	106	"Alive"
"13"	36	1082	244.5	125	"Alive"
"14"	37	1083.5	242	101	"Alive"
"15"	38	1098.5	242	95	"Alive"
"16"	39	1097.5	240	87	"Alive"
