"t"	"x"	"y"	"Size_in_pixels_0"	"Classifier.Phenotype"
"1"	17	689.5	302.5	150	"Alive"
"2"	18	693	306.5	150	"Alive"
"3"	19	691.5	306	177	"Alive"
"4"	20	685.5	312.5	119	"Alive"
"5"	21	688	300	150	"Alive"
"6"	22	691	310	75	"Alive"
"7"	23	676	299	140	"Alive"
"8"	24	666	307	336	"Alive"
"9"	25	650.5	306.5	109	"Dead"
"10"	26	658.5	317	104	"Alive"
"11"	27	659	317	241	"Alive"
"12"	28	659	324.5	161	"Alive"
"13"	29	660	321	164	"Alive"
"14"	30	658.5	336	185	"Alive"
"15"	31	655.5	338.5	149	"Alive"
"16"	32	656.5	341	100	"Alive"
"17"	33	660.5	346.5	119	"Alive"
"18"	34	669.5	352.5	163	"Alive"
"19"	35	675	333.5	120	"Alive"
"20"	36	670	331.5	172	"Alive"
"21"	37	670	330.5	268	"Alive"
"22"	38	669.5	333	187	"Alive"
"23"	39	664	346.5	194	"Alive"
