"t"	"x"	"y"	"Size_in_pixels_0"	"Classifier.Phenotype"
"1"	24	248.5	689.5	101	"Alive"
"2"	25	243.5	691	103	"Alive"
"3"	26	243	689	96	"Alive"
"4"	27	243	693	100	"Alive"
"5"	28	247.5	697.5	101	"Alive"
"6"	29	250.5	699.5	102	"Alive"
"7"	30	250.5	698.5	109	"Alive"
"8"	31	235.5	692.5	80	"Alive"
"9"	32	228	675.5	100	"Alive"
"10"	33	222.5	691.5	121	"Alive"
"11"	34	222.5	692.5	124	"Alive"
"12"	35	221.5	695.5	96	"Alive"
"13"	36	221.5	710.5	97	"Alive"
"14"	37	207.5	707	84	"Alive"
"15"	38	209.5	704.5	91	"Alive"
"16"	39	205.5	718.5	96	"Alive"
