"t"	"x"	"y"	"Size_in_pixels_0"	"Classifier.Phenotype"
"1"	14	420	102.5	116	"Alive"
"2"	15	418	100	128	"Alive"
"3"	16	432.5	94	139	"Alive"
"4"	17	435	90.5	154	"Alive"
"5"	18	452.5	93	131	"Alive"
"6"	19	454.5	77	189	"Alive"
"7"	20	459	65.5	187	"Alive"
"8"	21	448.5	73	151	"Alive"
"9"	22	442.5	96.5	111	"Alive"
"10"	23	442.5	78.5	96	"Alive"
"11"	24	437	79	90	"Alive"
"12"	25	431	65	111	"Alive"
"13"	26	430.5	62.5	141	"Alive"
"14"	27	428.5	73.5	169	"Alive"
"15"	28	430.5	69	110	"Alive"
"16"	29	440	69.5	129	"Dead"
"17"	30	443.5	79.5	98	"Alive"
"18"	31	445.5	79.5	83	"Alive"
"19"	32	422.5	76.5	172	"Alive"
"20"	33	418	69.5	85	"Alive"
"21"	34	425	81.5	152	"Alive"
"22"	35	409.5	86.5	91	"Alive"
"23"	36	419	96.5	87	"Alive"
"24"	37	410	111.5	84	"Alive"
"25"	38	412.5	110	113	"Alive"
"26"	39	411.5	116.5	88	"Alive"
