"t"	"x"	"y"	"Size_in_pixels_0"	"Classifier.Phenotype"
"1"	16	849	119	115	"Alive"
"2"	17	840	111	176	"Alive"
"3"	18	835.5	109	124	"Alive"
"4"	19	821	125	157	"Alive"
"5"	20	816.5	134	110	"Alive"
"6"	21	811.5	157	167	"Alive"
"7"	22	817	159.5	123	"Alive"
"8"	23	818.5	165	95	"Alive"
"9"	24	825	155.5	154	"Alive"
"10"	25	829.5	157.5	291	"Alive"
"11"	26	834	152.5	214	"Alive"
"12"	27	842	157	118	"Alive"
"13"	28	831	163	379	"Alive"
"14"	29	833.5	155	121	"Alive"
"15"	30	826	159	86	"Alive"
"16"	31	821.5	156	98	"Alive"
"17"	32	804	160	119	"Alive"
"18"	33	807	159	85	"Alive"
"19"	34	818.5	152.5	97	"Alive"
"20"	35	818.5	138.5	280	"Alive"
"21"	36	809.5	138.5	68	"Alive"
"22"	37	816.5	139.5	143	"Alive"
"23"	38	815.5	138	89	"Alive"
"24"	39	816	140.5	105	"Alive"
