"t"	"x"	"y"	"Size_in_pixels_0"	"Classifier.Phenotype"
"1"	20	859	1024	183	"Alive"
"2"	21	857	1008	118	"Alive"
"3"	22	859	1026.5	165	"Alive"
"4"	23	860	1020	126	"Alive"
"5"	24	865.5	1026	155	"Alive"
"6"	25	865	1020.5	235	"Alive"
"7"	26	871	1014.5	308	"Alive"
"8"	27	872	1022	196	"Alive"
"9"	28	876	1032.5	232	"Alive"
"10"	29	873.5	1044	249	"Alive"
"11"	30	875.5	1041.5	218	"Alive"
"12"	31	882	1056	133	"Alive"
"13"	32	903.5	1056.5	218	"Alive"
"14"	33	885	1047	76	"Alive"
"15"	34	890.5	1046	89	"Alive"
"16"	35	893	1044.5	82	"Alive"
"17"	36	894	1056.5	103	"Alive"
"18"	37	908.5	1034	122	"Alive"
"19"	38	900.5	1048.5	143	"Alive"
"20"	39	902.5	1036.5	88	"Alive"
