"t"	"x"	"y"	"Size_in_pixels_0"	"Classifier.Phenotype"
"1"	18	74.5	903.5	198	"Alive"
"2"	19	86.5	901	116	"Alive"
"3"	20	89	901.5	142	"Alive"
"4"	21	93.5	900	140	"Alive"
"5"	22	88	893.5	106	"Alive"
"6"	23	94	904	105	"Alive"
"7"	24	98.5	901.5	141	"Alive"
"8"	25	97	889	124	"Alive"
"9"	26	96.5	906	90	"Alive"
"10"	27	99	907.5	97	"Alive"
"11"	28	95.5	895.5	114	"Alive"
"12"	29	91	894	178	"Alive"
"13"	30	87.5	894	90	"Alive"
"14"	31	92.5	891.5	93	"Alive"
"15"	32	92	889.5	105	"Alive"
"16"	33	89	900.5	97	"Alive"
"17"	34	87.5	896.5	92	"Alive"
"18"	35	92.5	896	88	"Alive"
"19"	36	95.5	894.5	94	"Alive"
"20"	37	99.5	898	83	"Alive"
"21"	38	103	893.5	87	"Alive"
"22"	39	106	892.5	91	"Alive"
