"t"	"x"	"y"	"Size_in_pixels_0"	"Classifier.Phenotype"
"1"	25	737	454	115	"Dead"
"2"	26	738	444	252	"Dead"
"3"	27	739.5	448	282	"Dead"
"4"	28	749.5	446.5	376	"Dead"
"5"	29	745.5	466	154	"Dead"
"6"	30	738.5	453.5	142	"Dead"
"7"	31	753	453	571	"Dead"
"8"	32	750	459	184	"Alive"
"9"	33	749.5	449.5	189	"Alive"
"10"	34	752.5	454	151	"Alive"
"11"	35	746.5	452.5	182	"Dead"
"12"	36	750	438	152	"Alive"
"13"	37	752	442.5	184	"Alive"
"14"	38	753.5	444.5	132	"Alive"
"15"	39	752.5	443	164	"Dead"
