"t"	"x"	"y"	"Size_in_pixels_0"	"Classifier.Phenotype"
"1"	22	1371	684.5	101	"Alive"
"2"	23	1377	672	85	"Alive"
"3"	24	1374.5	673	118	"Alive"
"4"	25	1383.5	667.5	132	"Alive"
"5"	26	1388.5	680	94	"Alive"
"6"	27	1391	684	118	"Alive"
"7"	28	1390.5	687.5	107	"Alive"
"8"	29	1388	685	158	"Alive"
"9"	30	1387	682	115	"Alive"
"10"	31	1388	687	219	"Alive"
"11"	32	1391	680.5	98	"Alive"
"12"	33	1383	683.5	103	"Alive"
"13"	34	1376	675	111	"Alive"
"14"	35	1378	671.5	105	"Alive"
"15"	36	1378.5	673	115	"Alive"
"16"	37	1377.5	673.5	105	"Alive"
"17"	38	1377	675	165	"Alive"
"18"	39	1376.5	675.5	110	"Alive"
