"t"	"x"	"y"	"Size_in_pixels_0"	"Classifier.Phenotype"
"1"	23	299.5	383.5	109	"Alive"
"2"	24	288	388.5	94	"Alive"
"3"	25	283	364	253	"Alive"
"4"	26	271	380.5	195	"Alive"
"5"	27	266.5	377	432	"Alive"
"6"	28	289.5	376.5	148	"Alive"
"7"	29	287	377.5	219	"Alive"
"8"	30	297	379	170	"Alive"
"9"	31	299.5	378	243	"Alive"
"10"	32	304	377.5	153	"Alive"
"11"	33	305.5	375	102	"Alive"
"12"	34	302	378	142	"Alive"
"13"	35	303	381.5	204	"Alive"
"14"	36	307	387	72	"Alive"
"15"	37	306.5	384.5	72	"Alive"
"16"	38	305	390	95	"Alive"
"17"	39	306	389	94	"Alive"
