"t"	"x"	"y"	"Size_in_pixels_0"	"Classifier.Phenotype"
"1"	20	233.5	341.5	126	"Alive"
"2"	21	241.5	340.5	154	"Alive"
"3"	22	239	343	195	"Alive"
"4"	23	222.5	359	185	"Alive"
"5"	24	231.5	349.5	156	"Alive"
"6"	25	232	346.5	192	"Alive"
"7"	26	237	342.5	215	"Alive"
"8"	27	236	342.5	99	"Alive"
"9"	28	223	330.5	101	"Alive"
"10"	29	232	343	152	"Alive"
"11"	30	231.5	342.5	147	"Alive"
"12"	31	233	331.5	143	"Alive"
"13"	32	232.5	329.5	110	"Alive"
"14"	33	231.5	332.5	124	"Alive"
"15"	34	239.5	326	94	"Alive"
"16"	35	237.5	335	93	"Alive"
"17"	36	238.5	331	87	"Alive"
"18"	37	239.5	325.5	116	"Alive"
"19"	38	226.5	314.5	127	"Alive"
"20"	39	233	309	113	"Alive"
